FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO
2024-02-11,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Fin de Semana,Domingo,34.673.678,-765.449.955,18,4825225,"359,1"
2024-02-12,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Lunes,34.673.678,-765.449.955,12,1203198,"116,2"
2024-02-13,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Martes,34.673.678,-765.449.955,57,3749068,"432,8"
2024-02-14,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Miércoles,34.673.678,-765.449.955,12,1476230,"195,4"
2024-02-15,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Jueves,34.673.678,-765.449.955,38,2424751,"207,6"
2024-02-16,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Viernes,34.673.678,-765.449.955,14,819688,"77,7"
2024-02-17,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Fin de Semana,Sábado,34.673.678,-765.449.955,28,374711,"35,4"
2024-02-18,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Fin de Semana,Domingo,34.673.678,-765.449.955,51,13412,"1,0"
2024-02-19,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Lunes,34.673.678,-765.449.955,10,1047,"0,1"
2024-02-20,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Martes,34.673.678,-765.449.955,43,5036,"0,4"
2024-02-21,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Miércoles,34.673.678,-765.449.955,4,3866,"0,3"
2024-02-22,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Jueves,34.673.678,-765.449.955,48,47407,"3,1"
2024-02-23,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Viernes,34.673.678,-765.449.955,6,395808,"27,8"
2024-02-24,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Fin de Semana,Sábado,34.673.678,-765.449.955,19,1860506,"148,1"
2024-02-25,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Fin de Semana,Domingo,34.673.678,-765.449.955,39,3398944,"193,5"
2024-02-26,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Lunes,34.673.678,-765.449.955,8,1053749,"94,7"
2024-02-27,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Martes,34.673.678,-765.449.955,51,2299363,"197,9"
2024-02-28,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Miércoles,34.673.678,-765.449.955,14,1000,"0,1"
2024-02-29,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Jueves,34.673.678,-765.449.955,35,18562,"2,3"
2024-03-01,URBANA,049_ZW Cerro 3 Cruces,99,MR76,False,Laboral,Viernes,34.673.678,-765.449.955,8,1153,"0,1"
