FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO
2024-01-01,RURAL,059_El Saladito,99,MR76,True,Festivo,Lunes,3.481.991,-76.606.655,19,749318,"286,4"
2024-01-02,RURAL,059_El Saladito,99,MR76,False,Laboral,Martes,3.481.991,-76.606.655,18,1634030,503
2024-01-03,RURAL,059_El Saladito,99,MR76,False,Laboral,Miércoles,3.481.991,-76.606.655,25,322441,"88,5"
2024-01-04,RURAL,059_El Saladito,99,MR76,False,Laboral,Jueves,3.481.991,-76.606.655,26,1663365,"373,8"
2024-01-05,RURAL,059_El Saladito,99,MR76,False,Laboral,Viernes,3.481.991,-76.606.655,14,1967444,"511,6"
2024-01-06,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Sábado,3.481.991,-76.606.655,29,3714469,"538,7"
2024-01-07,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Domingo,3.481.991,-76.606.655,39,6880895,"781,9"
2024-01-08,RURAL,059_El Saladito,99,MR76,True,Festivo,Lunes,3.481.991,-76.606.655,21,3202659,"778,7"
2024-01-09,RURAL,059_El Saladito,99,MR76,False,Laboral,Martes,3.481.991,-76.606.655,15,2624828,"1172,7"
2024-01-10,RURAL,059_El Saladito,99,MR76,False,Laboral,Miércoles,3.481.991,-76.606.655,17,1845062,"502,3"
2024-01-11,RURAL,059_El Saladito,99,MR76,False,Laboral,Jueves,3.481.991,-76.606.655,9,818703,"229,4"
2024-01-12,RURAL,059_El Saladito,99,MR76,False,Laboral,Viernes,3.481.991,-76.606.655,14,409336,"194,7"
2024-01-13,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Sábado,3.481.991,-76.606.655,19,1302395,"552,7"
2024-01-14,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Domingo,3.481.991,-76.606.655,27,6056316,1599
2024-01-15,RURAL,059_El Saladito,99,MR76,False,Laboral,Lunes,3.481.991,-76.606.655,10,4856,"1,6"
2024-01-16,RURAL,059_El Saladito,99,MR76,False,Laboral,Martes,3.481.991,-76.606.655,12,1254025,"374,7"
2024-01-17,RURAL,059_El Saladito,99,MR76,False,Laboral,Miércoles,3.481.991,-76.606.655,14,930297,"283,1"
2024-01-18,RURAL,059_El Saladito,99,MR76,False,Laboral,Jueves,3.481.991,-76.606.655,18,331186,137
2024-01-19,RURAL,059_El Saladito,99,MR76,False,Laboral,Viernes,3.481.991,-76.606.655,28,1627619,"730,5"
2024-01-20,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Sábado,3.481.991,-76.606.655,34,9634076,"4896,8"
2024-01-21,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Domingo,3.481.991,-76.606.655,21,6720000,19.00
2024-01-22,RURAL,059_El Saladito,99,MR76,False,Laboral,Lunes,3.481.991,-76.606.655,19,328671,177
2024-01-23,RURAL,059_El Saladito,99,MR76,False,Laboral,Martes,3.481.991,-76.606.655,21,292914,"43,5"
2024-01-24,RURAL,059_El Saladito,99,MR76,False,Laboral,Miércoles,3.481.991,-76.606.655,19,993611,"189,3"
2024-01-25,RURAL,059_El Saladito,99,MR76,False,Laboral,Jueves,3.481.991,-76.606.655,16,342813,99
2024-01-26,RURAL,059_El Saladito,99,MR76,False,Laboral,Viernes,3.481.991,-76.606.655,37,1926995,"1181,7"
2024-01-27,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Sábado,3.481.991,-76.606.655,35,3154889,"5506,7"
2024-01-28,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Domingo,3.481.991,-76.606.655,38,18631,92
2024-01-29,RURAL,059_El Saladito,99,MR76,False,Laboral,Lunes,3.481.991,-76.606.655,54,2958317,"1508,2"
2024-01-30,RURAL,059_El Saladito,99,MR76,False,Laboral,Martes,3.481.991,-76.606.655,55,5919933,"1752,1"
2024-01-31,RURAL,059_El Saladito,99,MR76,False,Laboral,Miércoles,3.481.991,-76.606.655,62,2320000,9.46
2024-02-01,RURAL,059_El Saladito,99,MR76,False,Laboral,Jueves,3.481.991,-76.606.655,75,4909758,1977
2024-02-02,RURAL,059_El Saladito,99,MR76,False,Laboral,Viernes,3.481.991,-76.606.655,85,2918444,"728,1"
2024-02-03,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Sábado,3.481.991,-76.606.655,46,75752,"42,7"
2024-02-04,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Domingo,3.481.991,-76.606.655,50,62070,"27,2"
2024-02-05,RURAL,059_El Saladito,99,MR76,False,Laboral,Lunes,3.481.991,-76.606.655,61,27096,"14,9"
2024-02-06,RURAL,059_El Saladito,99,MR76,False,Laboral,Martes,3.481.991,-76.606.655,85,14113,"8,2"
2024-02-07,RURAL,059_El Saladito,99,MR76,False,Laboral,Miércoles,3.481.991,-76.606.655,87,3295693,"1391,8"
2024-02-08,RURAL,059_El Saladito,99,MR76,False,Laboral,Jueves,3.481.991,-76.606.655,43,4497270,1417
2024-02-09,RURAL,059_El Saladito,99,MR76,False,Laboral,Viernes,3.481.991,-76.606.655,115,3278341,"1478,4"
2024-02-10,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Sábado,3.481.991,-76.606.655,54,13866,"9,1"
2024-02-11,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Domingo,3.481.991,-76.606.655,42,31467,"16,6"
2024-02-12,RURAL,059_El Saladito,99,MR76,False,Laboral,Lunes,3.481.991,-76.606.655,94,51634,"43,8"
2024-02-13,RURAL,059_El Saladito,99,MR76,False,Laboral,Martes,3.481.991,-76.606.655,115,6415744,"1662,4"
2024-02-14,RURAL,059_El Saladito,99,MR76,False,Laboral,Miércoles,3.481.991,-76.606.655,119,629246,"130,3"
2024-02-15,RURAL,059_El Saladito,99,MR76,False,Laboral,Jueves,3.481.991,-76.606.655,123,450419,"245,9"
2024-02-16,RURAL,059_El Saladito,99,MR76,False,Laboral,Viernes,3.481.991,-76.606.655,109,31514,12
2024-02-17,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Sábado,3.481.991,-76.606.655,64,13719,"5,3"
2024-02-18,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Domingo,3.481.991,-76.606.655,48,201207,"63,5"
2024-02-19,RURAL,059_El Saladito,99,MR76,False,Laboral,Lunes,3.481.991,-76.606.655,44,26063,9
2024-02-20,RURAL,059_El Saladito,99,MR76,False,Laboral,Martes,3.481.991,-76.606.655,100,61497,"26,6"
2024-02-21,RURAL,059_El Saladito,99,MR76,False,Laboral,Miércoles,3.481.991,-76.606.655,111,92954,"63,5"
2024-02-22,RURAL,059_El Saladito,99,MR76,False,Laboral,Jueves,3.481.991,-76.606.655,142,428434,"589,5"
2024-02-23,RURAL,059_El Saladito,99,MR76,False,Laboral,Viernes,3.481.991,-76.606.655,129,1190526,"732,1"
2024-02-24,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Sábado,3.481.991,-76.606.655,26,2941197,"1134,9"
2024-02-25,RURAL,059_El Saladito,99,MR76,False,Fin de Semana,Domingo,3.481.991,-76.606.655,31,5047127,"2990,7"
2024-02-26,RURAL,059_El Saladito,99,MR76,False,Laboral,Lunes,3.481.991,-76.606.655,124,356185,"2356,9"
