FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO
2024-01-01,URBANA,013_ZW Parque Llano Verde,0.0,MR76,True,Festivo,Lunes,0.0,-7.650.628,-0.9090909090909091,-0.22046867065602227,"0,2"
2024-01-02,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Martes,0.0,-7.650.628,-1.3636363636363635,-0.22077402017907152,"0,2"
2024-01-03,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Miércoles,0.0,-7.650.628,-1.7272727272727273,-0.22049764542828243,"0,1"
2024-01-04,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Jueves,0.0,-7.650.628,-1.4545454545454546,-0.22042855174058515,"0,2"
2024-01-05,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Viernes,0.0,-7.650.628,-1.0,-0.21990106229687478,"0,2"
2024-01-06,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Sábado,0.0,-7.650.628,-0.9090909090909091,-0.21836614230996543,"0,6"
2024-01-07,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Domingo,0.0,-7.650.628,-1.8181818181818181,-0.2212606477644663,"0,1"
2024-01-08,URBANA,013_ZW Parque Llano Verde,0.0,MR76,True,Festivo,Lunes,0.0,-7.650.628,-1.0909090909090908,-0.21660536768800262,"0,4"
2024-01-09,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Martes,0.0,-7.650.628,-1.2727272727272727,-0.20328365893424102,"1,9"
2024-01-10,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Miércoles,0.0,-7.650.628,-1.6363636363636365,-0.14411940280765542,"8,7"
2024-01-11,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Jueves,0.0,-7.650.628,-0.9090909090909091,1.0605230986512986,"160,4"
2024-01-12,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Viernes,0.0,-7.650.628,-0.5454545454545454,5.59705787190699,"674,3"
2024-01-13,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Sábado,0.0,-7.650.628,-0.45454545454545453,1.2114482296971356,"214,3"
2024-01-14,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Domingo,0.0,-7.650.628,-1.1818181818181819,2.3646679398231125,"439,9"
2024-01-15,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Lunes,0.0,-7.650.628,-1.0,2.286337986260757,"488,0"
2024-01-16,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Martes,0.0,-7.650.628,-1.5454545454545454,2.1052464025777144,"366,2"
2024-01-17,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Miércoles,0.0,-7.650.628,-1.0,10.671685369634513,"1466,1"
2024-01-18,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Jueves,0.0,-7.650.628,-0.5454545454545454,6.075174303686074,"706,6"
2024-01-19,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Viernes,0.0,-7.650.628,0.6363636363636364,5.251386610014796,"479,9"
2024-01-20,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Sábado,0.0,-7.650.628,-0.36363636363636365,5.00704384143073,"543,5"
2024-01-21,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Domingo,0.0,-7.650.628,0.0,1.8333553120601547,"213,6"
2024-01-22,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Lunes,0.0,-7.650.628,-1.0,-0.06187339733290936,"20,5"
2024-01-23,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Martes,0.0,-7.650.628,-0.2727272727272727,-0.0009476236414825128,"27,5"
2024-01-24,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Miércoles,0.0,-7.650.628,-0.9090909090909091,-0.18967368834363485,"3,4"
2024-01-25,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Jueves,0.0,-7.650.628,-1.2727272727272727,-0.21908159630192753,"0,2"
2024-01-26,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Viernes,0.0,-7.650.628,0.0,-0.1868839378349976,"3,4"
2024-01-27,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Sábado,0.0,-7.650.628,-0.2727272727272727,-0.21957788214474236,"0,2"
2024-01-28,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Domingo,0.0,-7.650.628,-0.9090909090909091,-0.2186833789190701,"0,4"
2024-01-29,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Lunes,0.0,-7.650.628,-0.5454545454545454,-0.22032602562335693,"0,2"
2024-01-30,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Martes,0.0,-7.650.628,-0.8181818181818182,1.0977036750040954,"196,2"
2024-01-31,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Miércoles,0.0,-7.650.628,-0.36363636363636365,-0.1824968601376599,"5,1"
2024-02-01,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Jueves,0.0,-7.650.628,0.36363636363636365,0.577729841452275,"77,4"
2024-02-02,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Viernes,0.0,-7.650.628,-1.0,0.020993708388233716,"34,2"
2024-02-03,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Sábado,0.0,-7.650.628,-0.7272727272727273,0.10029245946410788,"24,4"
2024-02-04,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Domingo,0.0,-7.650.628,0.2727272727272727,0.8899181536977939,"93,6"
2024-02-05,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Lunes,0.0,-7.650.628,-0.45454545454545453,0.16457633496619795,"34,5"
2024-02-06,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Martes,0.0,-7.650.628,-0.36363636363636365,0.27762400923923763,"45,0"
2024-02-07,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Miércoles,0.0,-7.650.628,-0.36363636363636365,0.7689685389693971,"80,8"
2024-02-08,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Jueves,0.0,-7.650.628,-0.2727272727272727,0.6504223444528355,"86,4"
2024-02-09,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Viernes,0.0,-7.650.628,-0.09090909090909091,1.57749024237397,"201,3"
2024-02-10,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Sábado,0.0,-7.650.628,-0.7272727272727273,5.641671591758832,"494,1"
2024-02-11,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Fin de Semana,Domingo,0.0,-7.650.628,-0.8181818181818182,5.001806837080427,"523,2"
2024-02-12,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Lunes,0.0,-7.650.628,-0.2727272727272727,1.723254892185987,"252,8"
2024-02-13,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Martes,0.0,-7.650.628,-0.7272727272727273,2.751623794528746,"462,0"
2024-02-14,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Miércoles,0.0,-7.650.628,-0.45454545454545453,2.611591691966967,"504,9"
2024-02-15,URBANA,013_ZW Parque Llano Verde,0.0,MR76,False,Laboral,Jueves,0.0,-7.650.628,-0.09090909090909091,1.1739712191358311,"160,9"
