USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
17861067.99730465,21123168.740869362,3262100.7435647137,0.1544323573599619
10892466.834082447,7780030.570215741,3112436.263866706,0.40005450309951646
17926483.407524556,18645307.203764297,718823.7962397411,0.038552531657650456
10575397.51625155,12955438.65739116,2380041.1411396116,0.1837098074469121
8586569.959248131,8586711.434045393,141.47479726187885,1.647601626636088e-05
16231467.558787487,17406232.09020054,1174764.5314130522,0.06749102995555413
22553925.801680617,23883450.06105011,1329524.2593694925,0.05566717773064633
16790643.09192815,20739313.53645055,3948670.4445223995,0.19039542642442728
24120646.65054377,30750163.483906478,6629516.833362706,0.21559289715101368
10538508.458093565,11344375.657761019,805867.1996674538,0.07103671669371567
22311030.57521426,20529600.47042866,1781430.1047855988,0.08677373470329412
14299129.949194375,12695060.492430773,1604069.4567636028,0.12635382538901674
11007472.644057004,12513295.048815072,1505822.4047580678,0.1203378006259558
20163495.547305625,29210443.343326915,9046947.79602129,0.3097162097023787
13595696.974172723,14039137.833035488,443440.85886276513,0.03158604638949442
12723798.159051018,15888716.79901065,3164918.6399596315,0.19919284105791998
29101297.83857552,42472058.9590919,13370761.120516382,0.3148131135670815
14514309.402106224,15635504.621897038,1121195.2197908144,0.07170828488775574
10271708.200579219,7850407.5318080615,2421300.668771157,0.3084299329634288
11396618.276632879,12945279.196835048,1548660.9202021696,0.1196313263433358
13632738.859317057,19752767.9964894,6120029.137172341,0.3098314696077044
3043379.8461006116,-14988.553121170029,3058368.3992217816,-204.04693998796336
15088867.365656242,18857810.040657252,3768942.6750010103,0.19986110088473727
19507105.860618725,23340729.007085435,3833623.1464667097,0.16424607583177692
13227028.049464503,12822287.804143347,404740.24532115646,0.031565368950022335
15539390.9776713,15718512.446480576,179121.46880927682,0.011395573812672246
17190772.492680218,21301294.531772226,4110522.039092008,0.1929705273527346
11684862.100017155,19922643.188433137,8237781.088415982,0.41348836148401963
16425519.14223933,20932642.76918947,4507123.626950139,0.21531555650412787
16417250.988205157,16948122.844168395,530871.8559632376,0.03132334246361112
19401281.96532692,20363022.280423462,961740.3150965422,0.047229743299015935
10510173.981546324,15848308.2899816,5338134.308435276,0.3368267584629043
19779448.28369827,19042396.282576345,737052.0011219233,0.03870584301390265
18666512.7638858,21017168.23991902,2350655.476033222,0.1118445381984666
26211253.14045745,28301454.24299283,2090201.1025353782,0.07385490104463067
26863988.521323107,25722633.48817978,1141355.0331433266,0.04437162445547455
24212667.985602513,23754250.483857118,458417.50174539536,0.019298335767610354
28121261.103022866,31881292.811415404,3760031.708392538,0.11793849548805695
19141491.24970928,20535246.114091832,1393754.8643825538,0.06787134941743514
11675072.716922622,11826829.296994014,151756.58007139154,0.01283155241869966
13186674.551038446,13367717.687851306,181043.13681286015,0.013543309414545287
20849922.615020197,21924620.807843946,1074698.192823749,0.04901786909989593
24977737.803207487,22237494.69024963,2740243.1129578575,0.1232262514787405
16582452.938558036,19042396.282576345,2459943.3440183084,0.1291824467632332
21493705.90826354,21069032.616567574,424673.2916959673,0.02015627862107094
15322980.719074525,17375471.763603747,2052491.044529222,0.11812577364538426
14644625.407753117,18891457.26747846,4246831.859725341,0.22480170796756052
13268273.73873867,13858026.663536064,589752.9247973952,0.042556775153938964
17944223.82758995,19947316.74222032,2003092.9146303684,0.10041916617239245
16002753.270430773,12240175.401322156,3762577.8691086173,0.30739574767059236
27581660.997879747,29454785.72185383,1873124.7239740826,0.06359322188463001
15503587.304454528,18017759.84787846,2514172.543423932,0.13953857553051852
16290555.163917769,18184922.163022526,1894366.9991047569,0.10417240074619562
13282815.779959928,11905102.065601991,1377713.7143579368,0.11572464534668998
15163798.355728664,11450498.919421833,3713299.4363068305,0.3242914970288758
25953168.534242257,24136422.112817954,1816746.4214243032,0.07526991419575385
23811850.623378776,17758768.47424083,6053082.149137948,0.3408503330576087
25461743.430412315,22052835.60131553,3408907.8290967867,0.15457911584365294
12669971.008338055,14634060.518347826,1964089.5100097712,0.13421357029016273
14240970.564412765,16918657.575616196,2677687.0112034306,0.1582682904501013
17316962.464615997,20668430.69280956,3351468.2281935625,0.16215397666159148
10422290.428020494,9643557.041527463,778733.3864930309,0.08075167525215216
22421211.238031644,21642847.20477177,778364.0332598761,0.035964031252240417
29389328.490328196,25959239.24390902,3430089.2464191765,0.13213365823977294
18933780.52682642,20825001.861382645,1891221.3345562257,0.0908149419214823
12464358.005069366,16800175.952761047,4335817.947691681,0.2580816986609658
21125609.674422853,25487958.178348273,4362348.50392542,0.17115331378843776
18156346.944468185,22800824.704367764,4644477.759899579,0.20369779690512138
19647663.306858215,26124668.069899637,6477004.763041422,0.2479267773168038
27342666.388456967,44047689.980033115,16705023.591576148,0.37924857351540026
27715873.08157494,32990460.112918023,5274587.031343084,0.1598821905875063
15695264.308029428,17532852.34345471,1837588.035425283,0.10480827645316271
15106025.859417887,25403456.989957057,10297431.13053917,0.405355504749221
18415744.22606762,29441010.890923217,11025266.664855596,0.37448668816785535
16430765.532899749,28978355.45154701,12547589.918647263,0.4329986889569128
10930301.27290095,18583822.974078216,7653521.7011772655,0.41183785014810126
13936743.208358474,24284935.592119813,10348192.383761339,0.42611570224296624
25461121.13810829,31421123.613681067,5960002.475572776,0.18968139232862227
14715093.541711804,19749743.496347744,5034649.9546359405,0.2549222958549807
11508624.35843746,12181650.918875499,673026.5604380388,0.05524920759264103
22304197.208598793,31621858.959612537,9317661.751013745,0.2946588865289125
8355785.379230776,9870091.02292236,1514305.6436915835,0.15342367564541715
18021520.25860975,22247648.754730556,4226128.496120807,0.18995843303316257
18341366.41404607,19201538.680975474,860172.266929403,0.04479704888346503
18365682.352957815,18901319.94389935,535637.5909415334,0.028338634155252083
19012301.392292716,27415081.442781325,8402780.05048861,0.3065021006056923
12656917.75711912,15100464.880959384,2443547.123840265,0.161819330934732
21826091.925348207,23868918.430574685,2042826.505226478,0.08558521456128221
16845526.298634037,22830897.031378366,5985370.732744329,0.2621609972012114
13922244.152791334,18434019.832806945,4511775.6800156105,0.24475267581008148
22556666.186814126,29793346.271162834,7236680.084348708,0.24289584722992785
23918736.32392589,23748902.973347966,169833.3505779244,0.007151208237640225
15749033.627809847,18610015.523030207,2860981.89522036,0.15373345023166943
