USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
174513.1802144464,484391.35129593225,309878.17108148587,0.6397268866432961
2684860037951.839,1790275.8222011798,2684858247676.0166,1499689.7206459113
1358610792729.8362,641634.4251024469,1358610151095.4111,2117420.9143757955
1762029931917.6348,1321203.5872453754,1762028610714.0476,1333654.1224413144
352460162417.9433,1226173.663127141,352458936244.28015,287446.1806212632
-1346529468161.0461,1269629.4634223261,1346530737790.5095,1060569.8564689052
-2005650610295.605,1592946.3792238468,2005652203241.9841,1259083.3121572025
-2664475885043.0854,3250336.42006906,2664479135379.5054,819754.877965184
-911455390698.1362,2333156.4375971546,911457723854.5739,390654.3552618597
-204545418694.71677,4435621.627146436,204549854316.3439,46115.26219109378
-1209385855637.4043,4646787.786954118,1209390502425.1912,260263.7688384569
-2041582200081.408,1586631.881368613,2041583786713.2893,1286740.6804861624
-2560532770696.219,1947231.9237415944,2560534717928.143,1314961.3493435804
-2035270822166.1362,2463671.202619356,2035273285837.3389,826114.0056649817
-2375738713036.966,84899.36485968495,2375738797936.3306,27982998.481352203
-2522412572953.6865,96215.37935266609,2522412669169.066,26216314.752794985
-2190177125249.8647,3074371.4529023273,2190180199621.3176,712399.3418406554
-2585913513321.209,1056262.8135741996,2585914569584.0225,2448173.4435332073
-2970654240952.765,2277651.1261288403,2970656518603.891,1304263.1878627094
-3246398522847.844,689198.693207284,3246399212046.5376,4710396.644745448
-3159721382049.6445,490556.26901246485,3159721872605.9136,6441099.772237599
-3369348542367.5605,568059.8328790613,3369349110427.3936,5931327.855642841
-3690256698527.776,96904.55599171785,3690256795432.332,38081354.97517503
-3732900235428.4746,124194.62129692966,3732900359623.0957,30056860.11714084
-3993711351218.062,176931.03819773626,3993711528149.1,22572136.403143525
-4313816143300.175,489259.9078103902,4313816632560.0825,8817024.578747777
-4626210762885.578,1620285.1965742647,4626212383170.774,2855184.0089336615
-4787718705452.279,1802820.6098335637,4787720508272.889,2655683.256646867
-5044085611056.54,533052.5404179094,5044086144109.08,9462643.476297013
-5426883633776.453,1503191.6479971316,5426885136968.102,3610241.677565825
-5697771179033.732,526745.7985698677,5697771705779.531,10816928.623349573
-6021013551105.798,2234117.765761736,6021015785223.563,2695030.619019612
-6399153706754.506,598342.608959319,6399154305097.115,10694799.616940185
-6808740628213.55,376755.6994888064,6808741004969.249,18072031.8609846
-7174588900784.073,1678885.1549121474,7174590579669.229,4273425.468488736
-7569813662194.65,2321586.6908688955,7569815983781.341,3260621.717704714
-8055877266852.308,2624735.7719694227,8055879891588.079,3069215.567380139
-8523437137869.968,2186766.2338541625,8523439324636.201,3897736.846619261
-9011463541208.441,1988427.4019408545,9011465529635.844,4531956.017524188
-9544264725171.605,1868561.6347931307,9544266593733.24,5107814.704110571
-10122236662986.846,233408.06656709337,10122236896394.912,43367125.41802948
-10711440535757.26,1000913.7302507503,10711441536670.99,10701663.10336011
-11324856423508.807,2445983.074217716,11324858869491.88,4629982.516585419
-12005859012189.271,1614987.8436621975,12005860627177.115,7434025.385573334
-12715767732246.69,490378.9888480786,12715768222625.678,25930491.541849226
-13457323737881.71,3127583.202243895,13457326865464.914,4302787.806191666
-14246840978261.678,2108889.2736413274,14246843087150.951,6755614.562234245
-15091912331828.28,204654.3319046672,15091912536482.611,73743430.67173764
-15981321543689.037,2464677.267552248,15981324008366.305,6484144.686512195
-16913562279678.408,411268.8234917316,16913562690947.232,41125321.74782578
-17912622862889.08,2328159.3529635165,17912625191048.43,7693899.976497498
-18970325861791.934,939742.1015282393,18970326801534.035,20186737.159784444
-20084530517598.062,1158534.632407613,20084531676132.695,17336151.30209267
-21264213394176.02,1314336.196877462,21264214708512.215,16178672.36634792
-22517713462372.38,1173833.9105941486,22517714636206.29,19183050.032017484
-23845020557140.965,1016415.7726253025,23845021573556.74,23459909.040930543
-25245053615587.645,1859739.730612859,25245055475327.375,13574509.948770152
-26731002971971.465,1870946.053004126,26731004842917.52,14287426.834138958
-28306151450027.305,2310533.2726194113,28306153760560.58,12250918.043898318
-29971706700236.824,4178183.1284318813,29971710878419.953,7173383.730949263
-31734308162597.215,937799.7757271823,31734309100396.992,33839109.28725675
-33602280359419.258,347740.4765839105,33602280707159.734,96630340.64155437
-35581233681669.7,2005323.309607894,35581235686993.016,17743391.061439518
-37674256613609.05,1482814.4011019566,37674258096423.445,25407264.77192678
-39891036861367.625,1660050.2454471334,39891038521417.87,24030018.748422425
-42239552812214.5,1789331.8053258231,42239554601546.305,23606328.617097832
-44725656770500.64,1016415.7726253025,44725657786916.414,44003309.46399465
-47357335886284.33,1494521.539957615,47357337380805.87,31687289.955117628
-50144307608804.55,11391086.996728849,50144318999891.55,4402066.195639746
-53096110641913.27,1697170.4958675643,53096112339083.766,31285078.587194003
-56220784988306.875,2059013.7153933041,56220787047320.59,27304717.12112007
-59529184951227.875,1988785.2862727095,59529186940013.164,29932435.316624876
-63032909455562.9,1023801.7074740457,63032910479364.61,61567498.88108831
-66742792311471.74,845060.0897326131,66742793156531.83,78979937.6014196
-70670633793104.25,449729.75515533355,70670634242834.0,157140223.50694776
-74829642258509.77,449729.75515533355,74829642708239.52,166388018.24974617
-79233853411341.39,2124327.0519562894,79233855535668.44,37298331.9412621
-83897050047512.27,568751.2255201677,83897050616263.48,147510979.9359694
-88834467674488.22,1227496.6163538736,88834468901984.83,72370438.9229655
-94062693383810.12,1250411.1856018268,94062694634221.31,75225410.42285115
-99598696997468.17,765564.340018726,99598697763032.52,130098402.65103818
-105460362389849.1,1640260.2390964883,105460364030109.33,64294897.551257186
-111666927435323.72,313617.36894263525,111666927748941.1,356061043.83002603
-118238950378412.8,1298480.7021751646,118238951676893.5,91059460.08964491
-125197747180944.19,1843988.3880071384,125197749024932.58,67895085.36994535
-132565957645472.52,3165063.552998235,132565960810536.06,41884138.68813395
-140367865594258.25,6011201.304131493,140367871605459.55,23351051.5625196
-148629009851110.06,1942395.4992569312,148629011793505.56,76518408.24917686
-157376307004338.9,2318879.8443589224,157376309323218.75,67867384.20538
-166638349532004.5,526641.6464732907,166638350058646.16,316416962.41563267
-176445550765655.8,2964305.954842082,176445553729961.78,59523394.82425713
-186829968742856.53,1652064.8820425593,186829970394921.4,113088760.87477322
-197825484624587.25,1462918.0266526798,197825486087505.28,135226637.77693146
-209468120058544.6,719285.3531056894,209468120777829.94,291216997.3618959
-221795998237909.06,2032050.5103911792,221796000269959.56,109148861.77079466
-234849408416891.66,774543.5803448907,234849409191435.25,303210064.80598664
-248671020487447.53,1951455.6236580973,248671022438903.16,127428479.24604987
-263306087753853.16,2141382.511771276,263306089895235.66,122960792.12743646
-278802502613997.2,3687754.1736726677,278802506301751.38,75602248.19001138
-295210913807562.94,2870364.0877327686,295210916677927.0,102847899.30991194
-312584998692279.25,4468121.513282549,312585003160400.75,69958930.66720945
-330981616549567.94,4506543.664910192,330981621056111.6,73444671.94077605
-350460939434645.94,4919822.508130554,350460944354468.44,71234469.08405593
-371086671326245.2,2150721.8524313504,371086673476967.06,172540523.10737467
-392926287990858.8,453228.8223999076,392926288444087.6,866949031.0953528
-416051251060377.0,1289600.0739404398,416051252349977.06,322620369.49076074
-440537188026574.8,2752102.7060727403,440537190778677.5,160072947.0621122
-466464191181514.9,3893485.5884408834,466464195075000.44,119806323.78860107
-493917083219406.1,4072790.070704242,493917087292196.2,121272414.90912175
-522985668889946.5,2277595.726077469,522985671167542.25,229621817.94582173
-553765032763834.5,518226.37867007987,553765033282060.9,1068577471.3035326
-586355852303470.9,739487.5358385326,586355853042958.4,792921887.9640311
-620864752763815.5,1543312.3651997999,620864754307127.9,402293643.4042953
-657404612284670.4,2348119.9914723835,657404614632790.4,279970622.038172
-696094953219012.6,2083004.1536388765,696094955302016.8,334178380.8188682
-737062343110304.1,1634501.9577570166,737062344744806.1,450940019.5251262
-780440794354200.6,3202884.0600679917,780440797557084.6,243668138.75258327
-826372207603944.8,3782612.357631653,826372211386557.1,218466005.3043237
-875006824245252.6,1549675.6151002396,875006825794928.2,564638700.6859684
-926503747600769.9,1027804.9151860932,926503748628574.8,901439305.2020217
-981031429001411.6,2196655.143023834,981031431198066.8,446602387.4132629
-1038768233497759.0,6060386.577739438,1038768239558145.6,171402966.82948774
-1099903030694239.8,3496235.088083095,1099903034190474.9,314596417.71215284
-1164635804035558.2,3282949.32230997,1164635807318507.5,354752904.4703739
-1233178310015328.5,1439560.2569937608,1233178311454888.8,856635424.2302713
-1305754755614587.2,776448.2341110157,1305754756391035.5,1681702268.131297
-1382602557828447.5,2198393.596635847,1382602560026841.0,628914932.3135798
-1463973096832535.0,2415935.19435527,1463973099248470.2,605965384.613371
-1550132548141187.0,171543.9372024485,1550132548312731.0,9036358693.827423
-1641362755616410.0,3067874.1348775704,1641362758684284.2,535016329.3937696
-1737962148356976.8,1519862.6314556056,1737962149876839.5,1143499493.906469
-1840246723914182.8,2882884.499342549,1840246726797067.2,638335225.4371417
-1948551066818280.8,1064016.6047640443,1948551067882297.2,1831316409.1216478
-2063229467551425.2,557345.4629439658,2063229468108770.8,3701886182.4236345
-2184657056254569.2,1882853.7400457468,2184657058137423.0,1160290367.5801942
