lags,lags_label,params,mean_absolute_percentage_error,max_depth,n_estimators
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 20, 'n_estimators': 250}",0.8266412679856195,20,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 30, 'n_estimators': 250}",0.8277092993625833,30,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 30, 'n_estimators': 250}",0.8382223440652319,30,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 20, 'n_estimators': 100}",0.8400229044248788,20,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 30, 'n_estimators': 100}",0.840259220196583,30,100
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 30, 'n_estimators': 100}",0.8422313465710225,30,100
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 20, 'n_estimators': 100}",0.842429855987128,20,100
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 30, 'n_estimators': 250}",0.8439592884614614,30,250
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 20, 'n_estimators': 250}",0.8452786837136088,20,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 20, 'n_estimators': 250}",0.8458127608266481,20,250
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 10, 'n_estimators': 100}",0.8467259379680835,10,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 10, 'n_estimators': 250}",0.8597463544681928,10,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 10, 'n_estimators': 250}",0.86507318093781,10,250
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 10, 'n_estimators': 250}",0.8658069841278482,10,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 20, 'n_estimators': 100}",0.8806268750193744,20,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 10, 'n_estimators': 100}",0.8820873004761329,10,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 30, 'n_estimators': 100}",0.8824473276553496,30,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 10, 'n_estimators': 100}",0.9047626266043152,10,100
