USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
685091.132,943780.0,258688.86800000002,0.2740986967301702
2760202.964,3608755.0,848552.0359999998,0.2351370586254816
1263137.876,1846254.0,583116.1240000001,0.3158374329859272
1307564.008,1732257.0,424692.9920000001,0.24516742723510432
3702387.328,4474226.0,771838.6719999998,0.17250775262581725
3401665.66,3442559.0,40893.33999999985,0.011878762281198333
3335760.776,3572217.0,236456.22399999993,0.06619312992463781
3204766.568,3328862.0,124095.43200000003,0.03727863516120525
4218207.048,5429456.0,1211248.9519999996,0.22308845527065688
4461205.6,6088199.0,1626993.4000000004,0.2672372240132099
4309842.688,4237331.0,72511.68800000008,0.01711258525708756
1620989.864,1755475.0,134485.13599999994,0.0766089725003204
3342347.936,4108499.0,766151.0639999998,0.18647955469868674
20327526.372,19318671.0,1008855.3720000014,0.05222177923108693
4578215.196,7353447.0,2775231.8039999995,0.3774055628605196
2225376.28,2793997.0,568620.7200000002,0.20351515051734137
3167902.364,3868265.0,700362.6359999999,0.1810534273117276
2940211.916,3122994.0,182782.0839999998,0.058527837069171376
2066696.368,2774706.0,708009.632,0.2551656398912173
1497971.596,2025255.0,527283.4040000001,0.2603540808441407
2979260.488,3396337.0,417076.5120000001,0.12280186330155109
3128259.304,4134985.0,1006725.696,0.24346538040645854
4327577.488,5669207.0,1341629.512,0.23665205945028997
3022731.284,3293628.0,270896.716,0.08224872875746746
3084935.956,3326917.0,241981.04400000023,0.07273431949158943
3046839.484,3610718.0,563878.5159999998,0.1561679743474843
2271513.092,2768756.0,497242.9079999998,0.17959072883273203
3002902.188,3519163.0,516260.8119999999,0.14669988630819314
3203365.996,3609888.0,406522.0040000002,0.11261346723222443
3164558.64,3425731.0,261172.35999999987,0.07623843203100299
2282367.78,3076868.0,794500.2200000002,0.2582171935877653
2314870.704,2671257.0,356386.2960000001,0.13341520340424007
1618173.324,2794334.0,1176160.676,0.4209091239629908
2908030.304,3478033.0,570002.696,0.16388651171509874
3637427.836,5251937.0,1614509.1639999999,0.30741213460862155
1410208.736,2000248.0,590039.264,0.29498305410129144
4680905.168,6157231.0,1476325.8320000004,0.23977106462304246
1209970.392,1320162.0,110191.60800000001,0.08346824707876761
4363035.872,6077014.0,1713978.1279999996,0.2820428137897987
4432569.464,6360227.0,1927657.5360000003,0.3030799900695369
3434997.0,4443600.0,1008603.0,0.2269788009721847
3520758.964,4716321.0,1195562.0359999998,0.25349462769815706
778381.408,1376682.0,598300.592,0.4345960737483311
4279889.224,7503383.0,3223493.7759999996,0.42960538946232646
3008403.424,4137852.0,1129448.576,0.2729552859792955
4254901.656,5632107.0,1377205.3439999996,0.244527553187466
1704395.84,2632837.0,928441.1599999999,0.3526390581718503
4287726.224,6271672.0,1983945.7759999996,0.3163344282035157
425309.956,599033.0,173723.044,0.29000579934661364
4266082.148,8619088.0,4353005.852,0.505042511690332
4382568.56,7179272.0,2796703.4400000004,0.38955251173099453
1961838.58,3152208.0,1190369.42,0.3776303530731474
4389513.144,6462445.0,2072931.8559999997,0.3207658797869846
5743501.848,7498811.0,1755309.1519999998,0.2340783294845009
1126587.672,1609889.0,483301.328,0.3002078578088303
3362542.744,4155958.0,793415.256,0.1909103162255249
3153061.852,4000255.0,847193.148,0.21178478571991036
4458941.796,7441605.0,2982663.204,0.40080912706331495
6309883.284,10943597.0,4633713.716,0.4234177954469632
6007594.24,8027264.0,2019669.7599999998,0.2516012628960502
4534366.42,6092740.0,1558373.58,0.2557754934561462
9092610.06,12572883.0,3480272.9399999995,0.27680786817152436
9666339.216,12807694.0,3141354.784,0.24527091168792758
2441004.332,3062576.0,621571.6680000001,0.20295714065544823
12111882.368,17498531.0,5386648.631999999,0.3078343337506445
7944258.388,10991468.0,3047209.6119999997,0.2772340884766257
