USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
11191762.51,12578455.0,1386692.4900000002,0.11024346710307428
10368500.35,11802166.0,1433665.6500000004,0.12147479115274268
6430715.77,7686427.0,1255711.2300000004,0.16336735260739488
6873772.42,7221680.0,347907.5800000001,0.048175435632705974
9797439.36,9493611.0,303828.3599999994,0.03200345579779911
7051223.04,8124005.0,1072781.96,0.1320508739224065
10925142.68,10538720.0,386422.6799999997,0.0366669462705148
10113677.02,12703137.0,2589459.9800000004,0.20384413550763095
15160071.62,19875357.0,4715285.380000001,0.2372428017267816
12139288.14,17364463.0,5225174.859999999,0.3009119752220382
11483214.34,13799051.0,2315836.66,0.16782579178814544
6771047.78,10210681.0,3439633.2199999997,0.3368661913931108
4445058.48,4766224.0,321165.51999999955,0.0673836395435883
6322218.71,6929862.0,607643.29,0.08768476053347095
6589313.42,7368064.0,778750.5800000001,0.10569270028056217
10495751.85,13826125.0,3330373.1500000004,0.24087538265421443
6381387.78,7044290.0,662902.2199999997,0.0941049019844441
8423548.7,9868658.0,1445109.3000000007,0.146434226416601
8632124.33,10078751.0,1446626.67,0.14353233550466718
11817008.17,14551507.0,2734498.83,0.18791860045835804
12560327.97,16221363.0,3661035.0299999993,0.22569219553252087
6647205.35,7980637.0,1333431.6500000004,0.1670833606390067
14037970.12,18392824.0,4354853.880000001,0.23676918128504904
10321522.8,14470085.0,4148562.1999999993,0.28669922809713966
4804930.36,6229496.0,1424565.6399999997,0.22868072152225472
11756574.73,15897324.0,4140749.2699999996,0.26046831969959217
9820495.66,10319569.0,499073.33999999985,0.048361839530313706
10380729.61,13644978.0,3264248.3900000006,0.23922709072891143
10461016.64,12344085.0,1883068.3599999994,0.15254823342515864
6631828.53,8832343.0,2200514.4699999997,0.24914277785634
5389331.59,6843071.0,1453739.4100000001,0.21243962104148856
9824784.55,8893187.0,931597.5500000007,0.10475407185298147
7293703.85,9107509.0,1813805.1500000004,0.1991549116229257
10105184.39,12155415.0,2050230.6099999994,0.16866808825531662
13314170.85,20310155.0,6995984.15,0.3444574475182489
12224928.84,17231105.0,5006176.16,0.29053134781547674
12840345.88,18869946.0,6029600.119999999,0.31953457206501806
16010975.75,24930949.0,8919973.25,0.35778715242648806
26918060.96,32757293.0,5839232.039999999,0.1782574659023259
6538702.81,8829801.0,2291098.1900000004,0.25947336638730595
6436618.61,8321522.0,1884903.3899999997,0.2265094522372229
9907824.62,13474285.0,3566460.380000001,0.26468642900161315
9646265.12,13866395.0,4220129.880000001,0.30434225189748315
9063172.65,13248641.0,4185468.3499999996,0.3159168061086416
10456046.8,16143791.0,5687744.199999999,0.35231775485696015
12374554.79,17986913.0,5612358.210000001,0.3120245375067974
10563172.17,15093397.0,4530224.83,0.30014613873868157
9461476.44,10681452.0,1219975.5600000005,0.11421439332405374
11126284.06,14105025.0,2978740.9399999995,0.2111829606824518
6536295.61,8722219.0,2185923.3899999997,0.250615513093629
9154847.64,9013300.0,141547.6400000006,0.015704308078062484
14647521.4,23663222.0,9015700.6,0.38100055013641
14740284.81,21045301.0,6305016.1899999995,0.2995925879130928
9001959.34,15012042.0,6010082.66,0.4003507757305768
11845612.88,15491576.0,3645963.119999999,0.2353513367523097
10324153.19,11677429.0,1353275.8100000005,0.11588816425259366
6578349.44,9148352.0,2570002.5599999996,0.28092519395843096
6979804.61,10931273.0,3951468.3899999997,0.36148291145962597
7192476.1,10088452.0,2895975.9000000004,0.287058500154434
7723524.44,10768759.0,3045234.5599999996,0.2827841685378974
18647748.88,27227937.0,8580188.120000001,0.31512442973553234
