DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
0,1,0,0,1956191.0,36.0,10909.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2288818.0,270955.0,296912396.0,480.6,1144.3,874.2,3658.9,1470.0,1520.4,917.3,34.0,34.0,33.0,38.0,43.0,37.0,41.0,41.0,30.0,34.0
1,1,0,0,2.1,42.0,12919.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1956191.0,2288818.0,270955.0,296912396.0,480.6,1144.3,874.2,3658.9,1470.0,1520.4,36.0,34.0,34.0,33.0,38.0,43.0,37.0,41.0,41.0,30.0
2,1,0,0,1.0,40.0,6457.0,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1,1956191.0,2288818.0,270955.0,296912396.0,480.6,1144.3,874.2,3658.9,1470.0,42.0,36.0,34.0,34.0,33.0,38.0,43.0,37.0,41.0,41.0
3,1,0,0,0.5,31.0,3232.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.1,1956191.0,2288818.0,270955.0,296912396.0,480.6,1144.3,874.2,3658.9,40.0,42.0,36.0,34.0,34.0,33.0,38.0,43.0,37.0,41.0
4,1,0,0,1.7,49.0,8448.0,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,2.1,1956191.0,2288818.0,270955.0,296912396.0,480.6,1144.3,874.2,31.0,40.0,42.0,36.0,34.0,34.0,33.0,38.0,43.0,37.0
5,0,1,0,1636.8,42.0,9527354.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.5,1.0,2.1,1956191.0,2288818.0,270955.0,296912396.0,480.6,1144.3,49.0,31.0,40.0,42.0,36.0,34.0,34.0,33.0,38.0,43.0
6,0,1,0,1091.6,61.0,5769081.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1636.8,1.7,0.5,1.0,2.1,1956191.0,2288818.0,270955.0,296912396.0,480.6,42.0,49.0,31.0,40.0,42.0,36.0,34.0,34.0,33.0,38.0
0,1,0,0,272.7,66.0,694870.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1091.6,1636.8,1.7,0.5,1.0,2.1,1956191.0,2288818.0,270955.0,296912396.0,61.0,42.0,49.0,31.0,40.0,42.0,36.0,34.0,34.0,33.0
1,1,0,0,3.2,41.0,16884.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,272.7,1091.6,1636.8,1.7,0.5,1.0,2.1,1956191.0,2288818.0,270955.0,66.0,61.0,42.0,49.0,31.0,40.0,42.0,36.0,34.0,34.0
2,1,0,0,5.1,53.0,20520.0,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.2,272.7,1091.6,1636.8,1.7,0.5,1.0,2.1,1956191.0,2288818.0,41.0,66.0,61.0,42.0,49.0,31.0,40.0,42.0,36.0,34.0
3,1,0,0,347.5,50.0,1345563.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,3.2,272.7,1091.6,1636.8,1.7,0.5,1.0,2.1,1956191.0,53.0,41.0,66.0,61.0,42.0,49.0,31.0,40.0,42.0,36.0
