DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
5,0,1,0,0.43,26.0,2870.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.06,1.9,1.24,3.16,283.33,41.02,20.21,43.76,180.88,237.46,39.0,43.0,57.0,65.0,50.0,26.0,31.0,34.0,35.0,36.0
6,0,1,0,57.46,52.0,419566.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.43,1.06,1.9,1.24,3.16,283.33,41.02,20.21,43.76,180.88,26.0,39.0,43.0,57.0,65.0,50.0,26.0,31.0,34.0,35.0
0,1,0,0,1.37,27.0,8591.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,57.46,0.43,1.06,1.9,1.24,3.16,283.33,41.02,20.21,43.76,52.0,26.0,39.0,43.0,57.0,65.0,50.0,26.0,31.0,34.0
1,1,0,0,53.75,34.0,478046.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.37,57.46,0.43,1.06,1.9,1.24,3.16,283.33,41.02,20.21,27.0,52.0,26.0,39.0,43.0,57.0,65.0,50.0,26.0,31.0
2,1,0,0,142.36,57.0,1760489.0,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,53.75,1.37,57.46,0.43,1.06,1.9,1.24,3.16,283.33,41.02,34.0,27.0,52.0,26.0,39.0,43.0,57.0,65.0,50.0,26.0
3,1,0,0,41.02,56.0,682983.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142.36,53.75,1.37,57.46,0.43,1.06,1.9,1.24,3.16,283.33,57.0,34.0,27.0,52.0,26.0,39.0,43.0,57.0,65.0,50.0
4,1,0,0,2.61,30.0,50566.0,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.02,142.36,53.75,1.37,57.46,0.43,1.06,1.9,1.24,3.16,56.0,57.0,34.0,27.0,52.0,26.0,39.0,43.0,57.0,65.0
5,0,1,0,4.96,21.0,87038.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,41.02,142.36,53.75,1.37,57.46,0.43,1.06,1.9,1.24,30.0,56.0,57.0,34.0,27.0,52.0,26.0,39.0,43.0,57.0
6,0,1,0,40.17,54.0,767859.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.96,2.61,41.02,142.36,53.75,1.37,57.46,0.43,1.06,1.9,21.0,30.0,56.0,57.0,34.0,27.0,52.0,26.0,39.0,43.0
0,1,0,0,80.2,57.0,1299328.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,40.17,4.96,2.61,41.02,142.36,53.75,1.37,57.46,0.43,1.06,54.0,21.0,30.0,56.0,57.0,34.0,27.0,52.0,26.0,39.0
