Zona,MAPE,MAE,RMSE,R2
001_ZW Parque Ingenio.csv,38.542045356730846,1280879.2534077007,2218225.810191263,0.06445018943695013
002_ZW Canchas Panamericanas.csv,30.78127478575381,599203.9609468796,820990.9102738791,0.6264102921178911
003_ZW Parque del Perro.csv,29.93003929259166,776407.0420910768,1341976.0043886786,0.3586242678880953
004_ZW Parque San Nicolas.csv,23.92227786951468,2086313.5530403552,2911318.5990799125,0.42310456021217235
005_ZW Parque Barrio Obrero.csv,37.025706684349004,2662682.4947847207,4015930.1326289177,0.8084184272490755
006_ZW Parque Vallado.csv,2213.063572608881,982644.4365100589,2058515.8394929466,0.3117828801070579
007_ZW Parque Pizamos.csv,26.09619070100421,1007011.5093542993,1393544.7308798225,0.6663706459151778
008_ZW Parque Alfonso Lopez.csv,49.31163016382632,2417874.336533258,3330760.849406352,0.5496253097997312
009_ZW Polideportivo Los Almendros.csv,129.95975875921195,626328.9748932043,775197.8255207398,0.27820630263431956
010_ZW Parque Antonio Nariño.csv,26.181070324713897,1004480.0690355309,1310019.6278380828,0.5749755387295041
011_ZW Parque Santa Rosa Poblado.csv,635.1682528680586,2668148.186521566,3514544.962931408,-0.6787640557778558
012_ZW Polideportivo Los Naranjos.csv,207.59609406624455,1066347.8232673362,1886187.254233406,0.6531304877636992
013_ZW Parque Llano Verde.csv,26.367130433963975,764983.9115617741,994908.4892983672,0.3138730666602394
014_ZW Centro Cultural Alto Jordan.csv,51.533719175782934,4434077.686989524,6748369.385122032,-0.35487161439942505
015_ZW Centro Cultural Comuna 13.csv,61.48780383084631,1545699.7348134972,2255916.8653288055,0.8064725290166578
016_ZW Conjunto Habitacional Ramali.csv,73.64571768332019,4306114.709895718,6335251.67048263,0.4849526119888834
017_ZW Conjunto Habitacional Rio Cauca.csv,18.926863105407,4305221.30778643,5843715.152551338,0.7310699717741236
018_ZW Parque Las Banderas.csv,1954.8350253092003,966429.4964390758,1754041.3248401969,0.08389401877084146
019_ZW Parque Skate Board.csv,29.9200018774777,2149179.726871764,3044350.1556067555,0.3359173668202122
020_ZW Parque Petecuy1.csv,567.910169777836,1862195.3121958778,3056298.952626959,0.21043393400804267
021_ZW Parque Alfonso Barberena.csv,19.956121095601766,1230494.5372651508,1622798.1521884745,0.6524227427158089
022_ZW Polideportivo Los Farallones.csv,98.59759763533803,1046445.6928964792,1601231.7317363573,0.5336649715085349
023_ZW Parque Los Guerreros.csv,52.18111911187604,1135024.4965851584,1559733.0893031303,0.44052170128673984
024_ZW Museo La Tertulia.csv,58.50628160181856,473014.7328941106,850053.3674494502,0.2846407582537811
025_ZW Parque San Marino.csv,60.17026528215609,3514438.623677536,6878570.6777375,0.05839075616783784
026_ZW Parque La Flora.csv,25.992568586585048,1307074.6068987623,2070770.5294441334,0.40677559330905333
027_ZW Parque Alfonso Bonilla Aragón.csv,45.23643481419416,858765.5984171929,1162110.1572518582,0.7599758495606845
028_ZW Parque Yo Amo a Siloé.csv,20.813397120002595,4076868.7969818893,5257127.901302316,0.2967892353594086
029_ZW Centro Cultural Vista Hermosa.csv,907612.2597248042,2083946.0252885043,2917873.5797176766,-0.09432272227092442
030_ZW Parque Mutis.csv,19.894642487742594,1451258.1763004905,1986790.5025126599,0.7656881611484614
