USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
2732285.5662288344,2834450.0,102164.43377116555,0.03604382993920004
4742655.644107517,9740161.0,4997505.355892483,0.5130824178257919
5126288.715569489,6890272.0,1763983.2844305113,0.25601068933570564
4583353.543307764,6558492.0,1975138.4566922355,0.3011574088513389
3923781.9589335155,6909981.0,2986199.0410664845,0.43215734472590944
4035105.5268434226,3026796.0,1008309.5268434226,0.33312767918400266
2099229.0388450692,2350609.0,251379.96115493076,0.10694248220564576
2383679.549791002,1595416.0,788263.5497910022,0.4940802585601512
3762448.111241651,4263339.0,500890.88875834923,0.11748793346209373
4282969.121742157,4638571.0,355601.87825784273,0.07666194572807934
4367429.752558502,4556479.0,189049.24744149763,0.041490204923911124
1518462.6250564458,2061916.0,543453.3749435542,0.26356717487208703
4855792.0400864985,5886925.0,1031132.9599135015,0.17515646282456487
1641895.797645278,1922938.0,281042.20235472196,0.14615250328129245
3540463.3418434826,3756594.0,216130.65815651743,0.057533674961019854
3669820.7801017277,4394644.0,724823.2198982723,0.16493331880768325
12088593.929726185,12937559.0,848965.0702738147,0.06562018927015635
2166285.9244744447,2362516.0,196230.0755255553,0.08305978690749832
1408418.1994247586,668791.0,739627.1994247586,1.1059167952690132
2331197.76889732,2695636.0,364438.23110267986,0.13519563884095623
3108367.8733414514,4695095.0,1586727.1266585486,0.337954211077422
4220769.538497537,5466418.0,1245648.4615024626,0.22787288888307894
2831369.568832353,3688348.0,856978.4311676468,0.2323474984376872
1696604.7322986466,1105551.0,591053.7322986466,0.5346236693726898
3034355.8357671737,4140934.0,1106578.1642328263,0.2672291237273587
2566860.0164112495,3298072.0,731211.9835887505,0.22170892072360776
2507129.2361502647,2900911.0,393781.76384973526,0.1357441727270279
2444027.653755474,3423880.0,979852.3462445261,0.2861818598328581
3556797.413402027,3723910.0,167112.58659797302,0.04487557073021985
2218938.9789733845,2726095.0,507156.0210266155,0.18603754492290822
6454369.805941883,7121426.0,667056.1940581175,0.09366890761177853
3646663.6568745533,4695095.0,1048431.3431254467,0.2233035419145825
1220278.4500916798,1246429.0,26150.549908320187,0.020980376666717628
2175969.989006592,2690985.0,515015.01099340804,0.1913853146685723
2289879.728516013,3011714.0,721834.2714839871,0.23967557061659478
2361729.204996146,2412170.0,50440.795003854204,0.020910961915559103
7624016.194232035,9757967.0,2133950.8057679646,0.21868805313319511
12468384.283558743,18076044.0,5607659.716441257,0.3102260492639461
4336872.872866519,4956463.0,619590.1271334812,0.12500650708650124
2816287.788562678,2410423.0,405864.7885626778,0.16837907228842316
2551765.4068954517,2365067.0,186698.4068954517,0.07894000757502925
1228782.854578549,715355.0,513427.85457854904,0.7177245627395475
2094698.9978645977,1492830.0,601868.9978645977,0.4031731663113668
2112479.1728584296,2067822.0,44657.17285842961,0.02159623645479621
2496369.3453734065,1691909.0,804460.3453734065,0.47547494893248193
1465173.529005339,1331844.0,133329.5290053389,0.10010896847178716
2391487.3319586962,2716320.0,324832.66804130375,0.1195855672532337
2337377.4175603725,2212495.0,124882.4175603725,0.056444158093181
2025996.4416834514,3054885.0,1028888.5583165486,0.3368010770672378
4750063.8300573565,6199960.0,1449896.1699426435,0.23385572970513416
5856993.125557635,7552983.0,1695989.874442365,0.22454570259755186
1390441.9581265147,1411899.0,21457.041873485316,0.015197292351283849
1352049.1984097823,1709782.0,357732.80159021774,0.20922714216795926
715284.4724145192,711836.0,3448.472414519172,0.004844475995199979
294723.6436714246,144577.0,150146.6436714246,1.0385237186511311
2051125.3950590997,2197939.0,146813.60494090035,0.06679603252906488
1172585.374972753,1094647.0,77938.374972753,0.07119955106326788
2260376.2110063476,3144261.0,883884.7889936524,0.28111050227498685
702464.9987312225,1164105.0,461640.00126877753,0.3965621668739311
2589019.730512053,4127196.0,1538176.2694879472,0.372692808746652
2472342.0120377126,3175575.0,703232.9879622874,0.2214505996433047
1359048.0799254165,2262541.0,903492.9200745835,0.3993266509091254
1961230.7447853407,2956006.0,994775.2552146593,0.33652680516029376
4635642.587888962,6450618.0,1814975.4121110383,0.2813645781088011
2072765.0650994228,2752228.0,679462.9349005772,0.24687741527975776
3451247.4925719416,4092346.0,641098.5074280584,0.15665794325016957
1857835.1018584585,2977454.0,1119618.8981415415,0.3760323075155961
2637645.078399509,3294806.0,657160.9216004908,0.19945360109229218
4482777.924763711,6298400.0,1815622.0752362888,0.2882671909113884
2828136.131982968,4190783.0,1362646.8680170318,0.3251532871105547
3333365.1235893844,3369012.0,35646.87641061563,0.010580810163518454
2004643.6999357059,2456701.0,452057.30006429413,0.18400989785256494
4519102.230194239,5464293.0,945190.769805761,0.1729758579574267
3728750.6077503255,5094239.0,1365488.3922496745,0.2680456084313427
2370431.8344069966,3184545.0,814113.1655930034,0.25564504994999393
986691.7097610523,1325756.0,339064.2902389477,0.25575165433077257
2636025.48974968,4146327.0,1510301.5102503202,0.3642504583575584
3711184.187906121,5095369.0,1384184.812093879,0.27165546049636036
1625327.2936975576,2125693.0,500365.70630244236,0.23538945007695955
12369537.889989471,18423777.0,6054239.110010529,0.3286100949881519
2286171.8640861725,2685592.0,399420.13591382746,0.14872703519887887
2039753.4049882514,1542552.0,497201.4049882514,0.32232391840809993
1687831.9556082934,1662799.0,25032.955608293414,0.015054709323432005
2453204.250733926,4958693.0,2505488.749266074,0.5052720039869526
4177411.4214279805,6853465.0,2676053.5785720195,0.3904672422740934
3686953.7061006553,5922868.0,2235914.2938993447,0.3775053392882206
3557408.491150091,3974892.0,417483.50884990906,0.10503015147327502
1872648.1105939958,2363757.0,491108.8894060042,0.2077662337566866
2490324.282627987,3797073.0,1306748.7173720128,0.3441463246484892
1512323.0449520054,828109.0,684214.0449520054,0.8262366970435117
6811054.9526697,10588038.0,3776983.0473303003,0.3567217124957712
1958795.0888372562,2200938.0,242142.9111627438,0.11001805192274558
4944744.851583058,7982060.0,3037315.148416942,0.38051770450446903
3323604.866433055,4446444.0,1122839.1335669449,0.2525251939677965
3439405.3761834614,4318422.0,879016.6238165386,0.20355042277399907
4714063.5054695625,6394242.0,1680178.4945304375,0.2627642955225088
479351.0382219481,893163.0,413811.9617780519,0.4633106854829991
1919747.5879663336,1841074.0,78673.58796633361,0.04273244202369574
1721865.144993686,1829092.0,107226.85500631412,0.058622997097091956
2763338.322151616,3382863.0,619524.6778483838,0.18313620085956298
