USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
5191988.066889529,4517639.0,674349.0668895291,0.14927024202011915
4291233.236968622,3154095.0,1137138.2369686216,0.36052757985051864
4600376.707006473,5394012.0,793635.2929935269,0.1471326524660173
4209916.074852737,4920985.0,711068.9251472633,0.14449727547376456
5399506.695130594,6130585.0,731078.3048694059,0.11925098581447055
5214482.344659597,5093839.0,120643.34465959668,0.02368416918155377
4471851.102831748,4584960.0,113108.89716825169,0.024669549389362545
5427104.555989535,5084361.0,342743.5559895346,0.06741133369356239
5953838.036882011,5733358.0,220480.03688201122,0.03845565493764932
6029925.201119104,6411345.0,381419.7988808956,0.05949138579828345
7652381.638567348,9489186.0,1836804.361432652,0.19356816922259212
4339710.68776263,4747121.0,407410.3122373698,0.08582260958534021
8377416.815329002,8945400.0,567983.1846709978,0.06349444235819503
5612699.984076652,5953991.0,341291.01592334826,0.05732138592808559
5768790.331948245,5260743.0,508047.33194824494,0.0965733037991487
3355210.9414240974,1945827.0,1409383.9414240974,0.7243110211874424
4554994.063647923,5102052.0,547057.9363520769,0.10722312049192696
5968661.588940237,7911965.0,1943303.4110597633,0.245615774470661
4193229.5418525045,4689824.0,496594.4581474955,0.10588765338475292
2964522.4887226755,2846336.0,118186.48872267548,0.04152232509537717
3203487.3813927337,3303187.0,99699.61860726634,0.03018285631641997
6153075.441855479,7557930.0,1404854.558144521,0.18587821773217283
7041865.4165372215,8376204.0,1334338.5834627785,0.15930110864811536
8713887.563485187,11846113.0,3132225.4365148135,0.26440955244262937
4664621.708395744,5967910.0,1303288.2916042563,0.21838269873444074
4211839.226865354,4993105.0,781265.773134646,0.15646892527488326
3803790.2766123894,3953265.0,149474.72338761063,0.037810448676628215
5935643.397257856,6488202.0,552558.6027421439,0.08516359428114968
4009979.108375256,3936288.0,73691.10837525595,0.01872096461825353
2929198.558103551,2132461.0,796737.5581035512,0.37362350734834127
2626825.849823637,2692904.0,66078.15017636307,0.024537878133183755
1742027.7920459225,1971697.0,229669.20795407752,0.11648301334032436
6129046.798255058,8171845.0,2042798.201744942,0.24998004755902026
5936520.191548595,8376204.0,2439683.808451405,0.2912636569562304
5009684.928927617,5061215.0,51530.07107238285,0.01018136377774563
5406279.738287845,6493777.0,1087497.2617121553,0.16746760193831037
5028766.941892494,4936805.0,91961.94189249445,0.018627825464545278
7395980.837869441,9338257.0,1942276.1621305589,0.20799129453500356
4549769.161207091,6239414.0,1689644.838792909,0.2708018475441618
4438950.818533067,4733559.0,294608.18146693334,0.06223819782682192
4527367.166412507,5055533.0,528165.8335874928,0.10447282879717981
5180604.823942641,5370025.0,189420.1760573592,0.03527361158604647
7933178.371074363,8540833.0,607654.6289256373,0.07114699806513455
8332035.269689328,9353111.0,1021075.730310672,0.10916963674553547
4671156.675331725,4418518.0,252638.6753317248,0.057177242535104485
3436119.797169997,3271442.0,164677.7971699969,0.050337984647136305
5753307.750108029,6137681.0,384373.24989197124,0.06262515922413876
5152070.637571899,4882830.0,269240.6375718992,0.055140284951943695
5084581.544682139,5834488.0,749906.4553178614,0.12852995075452403
4893320.994065869,5280844.0,387523.00593413133,0.07338277857367712
5611741.872615909,6151677.0,539935.1273840908,0.08777039616743382
5532541.922597589,7338323.0,1805781.077402411,0.24607544222329966
3473210.3615034292,4530803.0,1057592.6384965708,0.2334227814576292
3551815.250386119,3744595.0,192779.7496138811,0.05148213614927145
3901409.9219254055,4667947.0,766537.0780745945,0.16421289232174113
2207429.8294385634,1888522.0,318907.82943856344,0.16886635656802698
3470410.751754406,3624173.0,153762.2482455941,0.0424268511038502
5244892.331110542,6086928.0,842035.6688894583,0.13833507951621216
4816834.078831749,6234644.0,1417809.921168251,0.2274083205341397
2128861.5423981734,2356175.0,227313.45760182664,0.09647562579257765
4414139.803385131,6062616.0,1648476.196614869,0.2719083967407583
3557150.8213314638,4947862.0,1390711.1786685362,0.2810731541559842
8600866.977964804,11261533.0,2660666.0220351964,0.23626144167363328
9034004.545448443,11726941.0,2692936.454551557,0.22963673600400625
9279491.594220497,12195944.0,2916452.4057795033,0.23913297779815185
4378553.557240754,5338945.0,960391.4427592456,0.17988412369096246
3916674.807995908,4754135.0,837460.192004092,0.1761540620962787
3754653.3444664436,3974495.0,219841.65553355636,0.05531310406317189
5859789.939959063,8684675.0,2824885.060040937,0.3252723976476882
5893089.188417489,6873728.0,980638.8115825113,0.14266476816983611
6647409.586429644,8349935.0,1702525.4135703556,0.20389684633118169
7826735.723774464,9281229.0,1454493.2762255361,0.15671343485065783
3679650.7324006683,3803947.0,124296.26759933168,0.032675604470654214
4358688.173658308,5250608.0,891919.8263416924,0.16986981818899685
7805542.764741937,10424182.0,2618639.2352580633,0.2512081269550036
8068289.8329480495,11858005.0,3789715.1670519505,0.3195912944084566
6666587.895932477,7821044.0,1154456.104067523,0.14760895144785313
11274736.036547765,14715182.0,3440445.963452235,0.23380247444117475
9370969.77403704,12323213.0,2952243.225962959,0.23956765382233994
6879469.888609314,9949703.0,3070233.1113906857,0.3085753525899904
