USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
8816224.859525235,11952829.754403666,3136604.8948784303,0.26241525725093184
9244896.8831164,10214174.645321192,969277.7622047924,0.0948953582508783
8582441.856544495,11128864.906696625,2546423.0501521304,0.2288124684324148
6355219.36742457,3725122.1368044782,2630097.230620092,0.7060432206059875
9160131.215855977,15959824.464003377,6799693.2481474,0.4260506287825273
7580052.039274916,11700284.440943386,4120232.4016684704,0.35214805438834773
8904175.042358913,10009525.261945158,1105350.2195862457,0.11042983464846585
7207737.841867418,8792475.380388014,1584737.538520596,0.18023792731400984
7954123.608461099,7192803.208352382,761320.4001087165,0.10584474203668755
11057972.683015551,21290162.3022585,10232189.619242948,0.4806064638669992
11062232.345590461,23074868.111523107,12012635.765932646,0.520593907964041
8506259.00588803,11117052.399043586,2610793.393155556,0.23484582958160438
7619787.264975293,9491397.954654165,1871610.689678872,0.19719020302600593
8388525.718473533,7124256.436813248,1264269.2816602848,0.17745982235106142
7244084.667462872,11006689.157194905,3762604.4897320326,0.34184707462847497
8258507.841250889,12086789.028889803,3828281.187638914,0.31673268876362193
8352210.502475645,9434934.195675183,1082723.6931995377,0.11475688868035139
10829341.13501061,18130180.562553667,7300839.427543057,0.4026898354571446
8722429.659618637,11972277.125047311,3249847.4654286746,0.2714477314118998
8310338.752923263,13084197.2066322,4773858.453708937,0.3648568099607314
9997508.024923528,12944336.508764312,2946828.483840784,0.22765388414041574
7328204.87675143,9858313.01886799,2530108.1421165597,0.25664717049196384
8792026.308600595,14841294.953846177,6049268.645245582,0.4075970906890366
7738813.077989373,7960004.809504706,221191.73151533306,0.02778788917956649
9158884.255230878,12159311.94653811,3000427.691307232,0.24675966078504027
8351743.145696193,8882703.948308645,530960.8026124518,0.05977468186514896
7120772.478665443,6994329.893646444,126442.58501899894,0.01807786978047142
8799648.941309633,7747859.955972855,1051788.9853367778,0.13575219367845565
5836129.446202199,6102974.820890894,266845.3746886952,0.04372382035319325
8607250.516309485,14034538.9106637,5427288.394354215,0.3867094194473651
8021191.197545195,9671943.418628361,1650752.221083166,0.17067430501131586
8368663.448261857,8987636.390108872,618972.9418470152,0.06886937955436326
8021975.765093356,9629718.43070399,1607742.6656106338,0.16695635258497357
7589501.811008172,12355330.015173856,4765828.204165684,0.3857305469228798
9397363.957192052,14026902.667546017,4629538.710353965,0.3300471116168296
6844680.195528905,8337109.351928882,1492429.1563999774,0.17901038518280768
7501024.963212134,6940372.445439506,560652.517772628,0.08078133013467177
6566840.983471431,4700975.489856473,1865865.4936149577,0.3969102790774016
8409624.009345612,12032511.391200975,3622887.381855363,0.3010915397515996
8517239.56893682,12446929.049282065,3929689.4803452455,0.31571558452579984
7293285.618167367,10564892.53815798,3271606.919990614,0.30966778963196423
8531828.146202484,7001045.592003692,1530782.5541987922,0.21865056213134643
7585998.393614549,10288059.748394612,2702061.354780063,0.2626405192875851
7467711.611456361,8683943.567170667,1216231.9557143059,0.1400552578798677
9506918.220410114,12921204.198824767,3414285.978414653,0.2642389924249626
8866457.628356248,8781899.466596073,84558.1617601756,0.009628687060448775
9795181.69621963,14886098.019150604,5090916.322930973,0.3419913207867927
10063985.88949712,19533308.83753717,9469322.94804005,0.4847782332629097
9432362.069405127,12886771.408377793,3454409.3389726654,0.26805855629028436
7457630.278459025,8088222.75535004,630592.4768910157,0.0779642816431958
7120236.483033232,5420907.738617565,1699328.7444156678,0.3134767877176654
8972153.6560366,11826993.907893434,2854840.2518568337,0.24138342118799008
7750539.874976777,5357293.541252044,2393246.3337247325,0.4467267502324338
9040775.526994988,8788056.213487089,252719.31350789964,0.028757134384285073
7676203.990254606,8029604.618003681,353400.6277490752,0.0440122078933617
9678218.214015322,10796342.609244537,1118124.3952292148,0.10356510863890178
