lags,lags_label,params,mean_absolute_percentage_error,svr__C,svr__epsilon,svr__gamma
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.5}",1.6396330722938617,10.0,0.1,0.5
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.5}",1.6396330722938617,10.0,0.01,0.5
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.5}",1.6396330722938617,10.0,0.004,0.5
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",1.6397525371882773,10.0,0.01,auto
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 'auto'}",1.6397525371882773,10.0,0.004,auto
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",1.6397525371882773,10.0,0.1,auto
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.05}",1.6397728013921895,10.0,0.004,0.05
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.05}",1.6397728013921897,10.0,0.01,0.05
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.05}",1.6397728013921897,10.0,0.1,0.05
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.5}",1.63990666025443,1.0,0.1,0.5
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.5}",1.63990666025443,1.0,0.01,0.5
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.5}",1.6399066602544303,1.0,0.004,0.5
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.004, 'svr__gamma': 'auto'}",1.639918604631167,1.0,0.004,auto
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",1.639918604631167,1.0,0.1,auto
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",1.639918604631167,1.0,0.01,auto
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.05}",1.6399206309387182,1.0,0.004,0.05
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.05}",1.6399206309387182,1.0,0.1,0.05
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.05}",1.6399206309387182,1.0,0.01,0.05
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 0.5}",1.63993401733043,0.1,0.01,0.5
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 0.5}",1.63993401733043,0.1,0.1,0.5
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.004, 'svr__gamma': 0.5}",1.63993401733043,0.1,0.004,0.5
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.004, 'svr__gamma': 'auto'}",1.639935211746978,0.1,0.004,auto
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",1.639935211746978,0.1,0.1,auto
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",1.639935211746978,0.1,0.01,auto
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.004, 'svr__gamma': 0.05}",1.6399354143766034,0.1,0.004,0.05
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 0.05}",1.6399354143766034,0.1,0.01,0.05
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 0.05}",1.6399354143766034,0.1,0.1,0.05
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",1.6399370569872862,0.1,0.1,scale
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",1.6399370569872862,0.1,0.01,scale
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 0.1, 'svr__epsilon': 0.004, 'svr__gamma': 'scale'}",1.6399370569872862,0.1,0.004,scale
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.004, 'svr__gamma': 'scale'}",1.639937056996776,1.0,0.004,scale
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",1.639937056996776,1.0,0.1,scale
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 1.0, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",1.639937056996776,1.0,0.01,scale
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",1.6399370570916711,10.0,0.1,scale
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",1.6399370570916711,10.0,0.01,scale
[1 2 3 4 5 6],[1 2 3 4 5 6],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 'scale'}",1.6399370570916711,10.0,0.004,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.05}",1.7516711445915605,10.0,0.1,0.05
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.05}",1.7516711445915605,10.0,0.01,0.05
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.05}",1.7516711445915611,10.0,0.004,0.05
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",1.751679426572459,10.0,0.1,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",1.751679426572459,10.0,0.01,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 'auto'}",1.751679426572459,10.0,0.004,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.5}",1.75220254446995,10.0,0.01,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.5}",1.75220254446995,10.0,0.004,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.5}",1.75220254446995,10.0,0.1,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 1.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.05}",1.7523392753279718,1.0,0.004,0.05
