DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
3,1,0,0,-0.6205151332932451,-1.3529411764705883,-0.650495337995338,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8301435406698564,-0.864590840187868,-0.5456124246408811,-0.5923577920309056,-0.8887133405747013,-0.8802747791952895,-0.8847531119826557,-0.8748551564310544,-0.8738895326380842,-0.8699417793388827,-1.9411764705882353,-1.6,-1.0704225352112675,-1.7647058823529411,-0.47058823529411764,-1.0,-1.4705882352941178,-1.4705882352941178,-1.352112676056338,-0.5070422535211268
4,1,0,0,-0.03422529565043101,-0.8235294117647058,-0.5055528385512308,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6168261562998404,-0.8228423746924778,-0.8631751308705683,-0.53985785394121,-0.5905006418485237,-0.8832188420019627,-0.8740347372780201,-0.8767864040169949,-0.8748551564310544,-0.8709041043160275,-1.3529411764705883,-1.8857142857142857,-1.5774647887323943,-1.1176470588235294,-1.7647058823529411,-0.47058823529411764,-1.0,-1.4705882352941178,-1.408450704225352,-1.352112676056338
5,0,1,0,0.32255963118861497,-0.47058823529411764,-0.374474244048199,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03369218500797444,-0.610124002882632,-0.8214950256779219,-0.8568386122186177,-0.5381653006813469,-0.5868498527968596,-0.8769579303792844,-0.8661645422943222,-0.8767864040169949,-0.8718664292931722,-0.8235294117647058,-1.3142857142857143,-1.8591549295774648,-1.6470588235294117,-1.1176470588235294,-1.7647058823529411,-0.47058823529411764,-1.0,-1.408450704225352,-1.408450704225352
6,0,1,0,0.04194227300060135,-1.0,-0.46833550069080615,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3211722488038279,-0.028627519196839,-0.6091249658868185,-0.8152348876947079,-0.8541522662190185,-0.534838076545633,-0.5826898248520134,-0.8690614136732329,-0.8661645422943222,-0.8737910792474618,-0.47058823529411764,-0.8,-1.295774647887324,-1.9411764705882353,-1.6470588235294117,-1.1176470588235294,-1.7647058823529411,-0.47058823529411764,-0.9577464788732394,-1.408450704225352
0,1,0,0,-0.4010322709961916,-1.6470588235294117,-0.6504828460214312,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.04206539074960141,0.32524042643075485,-0.0285806435606718,-0.6032540055966915,-0.812678976992199,-0.8488714425907752,-0.5310467467296778,-0.5774430281962147,-0.8690614136732329,-0.8632055044988692,-1.0,-0.45714285714285713,-0.7887323943661971,-1.3529411764705883,-1.9411764705882353,-1.6470588235294117,-1.1176470588235294,-1.7647058823529411,-0.4507042253521127,-0.9577464788732394
1,1,0,0,-0.9181699739426739,-1.6470588235294117,-0.762404998538439,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.3985247208931419,0.04691732312815301,0.3247078671198552,-0.023773556870805634,-0.6013626937888812,-0.8076545632973503,-0.8428540108645344,-0.526264967168791,-0.5774430281962147,-0.8660924794303035,-1.6470588235294117,-0.9714285714285714,-0.4507042253521127,-0.8235294117647058,-1.3529411764705883,-1.9411764705882353,-1.6470588235294117,-1.1176470588235294,-1.6901408450704225,-0.4507042253521127
2,1,0,0,-0.9181699739426739,-1.7647058823529411,-0.7625377257611984,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9128787878787877,-0.3924355756566685,0.04684049916887899,0.3288675367128105,-0.023699022415325424,-0.5976447497546614,-0.8019293074468344,-0.8352645809192738,-0.526264967168791,-0.5754703363325795,-1.6470588235294117,-1.6,-0.9577464788732394,-0.47058823529411764,-0.8235294117647058,-1.3529411764705883,-1.9411764705882353,-1.6470588235294117,-1.0704225352112675,-1.6901408450704225
3,1,0,0,-0.8660553217077571,-1.3529411764705883,-0.7522056141429132,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9128787878787877,-0.9053452946000347,-0.39179298881087643,0.05150937322007878,0.3278364767453343,-0.023552502453385728,-0.593408199556649,-0.794708381614523,-0.8352645809192738,-0.5244671125439061,-1.7647058823529411,-1.6,-1.5774647887323943,-1.0,-0.47058823529411764,-0.8235294117647058,-1.3529411764705883,-1.9411764705882353,-1.5774647887323943,-1.0704225352112675
4,1,0,0,-0.08132892363199033,-1.2352941176470589,-0.6368681559597958,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8610446570972887,-0.9053452946000347,-0.9038628526062469,-0.38632029915059063,0.05134788189987166,0.32580961727183516,-0.023385544810114303,-0.5880648899188876,-0.794708381614523,-0.8324111052302362,-1.3529411764705883,-1.7142857142857142,-1.5774647887323943,-1.6470588235294117,-1.0,-0.47058823529411764,-0.8235294117647058,-1.3529411764705883,-1.8591549295774648,-1.5774647887323943
5,0,1,0,3.3291741832030466,-1.588235294117647,-0.34548693089689875,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08054226475279092,-0.8536567182724087,-0.9038628526062469,-0.8974517718729105,-0.38510911424903727,0.05103042198233565,0.3235000365399138,-0.023174971031286264,-0.5880648899188876,-0.7919934561901554,-1.2352941176470589,-1.3142857142857143,-1.6901408450704225,-1.6470588235294117,-1.6470588235294117,-1.0,-0.47058823529411764,-0.8235294117647058,-1.295774647887324,-1.8591549295774648
