DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
0,0,0,1,8.107694066537098,-1.0196078431372548,0.7059366956939203,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.902610669693528,4.3601818772328675,1.968853476821192,8.87199339320739,6.446749512170073,7.888261271438841,5.149966922802911,6.805123791200446,3.5347334410339246,1.5868652538984402,0.28,-0.92,-0.88,-0.52,-0.84,0.04,-0.9019607843137255,0.0,-0.0784313725490196,-1.2307692307692308
1,1,0,0,5.967531725162913,0.1568627450980392,0.43270533559150254,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8.036776390465377,8.483057269676301,4.167528973509935,1.9629400227108493,8.816165143267947,6.446749512170073,7.8172103200854925,5.123892461141208,6.785541195476573,3.4994002399040376,-1.04,0.32,-0.92,-0.88,-0.52,-0.84,0.0392156862745098,-0.9019607843137255,0.0,-0.07692307692307693
2,1,0,0,0.2723219389504972,-0.9411764705882353,-0.8264849240535026,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.911918274687854,7.657248024250297,8.108236754966889,4.156395168782905,1.9425901201602134,8.816165143267947,6.38868250979594,7.77763151232849,5.109147819063003,6.717712914834065,0.16,-1.0,0.32,-0.92,-0.88,-0.52,-0.8235294117647058,0.0392156862745098,-0.9019607843137255,0.0
3,1,0,0,3.1839487824396935,-0.43137254901960786,0.04607865363329644,2,1,0,6,5,4,3,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2574347332576616,5.630616000866082,7.318915562913908,8.087746464333643,4.124781760295779,1.9425901201602134,8.736756399165436,6.356336388030987,7.75525040387722,5.058076769292282,-0.96,0.2,-1.0,0.32,-0.92,-0.88,-0.5098039215686274,-0.8235294117647058,0.0392156862745098,-0.8846153846153846
4,1,0,0,1.3094775351549102,0.11764705882352941,-0.18006421112992918,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.148240635641316,0.2375230053047526,5.381829470198676,7.3002993702900785,8.035945363048167,4.124781760295779,1.9250928705918273,8.692521897625436,6.338045234248788,7.677728908436624,-0.44,-0.92,0.2,-1.0,0.32,-0.92,-0.8627450980392157,-0.5098039215686274,-0.8235294117647058,0.038461538461538464
5,0,1,0,2.0832285354978852,0.27450980392156865,0.5164021763772387,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.2871736662883082,2.994695247374689,0.22702814569536425,5.367812532259729,7.252541850672691,8.035945363048167,4.087629128288637,1.9153460584274213,8.667508077544424,6.2746901239504185,0.12,-0.4,-0.92,0.2,-1.0,0.32,-0.9019607843137255,-0.8627450980392157,-0.5098039215686274,-0.8076923076923077
6,0,1,0,3.300102892420259,1.5294117647058822,1.4688826063184286,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0553916004540294,1.2196600627909493,2.86237582781457,0.2252503355011871,5.329978432782171,7.252541850672691,7.963564195206351,4.066933319831907,1.9098344103392562,8.580867652938823,0.28,0.16,-0.4,-0.92,0.2,-1.0,0.3137254901960784,-0.9019607843137255,-0.8627450980392157,-0.5
0,0,0,1,0.5787127014976564,0.0392156862745098,-0.16540100284049236,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3.263564131668558,1.9523654866298585,1.165769867549669,2.8543408692061525,0.21382355961795207,5.329978432782171,7.187216935524909,7.923244392688979,4.055230210016155,1.8907437025189917,1.56,0.32,0.16,-0.4,-0.92,0.2,-0.9803921568627451,0.3137254901960784,-0.9019607843137255,-0.8461538461538461
1,1,0,0,-0.3469761060935177,0.0392156862745098,-0.5982720338191954,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.5616345062429057,3.104687669156653,1.8661009933774841,1.1617631877774335,2.8294135770771285,0.21382355961795207,5.281970383186606,7.150827806187029,7.900444264943456,4.014694122351059,0.04,1.6,0.32,0.16,-0.4,-0.92,0.19607843137254902,-0.9803921568627451,0.3137254901960784,-0.8846153846153846
2,1,0,0,-0.33222819252315083,0.5882352941176471,-0.668654233400456,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,-0.3574347332576616,0.5276604958319802,2.9675082781456963,1.8604315061422527,1.1455273698264352,2.8294135770771285,0.21189761335300997,5.2552275834134985,7.130250403877219,7.821471411435424,0.04,0.08,1.6,0.32,0.16,-0.4,-0.9019607843137255,0.19607843137254902,-0.9803921568627451,0.3076923076923077
3,1,0,0,0.5085172058991653,0.47058823529411764,-0.11712596850120688,2,1,0,6,5,4,3,2,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.3427922814982973,-0.3489228104362887,0.5043460264900664,2.9592237018684835,1.8406079901407006,1.1455273698264352,2.8039285532542872,0.21082476836615863,5.240105008077544,7.058976409436224,0.6,0.08,0.08,1.6,0.32,0.16,-0.39215686274509803,-0.9019607843137255,0.19607843137254902,-0.9615384615384616
4,1,0,0,0.7638047330513319,0.47058823529411764,-0.03203188552682465,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4919409761634504,-0.3349572371982245,-0.3335057947019867,0.5019097759884381,2.9337578309540926,1.8406079901407006,1.1352094041015723,2.7897321654599767,0.21021809369951525,5.187724910035985,0.48,0.64,0.08,0.08,1.6,0.32,0.1568627450980392,-0.39215686274509803,-0.9019607843137255,0.19230769230769232
