DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
1,1,0,0,0.9548267326732672,0.0,0.19811828130966327,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.7272163670179785,1.8748846650673558,-0.3426216399089623,0.9482071713147411,1.3272297338264716,0.8176927674835625,0.9724511419825759,0.5615728749705675,2.2839974330552475,1.3406452365672947,0.19047619047619047,-0.9047619047619048,-1.7619047619047619,-0.19047619047619047,-1.1904761904761905,-0.047619047619047616,-0.25,-0.2,-1.15,-0.35
2,1,0,0,0.13490099009900977,-0.5714285714285714,-0.22031608990829252,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9553626782393058,2.7059112997478008,1.8748846650673558,-0.3414036163040148,0.9379736858060994,1.30842797369994,0.8052743112785496,0.9606781257358135,0.5565602940318534,2.2839974330552475,0.0,0.19047619047619047,-0.9047619047619048,-1.7619047619047619,-0.19047619047619047,-1.1904761904761905,-0.05,-0.25,-0.2,-1.15
3,1,0,0,0.6249999999999999,-0.5714285714285714,-0.12088562127458531,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13391196528208302,0.9478993664267702,2.7059112997478008,1.8682194299724184,-0.33771903231674044,0.9246861924686192,1.2885566282081469,0.7935012950317872,0.9521031445073215,0.5565602940318534,-0.5714285714285714,0.0,0.19047619047619047,-0.9047619047619048,-1.7619047619047619,-0.19047619047619047,-1.25,-0.05,-0.25,-0.2
4,1,0,0,3.405321782178217,0.5714285714285714,0.9467863545462194,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624922504649721,0.132865842406348,0.9478993664267702,2.6962917560527124,1.8480567513490571,-0.33293484757919906,0.9106428066870732,1.2767836119613845,0.7864185286739396,0.9521031445073215,-0.5714285714285714,-0.5714285714285714,0.0,0.19047619047619047,-0.9047619047619048,-1.7619047619047619,-0.2,-1.25,-0.05,-0.25
5,0,1,0,0.3675742574257424,-0.6666666666666666,-0.3725660624025163,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4104153750774953,0.620040597896291,0.132865842406348,0.944529574011646,2.6671921421208995,1.8218768679019723,-0.3278785024723334,0.8988697904403108,1.265387083600723,0.7864185286739396,0.5714285714285714,-0.5714285714285714,-0.5714285714285714,0.0,0.19047619047619047,-0.9047619047619048,-1.85,-0.2,-1.25,-0.05
6,0,1,0,0.2679455445544553,-0.7142857142857143,-0.3148628270760389,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.36701797892126464,3.383773143876484,0.620040597896291,0.13239350291143118,0.9343357788152551,2.6294082486551105,1.794207676006593,-0.3396515187190959,0.8908465083717401,1.265387083600723,-0.6666666666666666,0.5714285714285714,-0.5714285714285714,-0.5714285714285714,0.0,0.19047619047619047,-0.95,-1.85,-0.2,-1.25
0,1,0,0,0.9269801980198019,0.047619047619047616,0.11280701300214221,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2672039677619342,0.3641508273359168,3.383773143876484,0.6178363469200124,0.13096465167040558,0.9210998206814107,2.5894749234753944,1.7824346597598306,-0.33661980047838513,0.8908465083717401,-0.7142857142857143,-0.6666666666666666,0.5714285714285714,-0.5714285714285714,-0.5714285714285714,0.0,0.2,-0.95,-1.85,-0.2
1,1,0,0,-0.0018564356435644266,0.14285714285714285,-0.2869011021726327,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9274643521388718,0.2651165651719259,0.3641508273359168,3.371743794054552,0.611168374461893,0.12910938433950983,0.9071109018130447,2.577701907228632,1.7665247068432413,-0.33661980047838513,0.047619047619047616,-0.7142857142857143,-0.6666666666666666,0.5714285714285714,-0.5714285714285714,-0.5714285714285714,0.0,0.2,-0.95,-1.85
2,1,0,0,-0.4214108910891089,1.7142857142857142,-0.4788603547921534,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.00309981401115933,0.9202189825921143,0.2651165651719259,0.3628562672387373,3.3353543927726914,0.602510460251046,0.1271485754650341,0.8953378855662822,2.5546934251210542,1.7665247068432413,0.14285714285714285,0.047619047619047616,-0.7142857142857143,-0.6666666666666666,0.5714285714285714,-0.5714285714285714,-0.6,0.0,0.2,-0.95
3,1,0,0,-0.03527227722772287,0.2857142857142857,-0.2684974727045621,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4234345939243645,-0.003075598203850649,0.9202189825921143,0.2641740729390132,0.35894015643000055,3.2881052002390914,0.5933600188368261,0.1153755592182717,0.8873461291639928,2.5546934251210542,1.7142857142857142,0.14285714285714285,0.047619047619047616,-0.7142857142857143,-0.6666666666666666,0.5714285714285714,-0.6,-0.6,0.0,0.2
