DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
3,1,0,0,-0.8331697341513292,-1.0,-0.9252890288874335,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8820075638855805,-0.9071647965899831,-0.48198451941332326,-0.5578800557880056,0.004047484926248144,-0.7419388413580632,-0.8042469298065469,-0.6309669522643817,-0.6237046103631171,-0.8366789065687473,-0.6666666666666666,-1.3333333333333333,-1.037037037037037,-0.14814814814814814,0.0,-0.5714285714285714,-0.42857142857142855,0.0,-0.2857142857142857,-1.2857142857142858
4,1,0,0,-0.8265439672801637,-2.0,-0.914985747741208,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8402181407885664,-0.8820075638855805,-0.9000855396298847,-0.479360519577843,-0.560680978907179,0.004038385478465409,-0.7319587628865978,-0.7988984088127294,-0.6309669522643817,-0.6237046103631171,-1.0,-0.6666666666666666,-1.1851851851851851,-1.037037037037037,-0.14814814814814814,0.0,-0.5714285714285714,-0.42857142857142855,0.0,-0.2857142857142857
5,0,1,0,-0.7812269938650306,-0.5,-0.8905760774214503,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8334482542468501,-0.8402181407885664,-0.8749660970979116,-0.8965215762193218,-0.48198451941332326,-0.5594204708674203,0.003984063745019915,-0.7270909832721336,-0.7988984088127294,-0.6309669522643817,-2.0,-1.0,-0.5925925925925926,-1.1851851851851851,-1.037037037037037,-0.14285714285714285,0.0,-0.5714285714285714,-0.42857142857142855,0.0
6,0,1,0,-0.8766871165644171,-1.3333333333333333,-0.9657753326634088,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.7871455734553584,-0.8334482542468501,-0.8332394483737039,-0.8714586065488458,-0.9000855396298847,-0.48090093465725764,-0.551895510740543,0.00395756833945328,-0.7270909832721336,-0.7988984088127294,-0.5,-2.0,-0.8888888888888888,-0.5925925925925926,-1.1851851851851851,-1.0,-0.14285714285714285,0.0,-0.5714285714285714,-0.42857142857142855
0,1,0,0,-0.17443762781186095,-1.1666666666666667,-0.8790799184711309,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.8846820869637894,-0.7871455734553584,-0.8264797312803822,-0.8298257665646662,-0.8749660970979116,-0.8980619912987365,-0.4744321682342793,-0.5482252141982864,0.00395756833945328,-0.7270909832721336,-1.3333333333333333,-0.5,-1.7777777777777777,-0.8888888888888888,-0.5925925925925926,-1.1428571428571428,-1.0,-0.14285714285714285,0.0,-0.5714285714285714
1,1,0,0,-0.6848670756646217,-1.0,-0.9172234952602742,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.16715769238805658,-0.8846820869637894,-0.7802466044939601,-0.8230812464872291,-0.8332394483737039,-0.8729990216282604,-0.8859818458126257,-0.4712770297837616,-0.5482252141982864,0.00395756833945328,-1.1666666666666667,-1.3333333333333333,-0.4444444444444444,-1.7777777777777777,-0.8888888888888888,-0.5714285714285714,-1.1428571428571428,-1.0,-0.14285714285714285,0.0
2,1,0,0,-0.901635991820041,-0.6666666666666666,-0.9635344746415939,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.6886896926387931,-0.16715769238805658,-0.8776366026162608,-0.7769520597847582,-0.8264797312803822,-0.8313661816440808,-0.861256006900234,-0.8800897592819257,-0.4712770297837616,-0.5482252141982864,-1.0,-1.1666666666666667,-1.1851851851851851,-0.4444444444444444,-1.7777777777777777,-0.8571428571428571,-0.5714285714285714,-1.1428571428571428,-1.0,-0.14285714285714285
3,1,0,0,-0.7414723926380369,0.0,-0.8555792925796559,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9101736350529681,-0.6886896926387931,-0.16119004402161438,-0.8741231083078331,-0.7802466044939601,-0.8246216615666437,-0.8201831847866266,-0.8555283557731538,-0.8800897592819257,-0.4712770297837616,-0.6666666666666666,-1.0,-1.037037037037037,-1.1851851851851851,-0.4444444444444444,-1.7142857142857142,-0.8571428571428571,-0.5714285714285714,-1.1428571428571428,-1.0
4,1,0,0,0.20846625766871166,-1.0,-0.17985885964173878,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7465262542050606,-0.9101736350529681,-0.6819386200997267,-0.15928724577947082,-0.8776366026162608,-0.778492474864173,-0.8135293876042222,-0.8147286821705425,-0.8555283557731538,-0.8800897592819257,0.0,-0.6666666666666666,-0.8888888888888888,-1.037037037037037,-1.1851851851851851,-0.42857142857142855,-1.7142857142857142,-0.8571428571428571,-0.5714285714285714,-1.1428571428571428
5,0,1,0,0.050674846625766816,-0.5,-0.27346114518731673,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22407488664618985,-0.7465262542050606,-0.9030898583380276,-0.6788650887820313,-0.16119004402161438,-0.8756635233872478,-0.7680207007023452,-0.8081191350469196,-0.8147286821705425,-0.8555283557731538,-1.0,0.0,-0.5925925925925926,-0.8888888888888888,-1.037037037037037,-1.1428571428571428,-0.42857142857142855,-1.7142857142857142,-0.8571428571428571,-0.5714285714285714
