DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
4,1,0,0,-1.087456271864068,-0.4166666666666667,-0.7821042044826472,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.5123190807645566,-1.4561112951308381,-1.2467332820906996,-0.8294718348523114,-1.5801231406309597,-0.6538440581921213,-1.4121705384573926,-0.600439607569828,1.1579906717418111,-1.227083446000757,-2.0,-0.8163265306122449,-1.2941176470588236,-1.6153846153846154,-1.2692307692307692,-0.5769230769230769,-0.9615384615384616,-0.72,-0.5833333333333334,-0.9583333333333334
5,0,1,0,-1.4206230218224223,-1.2083333333333333,-1.0710957145747948,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0814274665782786,-1.5113172132052557,-1.4443834413088832,-1.2467332820906996,-0.8173050727401516,-1.5801231406309597,-0.6467956664690347,-1.3724333887310354,-0.600439607569828,1.2065329079011413,-0.4166666666666667,-1.9591836734693877,-0.7843137254901961,-1.2692307692307692,-1.6153846153846154,-1.2692307692307692,-0.5384615384615384,-1.0,-0.75,-0.5833333333333334
6,0,1,0,-1.1874062968515742,-1.25,-0.8942226947227264,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.412882554413877,-1.0807110522247985,-1.4992862633139343,-1.4443834413088832,-1.2314063095951617,-0.8173050727401516,-1.5630895273001673,-0.6111617434192892,-1.3724333887310354,-0.5673030122762424,-1.2083333333333333,-0.40816326530612246,-1.8823529411764706,-0.7692307692307693,-1.2692307692307692,-1.6153846153846154,-1.2307692307692308,-0.56,-1.0416666666666667,-0.75
0,1,0,0,-1.1763007385196291,-1.0833333333333333,-0.917523036916451,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1.1808639929289582,-1.411946560671304,-1.071044251674536,-1.4992862633139343,-1.427559527052798,-1.2314063095951617,-0.8084945830862934,-1.5225432906234924,-0.6111617434192892,-1.3460602455248498,-1.25,-1.183673469387755,-0.39215686274509803,-1.8461538461538463,-0.7692307692307693,-1.2692307692307692,-1.5769230769230769,-1.28,-0.5833333333333334,-1.0416666666666667
1,1,0,0,-1.1985118551835194,-1.25,-0.930159982361771,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,-1.1698154900011049,-1.1800817047587502,-1.4004611837048424,-1.071044251674536,-1.4820465319021416,-1.427559527052798,-1.2181318385166822,-0.7719937811612074,-1.5225432906234924,-0.5781190849602508,-1.0833333333333333,-1.2244897959183674,-1.1372549019607843,-0.38461538461538464,-1.8461538461538463,-0.7692307692307693,-1.2307692307692308,-1.64,-1.3333333333333333,-0.5833333333333334
2,1,0,0,0.3451607529568551,-1.0416666666666667,0.1671874575278089,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.1919124958568115,-1.1690405211438666,-1.169869331283628,-1.4004611837048424,-1.0570478940772627,-1.4820465319021416,-1.4121705384573926,-1.1794349434407336,-0.7719937811612074,-1.4974852631009679,-1.25,-1.0612244897959184,-1.1764705882352942,-1.1153846153846154,-0.38461538461538464,-1.8461538461538463,-0.7307692307692307,-1.28,-1.7083333333333333,-1.3333333333333333
3,1,0,0,0.40068854461658077,-1.1666666666666667,0.3973467754357458,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.34382941111479404,-1.1911228883736338,-1.1588887668826178,-1.169869331283628,-1.3839699231733233,-1.0570478940772627,-1.4660701773298122,-1.3724333887310354,-1.1794349434407336,-0.7403601752203773,-1.0416666666666667,-1.2244897959183674,-1.0196078431372548,-1.1538461538461537,-1.1153846153846154,-0.38461538461538464,-1.8076923076923077,-0.76,-1.3333333333333333,-1.7083333333333333
4,1,0,0,-0.8653451052251652,-0.5833333333333334,-0.7091981552345371,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3990719257540604,0.3436016340951751,-1.1808498956846383,-1.1588887668826178,-1.1551245028060808,-1.3839699231733233,-1.0456529941249395,-1.4260440679783415,-1.3724333887310354,-1.151370937212698,-1.1666666666666667,-1.0204081632653061,-1.1764705882352942,-1.0,-1.1538461538461537,-1.1153846153846154,-0.34615384615384615,-1.88,-0.7916666666666666,-1.3333333333333333
5,0,1,0,0.256316286301294,-1.25,-0.029264479808154057,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8604574080212132,0.3988075521695927,0.3454485560557814,-1.1808498956846383,-1.1442271018362122,-1.1551245028060808,-1.3690508273594568,-1.0078807698493542,-1.4260440679783415,-1.3460602455248498,-0.5833333333333334,-1.1428571428571428,-0.9803921568627451,-1.1538461538461537,-1.0,-1.1538461538461537,-1.0769230769230769,-0.36,-1.9583333333333333,-0.7916666666666666
6,0,1,0,-1.398411905158532,-0.8333333333333334,-0.9959186829316912,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25544138769196784,-0.8598873799271282,0.40035137806083243,0.3454485560557814,-1.1660219037759496,-1.1442271018362122,-1.1426723440952948,-1.3295448453331906,-1.0078807698493542,-1.400140608944892,-1.25,-0.5714285714285714,-1.0980392156862746,-0.9615384615384616,-1.1538461538461537,-1.0,-1.1153846153846154,-1.12,-0.375,-1.9583333333333333
