DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
0,0,0,1,0.8856735159817353,-1.7058823529411764,-0.5039369982275639,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8508561643835617,2.8471461187214615,1.3133052071240483,1.3006528715281618,-0.7985504038950978,-1.0356373280291729,1.9123283164733944,-0.23943855031937927,-0.35918857673301113,0.8227264040188933,-1.4705882352941178,-0.8823529411764706,-1.2352941176470589,-0.29411764705882354,-0.6470588235294118,-1.1594202898550725,0.2898550724637681,-0.7222222222222222,-0.6666666666666666,-0.9444444444444444
1,1,0,0,1.9512557077625572,0.8235294117647058,-0.20372300163673276,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.8856735159817353,0.8508561643835617,2.8248152447829664,1.2831138652207592,1.3006528715281618,-0.7974473727830266,-1.0322669079145763,1.9123283164733944,-0.23845796816556086,-0.35918857673301113,-1.7058823529411764,-1.4705882352941178,-0.8823529411764706,-1.2352941176470589,-0.29411764705882354,-0.6376811594202898,-1.1594202898550725,0.2777777777777778,-0.7222222222222222,-0.6666666666666666
2,1,0,0,6.140867579908677,-0.35294117647058826,0.5585464629307544,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.9512557077625572,0.8856735159817353,0.8441826882238016,2.7598760650658405,1.2831138652207592,1.2988562904027845,-0.7958987855360911,-1.0322669079145763,1.9044966827750023,-0.23845796816556086,0.8235294117647058,-1.7058823529411764,-1.4705882352941178,-0.8823529411764706,-1.2352941176470589,-0.2898550724637681,-0.6376811594202898,-1.1111111111111112,0.2777777777777778,-0.7222222222222222
3,1,0,0,6.622545662100457,0.29411764705882354,1.327200768533115,2,1,0,6,5,4,3,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.140867579908677,1.9512557077625572,0.8787269586884505,0.8247759212127918,2.7598760650658405,1.2813415105806951,1.2843709734901445,-0.7958987855360911,-1.0280394244682884,1.9044966827750023,-0.35294117647058826,0.8235294117647058,-1.7058823529411764,-1.4705882352941178,-0.8823529411764706,-1.2173913043478262,-0.2898550724637681,-0.6111111111111112,-1.1111111111111112,0.2777777777777778
4,1,0,0,6.332648401826485,0.35294117647058826,2.091694071197499,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.622545662100457,6.140867579908677,1.9359515247614467,0.858526059533031,0.8247759212127918,2.756063870932096,1.2669901581818683,1.2843709734901445,-0.7926393097987822,-1.0280394244682884,0.29411764705882354,-0.35294117647058826,0.8235294117647058,-1.7058823529411764,-1.4705882352941178,-0.8695652173913043,-1.2173913043478262,-0.2777777777777778,-0.6111111111111112,-1.1111111111111112
5,0,1,0,4.401655251141553,0.8235294117647058,2.078141833336726,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.332648401826485,6.622545662100457,6.092703230738739,1.8914462764191657,0.858526059533031,0.8236366650091165,2.7304328755105964,1.2669901581818683,1.2791110383050757,-0.7926393097987822,0.35294117647058826,0.29411764705882354,-0.35294117647058826,0.8235294117647058,-1.7058823529411764,-1.4492753623188406,-0.8695652173913043,-1.1666666666666667,-0.2777777777777778,-0.6111111111111112
6,0,1,0,4.68087899543379,0.0,2.748860751811451,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4.401655251141553,6.332648401826485,6.5706033921341005,5.952639150160452,1.8914462764191657,0.8573401845405824,0.8127861392110097,2.7304328755105964,1.261801403336337,1.2791110383050757,0.8235294117647058,0.35294117647058826,0.29411764705882354,-0.35294117647058826,0.8235294117647058,-1.681159420289855,-1.4492753623188406,-0.8333333333333334,-1.1666666666666667,-0.2777777777777778
0,0,0,1,6.198687214611873,-0.17647058823529413,3.285093725757168,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4.68087899543379,4.401655251141553,6.282979868052213,6.419552948987495,5.952639150160452,1.8888336372175258,0.8462318721386081,0.8127861392110097,2.719250825893467,1.261801403336337,0.0,0.8235294117647058,0.35294117647058826,0.29411764705882354,-0.35294117647058826,0.8115942028985508,-1.681159420289855,-1.3888888888888888,-0.8333333333333334,-1.1666666666666667
1,1,0,0,3.9224885844748862,1.0588235294117647,2.2212946963374427,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,6.198687214611873,4.68087899543379,4.3671319761021605,6.1385415513998005,6.419552948987495,5.944416818608763,1.8698357869342328,0.8462318721386081,0.8094575040270839,2.719250825893467,-0.17647058823529413,0.0,0.8235294117647058,0.35294117647058826,0.29411764705882354,-0.34782608695652173,0.8115942028985508,-1.6111111111111112,-1.3888888888888888,-0.8333333333333334
2,1,0,0,3.1315639269406392,0.8823529411764706,1.3172648355765846,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3.9224885844748862,6.198687214611873,4.644165699238328,4.266736748921102,6.1385415513998005,6.410685673241615,5.894399210461388,1.8698357869342328,0.8427662653233955,0.8094575040270839,1.0588235294117647,-0.17647058823529413,0.0,0.8235294117647058,0.35294117647058826,0.2898550724637681,-0.34782608695652173,0.7777777777777778,-1.6111111111111112,-1.3888888888888888
