DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
0,0,0,1,-0.6110021860140176,-0.7,-0.6188328401272972,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.6134610147953162,0.21805441055234961,1.8751030502885409,0.06808727003790338,-0.5707574064360161,0.04634648614102786,0.01784742111865936,-0.643406632423604,0.48531370317456474,-0.5185814913772163,-0.2,-0.3,-0.1,-0.6,-0.5,-0.2,-0.7,-1.1,-0.15,-0.05
1,1,0,0,0.057151871633651125,1.1,-0.3936167944585642,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.6150040845965326,-0.6190803334249335,0.21805441055234961,1.8924378293427013,0.06718817707026714,-0.5923734229649442,0.04634648614102786,0.01784742111865936,-0.6582076179867786,0.4916686907942677,-0.7,-0.2,-0.3,-0.1,-0.6,-0.5,-0.2,-0.7,-1.05,-0.15
2,1,0,0,-0.5995537827056995,-1.1,-0.6155646069399409,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.057774348733775155,-0.6206375377851058,-0.6190803334249335,0.22007025977627814,1.86744817205282,0.06973276208961592,-0.5923734229649442,0.04634648614102786,0.01825798484151396,-0.6553801311634685,1.1,-0.7,-0.2,-0.3,-0.1,-0.6,-0.5,-0.2,-0.65,-1.05
3,1,0,0,-0.20012169562571835,-0.1,-0.4499863286261304,2,1,0,6,5,4,3,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.6034764454933285,0.05830356324997718,-0.6206375377851058,-0.6248035499676434,0.21716423016397934,1.938173124718915,0.06973276208961592,-0.5923734229649442,0.04741264498631872,0.023172212776293468,-1.1,1.1,-0.7,-0.2,-0.3,-0.1,-0.6,-0.5,-0.15,-0.65
4,1,0,0,-0.6114529105537151,-0.3,-0.6185819815972595,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.20127984024689113,-0.6090043052120546,0.05830356324997718,-0.6263751502264953,-0.6165530138892056,0.22538878500248544,1.938173124718915,0.06973276208961592,-0.606000435867012,0.05241680835559884,-0.1,-1.1,1.1,-0.7,-0.2,-0.3,-0.1,-0.6,-0.45,-0.15
5,0,1,0,-0.2130124174610687,0.2,-0.31205823495647056,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.6154579286557138,-0.20312356874599247,-0.6090043052120546,0.05884256263289275,-0.6181038611535566,-0.639903425095273,0.22538878500248544,1.938173124718915,0.07133690098554382,-0.6030119018702939,-0.3,-0.1,-1.1,1.1,-0.7,-0.2,-0.3,-0.1,-0.55,-0.45
6,0,1,0,-0.5784598742478534,-0.5,-0.5885837943933535,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.21425978033947532,-0.6210955390675094,-0.20312356874599247,-0.6146343718221318,0.058065546103496325,-0.6415130068407223,-0.639903425095273,0.22538878500248544,1.9827590381867932,0.07641486519310187,0.2,-0.3,-0.1,-1.1,1.1,-0.7,-0.2,-0.3,-0.05,-0.55
0,0,0,1,-0.29441326933044865,0.0,-0.3612448116122122,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,-0.5822365435236452,-0.21622240542273516,-0.6210955390675094,-0.20500138670611073,-0.6065181198257577,0.06026463417520779,-0.6415130068407223,-0.639903425095273,0.23057364941763328,1.993733300947292,-0.5,0.2,-0.3,-0.1,-1.1,1.1,-0.7,-0.2,-0.25,-0.05
1,1,0,0,0.22319879205823365,0.7,0.11819784147259366,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,-0.2962240174276118,-0.5875698451955665,-0.21622240542273516,-0.6268373855967457,-0.2022943416881428,-0.6294884843894241,0.06026463417520779,-0.6415130068407223,-0.6546238225536963,0.2361428224435269,0.0,-0.5,0.2,-0.3,-0.1,-1.1,1.1,-0.7,-0.15,-0.25
2,1,0,0,-0.5128343812678882,0.0,-0.5445770511662997,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.2249705001361533,-0.29893743702482356,-0.5875698451955665,-0.2182213182952759,-0.6185599927018951,-0.2099557365020001,-0.6294884843894241,0.06026463417520779,-0.6562704312661936,-0.6517852805440855,0.7,0.0,-0.5,0.2,-0.3,-0.1,-1.1,1.1,-0.65,-0.15
