DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
3,1,0,0,-0.4962380590075238,-1.2105263157894737,-0.5177380405998416,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6674823847095059,-0.6923141678592475,-0.4155274261603376,-0.4573584905660378,-0.7077286533918326,-0.6910951212411096,-0.6944732368672002,-0.6948035699391109,-0.7061853475799242,-0.7039103747263595,-1.736842105263158,-1.4736842105263157,-0.9743589743589743,-1.4285714285714286,-0.38095238095238093,-0.8095238095238095,-1.1904761904761905,-1.1904761904761905,-1.1428571428571428,-0.42857142857142855
4,1,0,0,-0.0016907599966185039,-0.7368421052631579,-0.35767012501458234,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4868992869499177,-0.6569576563683813,-0.6855696202531646,-0.4129140461215934,-0.45291933850826854,-0.6935906500852639,-0.6853517973381982,-0.6964717657853032,-0.7070367374739261,-0.7047688543589302,-1.2105263157894737,-1.736842105263158,-1.435897435897436,-0.9047619047619048,-1.4285714285714286,-0.38095238095238093,-0.8095238095238095,-1.1904761904761905,-1.1904761904761905,-1.1428571428571428
5,0,1,0,0.299264519401471,-0.42105263157894735,-0.21291287658561742,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067507700097042085,-0.4768078121053962,-0.6501265822784811,-0.6812578616352202,-0.40820114748565633,-0.44237407977373866,-0.6878394626642896,-0.6872966886312454,-0.7087395172619301,-0.7056273339915009,-0.7368421052631579,-1.2105263157894737,-1.6923076923076923,-1.3333333333333333,-0.9047619047619048,-1.4285714285714286,-0.38095238095238093,-0.8095238095238095,-1.1904761904761905,-1.1904761904761905
6,0,1,0,0.0625581198748838,-0.8947368421052632,-0.3165689868542887,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.30716003544154263,0.015657883660240637,-0.46953586497890304,-0.6460377358490567,-0.6781977725278433,-0.39828640352701405,-0.4374144865044156,-0.6897989824005338,-0.6993742284279086,-0.7073442932566424,-0.42105263157894735,-0.7368421052631579,-1.1794871794871795,-1.5714285714285714,-1.3333333333333333,-0.9047619047619048,-1.4285714285714286,-0.38095238095238093,-0.8095238095238095,-1.1904761904761905
0,1,0,0,-0.3110998393778003,-1.4736842105263157,-0.5177242450310301,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07088308510189449,0.31534640963044025,0.024135021097046287,-0.4665828092243187,-0.6427607154910563,-0.6644761469034646,-0.3934657324101331,-0.43790140962549,-0.7019283981099145,-0.6979010172983645,-0.8947368421052632,-0.42105263157894735,-0.717948717948718,-1.0952380952380953,-1.5714285714285714,-1.3333333333333333,-0.9047619047619048,-1.4285714285714286,-0.38095238095238093,-0.8095238095238095
1,1,0,0,-0.747315918505368,-1.4736842105263157,-0.6413259886874612,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.3020969579342644,0.07963633302466533,0.3245569620253164,0.023983228511530275,-0.46220047249409374,-0.6295387430853054,-0.6588167005265558,-0.39369421970139296,-0.44480865012132303,-0.7004764561960767,-1.4736842105263157,-0.8947368421052632,-0.41025641025641024,-0.6666666666666666,-1.0952380952380953,-1.5714285714285714,-1.3333333333333333,-0.9047619047619048,-1.4285714285714286,-0.38095238095238093
2,1,0,0,-0.747315918505368,-1.5789473684210527,-0.641472566606084,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.7375216235601872,-0.29244885933159365,0.08827004219409278,0.3225157232704402,0.031387107661154226,-0.45152435220230414,-0.6239893859612754,-0.6606055550921679,-0.3996849857392193,-0.44121560715972,-1.4736842105263157,-1.4736842105263157,-0.8717948717948718,-0.38095238095238093,-0.6666666666666666,-1.0952380952380953,-1.5714285714285714,-1.3333333333333333,-0.9047619047619048,-1.4285714285714286
3,1,0,0,-0.7033561585932877,-1.2105263157894737,-0.6300622516420391,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7375216235601872,-0.7268288576479502,-0.2847257383966246,0.08771488469601672,0.33175835302058726,0.0351037724077694,-0.44653592603341763,-0.6255734423221286,-0.6721297518198459,-0.3957161866334721,-1.5789473684210527,-1.4736842105263157,-1.435897435897436,-0.8095238095238095,-0.38095238095238093,-0.6666666666666666,-1.0952380952380953,-1.5714285714285714,-1.3333333333333333,-0.9047619047619048
4,1,0,0,-0.04142361991715269,-1.105263157894737,-0.5026887994725264,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6936416184971099,-0.7268288576479502,-0.720168776371308,-0.2829350104821804,0.0955113061086737,0.3312398619140707,0.03855881255441761,-0.4470764867795479,-0.6363713762717637,-0.6704296690561016,-1.2105263157894737,-1.5789473684210527,-1.435897435897436,-1.3333333333333333,-0.8095238095238095,-0.38095238095238093,-0.6666666666666666,-1.0952380952380953,-1.5714285714285714,-1.3333333333333333
5,0,1,0,2.835404514329191,-1.4210526315789473,-0.18090060404760264,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03291000379730806,-0.6830541291354493,-0.720168776371308,-0.7156394129979036,-0.27742153223084703,0.09832383645967648,0.33376176458393797,0.04087079823171233,-0.4541739389553446,-0.6343735244881314,-1.105263157894737,-1.2105263157894737,-1.5384615384615385,-1.3333333333333333,-1.3333333333333333,-0.8095238095238095,-0.38095238095238093,-0.6666666666666666,-1.0952380952380953,-1.5714285714285714
