DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
4,1,0,0,-1.2967197350144246,0.47058823529411764,-1.2011896809335179,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2906226873876732,-0.6883391479014694,-1.3146209958769426,-0.37361243260386934,0.30690347816893965,-0.8909825033647375,-1.0463816130034165,-0.8842530282637954,-0.0068330054871104315,-0.0264298551643937,0.8235294117647058,-0.058823529411764705,-0.23529411764705882,-0.23529411764705882,0.17647058823529413,0.5294117647058824,0.7058823529411765,0.4117647058823529,0.058823529411764705,-1.1764705882352942
5,0,1,0,-1.5879901698899455,0.7647058823529411,-1.2588904739250208,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2830108891003276,-1.2906226873876732,-0.6883391479014694,-1.3004545935088274,-0.3877788349719844,0.30054871104669223,-0.8909825033647375,-1.0463816130034165,-0.8842530282637954,-0.0069774817633999,0.47058823529411764,0.8235294117647058,-0.058823529411764705,-0.23529411764705882,-0.23529411764705882,0.17647058823529413,0.5294117647058824,0.7058823529411765,0.4117647058823529,0.058823529411764705
6,0,1,0,-0.18495565765573246,0.47058823529411764,-0.9810279274288997,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.5712020298128766,-1.2830108891003276,-1.2906226873876732,-0.6741727455333544,-1.3146209958769426,-0.3797494564654727,0.30054871104669223,-0.8909825033647375,-1.0463816130034165,-0.9029495718363463,0.7647058823529411,0.47058823529411764,0.8235294117647058,-0.058823529411764705,-0.23529411764705882,-0.23529411764705882,0.17647058823529413,0.5294117647058824,0.7058823529411765,0.4117647058823529
0,0,0,1,-1.337322363500374,-0.35294117647058826,-1.2185845036522542,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.18300031715826198,-1.5712020298128766,-1.2830108891003276,-1.276456285019558,-0.6883391479014694,-1.2874003520033128,-0.3797494564654727,0.30054871104669223,-0.8909825033647375,-1.0685061845861084,0.47058823529411764,0.7647058823529411,0.47058823529411764,0.8235294117647058,-0.058823529411764705,-0.23529411764705882,-0.23529411764705882,0.17647058823529413,0.5294117647058824,0.7058823529411765
1,1,0,0,-1.3813441607009296,-0.058823529411764705,-1.2162198613752675,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1.323184268950206,-0.18300031715826198,-1.5712020298128766,-1.2688444867322126,-1.2906226873876732,-0.6740863443420644,-1.2874003520033128,-0.3797494564654727,0.30054871104669223,-0.9098213341790887,-0.35294117647058826,0.47058823529411764,0.7647058823529411,0.47058823529411764,0.8235294117647058,-0.058823529411764705,-0.23529411764705882,-0.23529411764705882,0.17647058823529413,0.5294117647058824
2,1,0,0,1.5904476974035688,0.35294117647058826,-0.5338978425236279,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1.3667406702611269,-1.323184268950206,-0.18300031715826198,-1.5570356274447616,-1.2830108891003276,-1.2638989543430996,-0.6740863443420644,-1.2874003520033128,-0.3797494564654727,0.30690347816893965,-0.058823529411764705,-0.35294117647058826,0.47058823529411764,0.7647058823529411,0.47058823529411764,0.8235294117647058,-0.058823529411764705,-0.23529411764705882,-0.23529411764705882,0.17647058823529413
3,1,0,0,1.3960893257826692,0.4117647058823529,-0.2368896168082224,2,1,0,6,5,4,3,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.573633576488001,-1.3667406702611269,-1.323184268950206,-0.16883391479014692,-1.5712020298128766,-1.256444766538979,-1.2638989543430996,-0.6740863443420644,-1.2874003520033128,-0.3877788349719844,0.35294117647058826,-0.058823529411764705,-0.35294117647058826,0.47058823529411764,0.7647058823529411,0.47058823529411764,0.8235294117647058,-0.058823529411764705,-0.23529411764705882,-0.23529411764705882
4,1,0,0,-0.24842397692061116,0.0,-0.8875050048366883,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3813299503118726,1.573633576488001,-1.3667406702611269,-1.309017866582091,-0.18300031715826198,-1.5386685992338751,-1.256444766538979,-1.2638989543430996,-0.6740863443420644,-1.3146209958769426,0.4117647058823529,0.35294117647058826,-0.058823529411764705,-0.35294117647058826,0.47058823529411764,0.7647058823529411,0.47058823529411764,0.8235294117647058,-0.058823529411764705,-0.23529411764705882
5,0,1,0,1.1390105780532107,1.1764705882352942,-0.5423760446771251,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.2457976530288614,1.3813299503118726,1.573633576488001,-1.352574267893012,-1.323184268950206,-0.17921109845739727,-1.5386685992338751,-1.256444766538979,-1.2638989543430996,-0.6883391479014694,0.0,0.4117647058823529,0.35294117647058826,-0.058823529411764705,-0.35294117647058826,0.47058823529411764,0.7647058823529411,0.47058823529411764,0.8235294117647058,-0.058823529411764705
6,0,1,0,0.31274708836414156,1.411764705882353,-0.9196268126136322,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.1269690242097472,-0.2457976530288614,1.3813299503118726,1.5877999788561161,-1.3667406702611269,-1.2957863132829484,-0.17921109845739727,-1.5386685992338751,-1.256444766538979,-1.2906226873876732,1.1764705882352942,0.0,0.4117647058823529,0.35294117647058826,-0.058823529411764705,-0.35294117647058826,0.47058823529411764,0.7647058823529411,0.47058823529411764,0.8235294117647058
