DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
5,0,1,0,-0.4485135135135135,-0.7931034482758621,-0.4493740242932356,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.4456756756756757,-0.4418918918918919,-0.44324761007136126,-0.38226450657451877,0.8132818738355071,-0.2616449294649987,-0.35213380996513527,-0.248201597599188,0.34811774570810716,0.5934065934065935,-0.3448275862068966,-0.20689655172413793,0.27586206896551724,0.5517241379310345,0.034482758620689655,-0.7931034482758621,-0.5666666666666667,-0.4666666666666667,-0.4,-0.36666666666666664
6,0,1,0,-0.1916216216216216,0.10344827586206896,-0.38037561854096197,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.4485135135135135,-0.4456756756756757,-0.44028544499798034,-0.39088094062738415,-0.42959808357732243,0.8132818738355071,-0.26029392294452536,-0.35213380996513527,-0.25702811244979923,0.34370448828280153,-0.7931034482758621,-0.3448275862068966,-0.20689655172413793,0.27586206896551724,0.5517241379310345,0.034482758620689655,-0.7333333333333333,-0.5666666666666667,-0.43333333333333335,-0.4
0,1,0,0,-0.44427927927927924,-0.7586206896551724,-0.44842671527344957,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,-0.1916216216216216,-0.4485135135135135,-0.4440554732731924,-0.38791904142171163,-0.4381155177002929,-0.42959808357732243,0.809082483781279,-0.26029392294452536,-0.3609603248157465,-0.26144136987510486,0.10344827586206896,-0.7931034482758621,-0.3448275862068966,-0.20689655172413793,0.27586206896551724,0.5517241379310345,0.06666666666666667,-0.7333333333333333,-0.5333333333333333,-0.43333333333333335
1,1,0,0,-0.20833333333333334,-0.5172413793103449,-0.3706922360069492,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,-0.44427927927927924,-0.1916216216216216,-0.4468829944796014,-0.3916887313198403,-0.43518764972052176,-0.4381155177002929,-0.4273798490665961,0.809082483781279,-0.2691204377951366,-0.36537358224105215,-0.7586206896551724,0.10344827586206896,-0.7931034482758621,-0.3448275862068966,-0.20689655172413793,0.27586206896551724,0.5666666666666667,0.06666666666666667,-0.7,-0.5333333333333333
2,1,0,0,0.19081081081081086,0.27586206896551724,-0.15833953171374013,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.20833333333333334,-0.44427927927927924,-0.19092500336609666,-0.39451599874343674,-0.4389140271493213,-0.43518764972052176,-0.4358533033231829,-0.4273798490665961,0.8002559689306677,-0.27353369522044224,-0.5172413793103449,-0.7586206896551724,0.10344827586206896,-0.7931034482758621,-0.3448275862068966,-0.20689655172413793,0.3,0.5666666666666667,0.1,-0.7
3,1,0,0,-0.2656756756756757,0.2413793103448276,-0.33675784191712427,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19081081081081086,-0.20833333333333334,-0.44266415331448317,-0.13858098101691874,-0.441708810220921,-0.4389140271493213,-0.43294055342248117,-0.4358533033231829,-0.43620636391720735,0.7958427115053621,0.27586206896551724,-0.5172413793103449,-0.7586206896551724,0.10344827586206896,-0.7931034482758621,-0.3448275862068966,-0.16666666666666666,0.3,0.6,0.1
4,1,0,0,-0.4386936936936937,-0.6551724137931034,-0.4414763051868356,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2656756756756757,0.19081081081081086,-0.20757596158161662,-0.39029753623838803,-0.18871439978706417,-0.441708810220921,-0.4366476896597379,-0.43294055342248117,-0.44467981817379415,-0.440619621342513,0.2413793103448276,0.27586206896551724,-0.5172413793103449,-0.7586206896551724,0.10344827586206896,-0.7931034482758621,-0.3,-0.16666666666666666,0.3333333333333333,0.6
5,0,1,0,-0.4281081081081081,-0.9655172413793104,-0.43543710669537683,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4386936936936937,-0.2656756756756757,0.19011714016426556,-0.1552304447336535,-0.43753881643155007,-0.18871439978706417,-0.4394280418376804,-0.4366476896597379,-0.44176706827309237,-0.4490930755990998,-0.6551724137931034,0.2413793103448276,0.27586206896551724,-0.5172413793103449,-0.7586206896551724,0.10344827586206896,-0.7333333333333333,-0.3,-0.13333333333333333,0.3333333333333333
6,0,1,0,-0.26950450450450447,0.1724137931034483,-0.3227036904814734,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.4281081081081081,-0.4386936936936937,-0.2647098424666756,0.24242696225822383,-0.2051725667642623,-0.43753881643155007,-0.18773997087250102,-0.4394280418376804,-0.44547420451034914,-0.446180325698398,-0.9655172413793104,-0.6551724137931034,0.2413793103448276,0.27586206896551724,-0.5172413793103449,-0.7586206896551724,0.13333333333333333,-0.7333333333333333,-0.26666666666666666,-0.13333333333333333
0,1,0,0,-0.08918918918918918,0.27586206896551724,-0.2347006529990999,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.26950450450450447,-0.4281081081081081,-0.4370988734796463,-0.21235919759457883,0.18791589033803577,-0.2051725667642623,-0.4352795798578931,-0.18773997087250102,-0.44825455668829167,-0.44988746193565476,0.1724137931034483,-0.9655172413793104,-0.6551724137931034,0.2413793103448276,0.27586206896551724,-0.5172413793103449,-0.7,0.13333333333333333,-0.7,-0.26666666666666666
1,1,0,0,-0.3555405405405406,0.06896551724137931,-0.3828822369540927,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.08918918918918918,-0.26950450450450447,-0.42655177056685073,-0.38473275591257916,-0.2616449294649987,0.18791589033803577,-0.20411315592038487,-0.4352795798578931,-0.19656648572311225,-0.45266781411359724,0.27586206896551724,0.1724137931034483,-0.9655172413793104,-0.6551724137931034,0.2413793103448276,0.27586206896551724,-0.4666666666666667,-0.7,0.16666666666666666,-0.7
2,1,0,0,0.36085585585585594,0.034482758620689655,0.09343934274868973,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.3555405405405406,-0.08918918918918918,-0.26852475203087833,-0.37418659964995743,-0.43203797356046497,-0.2616449294649987,0.18694558453594606,-0.20411315592038487,-0.4441060947085044,-0.20097974314841788,0.06896551724137931,0.27586206896551724,0.1724137931034483,-0.9655172413793104,-0.6551724137931034,0.2413793103448276,0.3,-0.4666666666666667,-0.6666666666666666,0.16666666666666666
3,1,0,0,-0.30743243243243246,0.4827586206896552,-0.35306046550444,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36085585585585594,-0.3555405405405406,-0.0888649522014272,-0.21617376475339947,-0.42161298908703765,-0.43203797356046497,-0.26029392294452536,0.18694558453594606,-0.2129396707709961,-0.44851935213381,0.034482758620689655,0.06896551724137931,0.27586206896551724,0.1724137931034483,-0.9655172413793104,-0.6551724137931034,0.26666666666666666,0.3,-0.43333333333333335,-0.6666666666666666
4,1,0,0,0.021081081081081112,0.06896551724137931,-0.15207033632864686,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.30743243243243246,0.36085585585585594,-0.3542480140029622,-0.036530090203293994,-0.26541566852985543,-0.42161298908703765,-0.4298071406505142,-0.26029392294452536,0.17811906968533484,-0.21735292819630173,0.4827586206896552,0.034482758620689655,0.06896551724137931,0.27586206896551724,0.1724137931034483,-0.9655172413793104,-0.6,0.26666666666666666,0.3333333333333333,-0.43333333333333335
