USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
1976381.6288203655,6694511.690916912,4718130.062096546,0.7047758342849841
1976381.6239680494,5254557.726364395,3278176.102396345,0.623872887711998
1976381.6234095802,4256228.059886757,2279846.436477177,0.5356495010133069
1976381.625321897,2944986.31788815,968604.692566253,0.32889955606341814
1976381.6248381117,3093958.0772465686,1117576.452408457,0.3612125389245839
1976381.6218041072,3584813.7489055125,1608432.1271014053,0.44867941258942096
1976381.6222515453,3219883.8523194613,1243502.230067916,0.3861947471093258
1976381.6219271515,5621717.006467229,3645335.3845400773,0.6484380804559319
1976381.6179771386,5195726.584505991,3219344.9665288525,0.6196140066586947
1976381.6175655262,3641477.5285386974,1665095.9109731712,0.4572583238324593
1976381.6200027992,4278349.36309805,2301967.7430952503,0.5380504366825115
1976381.618691534,1297824.8565178297,678556.7621737043,0.5228415519751468
1976381.6178449495,3466094.847912416,1489713.2300674664,0.4297958640585676
1976381.6189062262,2905814.7977958503,929433.1788896241,0.3198528617841122
1976381.618910141,3128382.149384566,1152000.530474425,0.3682416263310585
1976381.6160355823,5502466.97768637,3526085.3616507873,0.6408189955432327
1976381.6165032918,3247797.944162878,1271416.3276595864,0.3914702667832665
1976381.620338255,3570829.6391474847,1594448.0188092296,0.4465203271892565
1976381.61982457,2188116.816069626,211735.19624505588,0.09676594717889983
1976381.6174004772,1572755.0930846934,403626.52431578375,0.2566366029208899
1976381.6191578386,3751131.1720247553,1774749.5528669166,0.47312383157983695
1976381.6179592153,2590689.1259959494,614307.5080367341,0.23712127474984993
1976381.615001407,4425093.994259379,2448712.379257972,0.5533695741682905
1976381.6156490801,3247442.731311191,1271061.1156621107,0.39140370464636515
1976381.6211509896,8167260.259129049,6190878.63797806,0.7580116760768256
1976381.6194335953,1826125.601043886,150256.0183897093,0.08228131641318481
1976381.6178653045,2538466.0708387834,562084.4529734789,0.2214268133935506
1976381.6192911998,4831899.539249942,2855517.919958742,0.590972121163348
1976381.6196004264,6640668.188560142,4664286.568959716,0.7023821152508218
1976381.6152362912,3789703.9047384956,1813322.2895022044,0.47848653485431886
1976381.6167317135,3199746.1027783873,1223364.4860466737,0.3823317371914003
1976381.6195329474,2241778.7651910884,265397.145658141,0.11838685858705537
1976381.6206169736,2653573.077343132,677191.4567261583,0.25519985204409396
1976381.6184244168,2566862.8010965567,590481.18267214,0.23004002489727463
1976381.620153601,5171423.259491475,3195041.639337874,0.6178263659764824
1976381.6195350846,6624396.056973307,4648014.437438223,0.7016510482559982
1976381.6141600467,2502152.040797838,525770.4266377913,0.21012728965508579
1976381.6152080887,2816320.329387952,839938.7141798635,0.29823976534743135
1976381.6192075466,3315681.9392700074,1339300.3200624608,0.4039290693718729
1976381.6198826162,3601586.5614642496,1625204.9415816334,0.451246947378906
1976381.6182385776,2755302.6550869383,778921.0368483607,0.28269890257256813
1976381.6181335854,1755646.8606296675,220734.7575039179,0.1257284494130846
1976381.6167970325,1342942.526981396,633439.0898156366,0.4716799692384839
1976381.61233372,1035742.048583593,940639.5637501271,0.9081793724957664
1976381.6153890232,4936492.245344335,2960110.6299553122,0.5996384644880235
1976381.6196203667,3514865.008619209,1538483.388998842,0.43770767447004316
1976381.6213630314,4937022.2454722505,2960640.624109219,0.599681442963808
1976381.6187561757,2865140.1071279966,888758.4883718209,0.31019721728816546
1976381.6182268027,2175955.0046237484,199573.3863969457,0.09171760719907653
1976381.6164321883,2329768.9353635856,353387.3189313973,0.15168341957321504
1976381.61422334,6399876.726190079,4423495.1119667385,0.6911844245162667
1976381.6156387983,4195897.130432339,2219515.5147935413,0.5289728145849099
1976381.6201315087,5478597.801712805,3502216.181581297,0.6392541136139578
1976381.6198288733,2495972.4648383195,519590.84500944614,0.20817170554928516
1976381.618521868,3874306.5847317236,1897924.9662098556,0.4898747491201132
1976381.61805868,1967545.4224094406,8836.195649239467,0.004490974159274418
1976381.617233589,2717452.752334886,741071.1351012972,0.2727080110094113
1976381.6135964917,2937703.890598629,961322.2770021374,0.3272359341860845
1976381.6156494592,4538714.745085873,2562333.1294364138,0.5645503789835407
1976381.6207192403,6313459.641503627,4337078.020784387,0.6869574317499652
1976381.620970699,4789730.699285306,2813349.078314607,0.5873710350217388
1976381.6186328018,2314898.484966109,338516.86633330723,0.14623400055413802
1976381.6182717003,1497442.0749079827,478939.5433637176,0.31983844409684314
1976381.6168722338,1330653.2899728494,645728.3268993844,0.48527165698629116
1976381.6150244738,5825081.438527725,3848699.823503251,0.6607117624223294
1976381.6160449267,2653989.1838265373,677607.5677816106,0.25531662747948053
1976381.6213235026,6339867.179791951,4363485.558468448,0.6882613522846137
1976381.6211195956,3471520.0194345405,1495138.398314945,0.43068695843455945
1976381.6190833182,2570210.8231811943,593829.2040978761,0.23104299411628942
1976381.6196766943,4737755.729294399,2761374.1096177045,0.5828443396825274
1976381.618394636,5068545.724023802,3092164.105629166,0.6100692928492254
1976381.6150174972,4440772.976766888,2464391.361749391,0.55494648671358
1976381.6161317541,2536275.027756786,559893.4116250318,0.22075421848876967
1976381.620997601,5809536.647541964,3833155.0265443632,0.6598039153718369
1976381.6196350304,1330653.2899728494,645728.329662181,0.485271659062562
1976381.6187595353,2224058.718361184,247677.09960164875,0.11136266212618327
1976381.6201477267,6864646.24261699,4888264.622469263,0.7120927211255279
1976381.6186118051,4539047.404740628,2562665.7861288227,0.5645822917496628
1976381.6147722902,4071379.802507885,2094998.1877355946,0.5145671220467124
1976381.615674556,3825178.9558535498,1848797.3401789938,0.4833230971716599
1976381.6204362663,5015077.73239596,3038696.111959694,0.6059120663934261
1976381.6199716667,2587824.8699855157,611443.250013849,0.2362769046335316
1976381.6184770933,1883700.5298331464,92681.08864394692,0.0492016045948431
1976381.61876471,1884372.6151017363,92009.00366297364,0.04882739375726182
1976381.6178235842,2945210.7221976286,968829.1043740443,0.32895069173560965
1976381.6140290601,1973046.1471412897,3335.4668877704535,0.0016905164091590814
1976381.6155147082,1905961.6628654196,70419.95264928858,0.03694720309506086
1976381.6203086085,3997938.6996765756,2021557.079367967,0.5056498438886786
1976381.6208296812,3015707.5051693935,1039325.8843397123,0.3446374963613499
1976381.6193614365,4338906.952181639,2362525.3328202027,0.5444978098994044
1976381.6202510998,6263622.7145819245,4287241.094330825,0.6844666879998987
1976381.617897257,3299702.9992432953,1323321.3813460383,0.4010425731193108
1976381.6145370335,4855794.651399978,2879413.036862945,0.5929849269949624
1976381.6158568165,5150608.914042425,3174227.298185609,0.6162819486316493
1976381.6190608782,2657410.503801205,681028.884740327,0.25627537927097516
1976381.6200684013,4252824.782469636,2276443.1624012347,0.5352779102926721
1976381.6181630816,3312907.8960473035,1336526.2778842219,0.4034299533285722
1976381.6185891386,4165638.633767784,2189257.0151786455,0.525551351822009
1976381.6174844103,3988181.059023708,2011799.4415392978,0.5044403480597691
1976381.6124671586,1197318.789707614,779062.8227595445,0.6506728445728243
1976381.6146635434,2834728.2487242995,858346.6340607561,0.30279679699351575
1976381.6206646815,8139935.933385419,6163554.312720737,0.7571993641180048
1976381.6204768491,4331436.205697732,2355054.5852208827,0.5437121715247604
1976381.619001897,4161127.9943812746,2184746.3753793775,0.5250370520516111
1976381.618213118,3081186.2018236658,1104804.5836105477,0.35856469270070257
1976381.6173790812,4423808.462034224,2447426.844655142,0.5532397855059323
1976381.6139099684,5678145.105192468,3701763.4912824994,0.6519318232810508
1976381.6157918985,4476331.474710593,2499949.858918695,0.5584818445734793
1976381.6202084268,4503688.502589775,2527306.8823813484,0.5611637840690048
1976381.6211267563,5789174.493691411,3812792.872564655,0.6586073501013897
1976381.6200059084,5865397.53336435,3889015.9133584416,0.6630438757537599
1976381.6192238873,3023593.2304768595,1047211.6112529722,0.3463467243865384
1976381.617401376,1915281.771497796,61099.845903579844,0.03190123083341325
1976381.6143257644,3684529.3261632416,1708147.7118374773,0.46359997726390695
1976381.616052783,2835033.8445427353,858652.2284899522,0.30287194988617316
1976381.6206271083,3902929.9746186696,1926548.3539915613,0.4936159158683835
1976381.6212311026,4031520.4099091426,2055138.78867804,0.5097676756458133
1976381.619713517,3674752.5152929816,1698370.8955794647,0.46217286429806187
1976381.6203022494,6239180.687406274,4262799.067104024,0.6832305843792027
1976381.6191869425,7412852.438755713,5436470.819568771,0.7333844649525104
1976381.6144486228,2785494.6198205426,809113.0053719198,0.29047372757950163
1976381.6157991565,2551566.095277055,575184.4794778987,0.22542409563387922
1976381.6200186994,3788603.3087281873,1812221.688709488,0.47833503300134117
1976381.6209008703,3098133.8016586304,1121752.18075776,0.36207351023936213
1976381.6205521005,6841605.896630696,4865224.276078596,0.7111231412020657
1976381.61991994,4833127.560822919,2856745.940902979,0.5910760485735186
1976381.6193733597,8839359.059637198,6862977.4402638385,0.7764112074145704
1976381.61422669,3082541.6489593117,1106160.0347326216,0.3588467442462843
1976381.6161716671,4261834.784644189,2285453.168472522,0.536260386420242
1976381.6201432033,4009518.6386415935,2033137.0184983902,0.5070775825566951
1976381.6216068468,6305549.107679536,4329167.486072689,0.6865647086627541
1976381.6195314026,3263065.330826368,1286683.7112949656,0.3943174839742219
1976381.6194049295,2508495.1274351175,532113.508030188,0.21212459303210315
1976381.6185917894,5194120.796884393,3217739.178292604,0.6194964083666886
1976381.6158246002,9874987.203201886,7898605.587377286,0.7998598301794483
1976381.6166151918,5659531.951764034,3683150.335148842,0.6507870909715124
1976381.6207895963,5229586.826720675,3253205.205931079,0.6220769085061871
1976381.6207713403,2989263.8817659784,1012882.2609946381,0.33884002920352885
1976381.6194246362,5779172.150851825,3802790.531427189,0.6580164826664099
1976381.6192698427,4846835.393918524,2870453.774648681,0.5922325685436582
1976381.6181702968,4090482.3603097545,2114100.7421394577,0.5168340933706816
1976381.6143666273,2996418.88349283,1020037.2691262029,0.3404187828162323
