FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,643.6,21.0,5626077.0
2024-01-02,1,1,0,0,648.8,13.0,5461770.0
2024-01-03,2,1,0,0,171.4,15.0,2077623.0
2024-01-04,3,1,0,0,334.1,16.0,3530188.0
2024-01-05,4,1,0,0,607.9,24.0,6590836.0
2024-01-06,5,0,1,0,12.7,20.0,97720.0
2024-01-07,6,0,1,0,0.2,17.0,2169.0
2024-01-08,0,0,0,1,567.7,25.0,8951104.0
2024-01-09,1,1,0,0,419.3,14.0,5434108.0
2024-01-10,2,1,0,0,416.8,18.0,5027731.0
2024-01-11,3,1,0,0,647.1,19.0,6962326.0
2024-01-12,4,1,0,0,475.4,21.0,5521179.0
2024-01-13,5,0,1,0,477.9,18.0,4302267.0
2024-01-14,6,0,1,0,9.5,24.0,75072.0
2024-01-15,0,1,0,0,1.5,28.0,10536.0
2024-01-16,1,1,0,0,0.1,18.0,626.0
2024-01-17,2,1,0,0,0.5,26.0,5169.0
2024-01-18,3,1,0,0,0.3,18.0,3415.0
2024-01-19,4,1,0,0,0.4,27.0,6697.0
2024-01-20,5,0,1,0,0.4,19.0,4843.0
2024-01-21,6,0,1,0,1.0,20.0,13107.0
2024-01-22,0,1,0,0,0.3,23.0,3445.0
2024-01-23,1,1,0,0,0.2,15.0,2069.0
2024-01-24,2,1,0,0,91.5,19.0,1144986.0
2024-01-25,3,1,0,0,28.8,15.0,429984.0
2024-01-26,4,1,0,0,251.0,20.0,3457386.0
2024-01-27,5,0,1,0,84.1,11.0,1044005.0
2024-01-28,6,0,1,0,298.0,15.0,3063513.0
2024-01-29,0,1,0,0,393.7,21.0,4582606.0
2024-01-30,1,1,0,0,414.0,22.0,3746885.0
2024-01-31,2,1,0,0,243.3,26.0,2540819.0
2024-02-01,3,1,0,0,294.6,26.0,4097551.0
2024-02-02,4,1,0,0,174.6,12.0,1667649.0
2024-02-03,5,0,1,0,210.9,20.0,3742043.0
2024-02-04,6,0,1,0,187.4,21.0,2996978.0
2024-02-05,0,1,0,0,204.8,16.0,3082905.0
2024-02-06,1,1,0,0,20.4,15.0,304128.0
2024-02-07,2,1,0,0,28.4,13.0,469329.0
2024-02-08,3,1,0,0,145.4,22.0,1975977.0
2024-02-09,4,1,0,0,110.0,23.0,1323346.0
2024-02-10,5,0,1,0,92.3,35.0,1473532.0
2024-02-11,6,0,1,0,343.3,24.0,4613473.0
2024-02-12,0,1,0,0,12.9,28.0,133339.0
2024-02-13,1,1,0,0,0.6,24.0,4874.0
