FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,1.1,34.0,9639.0
2024-01-02,1,1,0,0,5.6,32.0,47276.0
2024-01-03,2,1,0,0,2.0,38.0,24086.0
2024-01-04,3,1,0,0,0.4,28.0,3793.0
2024-01-05,4,1,0,0,0.9,37.0,9740.0
2024-01-06,5,0,1,0,0.2,38.0,1654.0
2024-01-07,6,0,1,0,41.0,31.0,411686.0
2024-01-08,0,0,0,1,12.0,35.0,188515.0
2024-01-09,1,1,0,0,0.2,29.0,2231.0
2024-01-10,2,1,0,0,48.2,34.0,581290.0
2024-01-11,3,1,0,0,8.7,28.0,93205.0
2024-01-12,4,1,0,0,64.6,34.0,750227.0
2024-01-13,5,0,1,0,9.5,36.0,85880.0
2024-01-14,6,0,1,0,0.3,35.0,2733.0
2024-01-15,0,1,0,0,0.6,28.0,4115.0
2024-01-16,1,1,0,0,0.4,31.0,3235.0
2024-01-17,2,1,0,0,99.0,40.0,989898.0
2024-01-18,3,1,0,0,30.1,28.0,360517.0
2024-01-19,4,1,0,0,12.6,33.0,193356.0
2024-01-20,5,0,1,0,5.8,29.0,75058.0
2024-01-21,6,0,1,0,24.2,28.0,313643.0
2024-01-22,0,1,0,0,14.7,39.0,154195.0
2024-01-23,1,1,0,0,0.4,36.0,4201.0
2024-01-24,2,1,0,0,0.2,35.0,2190.0
2024-01-25,3,1,0,0,0.8,47.0,12469.0
2024-01-26,4,1,0,0,0.6,43.0,8364.0
2024-01-27,5,0,1,0,0.6,39.0,7155.0
2024-01-28,6,0,1,0,7.4,52.0,76245.0
2024-01-29,0,1,0,0,4.0,61.0,46667.0
2024-01-30,1,1,0,0,19.3,57.0,174409.0
2024-01-31,2,1,0,0,90.1,57.0,940971.0
2024-02-01,3,1,0,0,1.3,54.0,18209.0
2024-02-02,4,1,0,0,0.9,43.0,8452.0
2024-02-03,5,0,1,0,1.6,47.0,28189.0
2024-02-04,6,0,1,0,0.3,35.0,5317.0
2024-02-05,0,1,0,0,0.1,33.0,2234.0
2024-02-06,1,1,0,0,1.8,41.0,27281.0
2024-02-07,2,1,0,0,0.9,46.0,15073.0
2024-02-08,3,1,0,0,26.1,28.0,354419.0
2024-02-09,4,1,0,0,2.0,43.0,24259.0
2024-02-10,5,0,1,0,50.7,29.0,809860.0
2024-02-11,6,0,1,0,92.7,37.0,1245285.0
2024-02-12,0,1,0,0,148.1,41.0,1533128.0
2024-02-13,1,1,0,0,130.3,46.0,1128401.0
2024-02-14,2,1,0,0,185.9,39.0,1403840.0
2024-02-15,3,1,0,0,44.9,57.0,523786.0
2024-02-16,4,1,0,0,79.6,44.0,839066.0
2024-02-17,5,0,1,0,51.8,49.0,548051.0
2024-02-18,6,0,1,0,60.4,39.0,782302.0
2024-02-19,0,1,0,0,45.1,46.0,660440.0
2024-02-20,1,1,0,0,11.3,54.0,138059.0
2024-02-21,2,1,0,0,176.8,48.0,2039205.0
2024-02-22,3,1,0,0,207.1,55.0,3170209.0
2024-02-23,4,1,0,0,86.6,53.0,1232590.0
