FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-11-29,4,1,0,0,0.35,19.0,7766.0
2024-11-30,5,0,1,0,0.03,20.0,598.0
2024-12-01,6,0,1,0,0.17,18.0,4083.0
2024-12-02,0,1,0,0,1.12,12.0,23389.0
2024-12-03,1,1,0,0,0.02,22.0,293.0
2024-12-04,2,1,0,0,2.09,38.0,48209.0
2024-12-05,3,1,0,0,2.15,39.0,49400.0
2024-12-06,4,1,0,0,1.85,20.0,41701.0
2024-12-07,5,0,1,0,0.3,17.0,6088.0
2024-12-08,6,0,0,1,0.0,13.0,94.0
2024-12-09,0,1,0,0,5.95,43.0,160589.0
2024-12-10,1,1,0,0,13.97,40.0,423064.0
2024-12-11,2,1,0,0,0.02,17.0,570.0
2024-12-12,3,1,0,0,0.48,22.0,16398.0
2024-12-13,4,1,0,0,0.48,22.0,16400.0
2024-12-14,5,0,1,0,73.59,37.0,2235423.0
2024-12-15,6,0,1,0,58.34,23.0,1728481.0
2024-12-16,0,1,0,0,65.94,33.0,2192920.0
2024-12-17,1,1,0,0,22.2,25.0,680726.0
2024-12-18,2,1,0,0,133.0,24.0,4197739.0
2024-12-19,3,1,0,0,28.1,27.0,799694.0
2024-12-20,4,1,0,0,25.4,29.0,770694.0
2024-12-21,5,0,1,0,0.82,31.0,21415.0
2024-12-22,6,0,1,0,16.4,27.0,525370.0
2024-12-23,0,1,0,0,18.2,19.0,456241.0
2024-12-24,1,1,0,0,0.0,3.0,101.0
2024-12-25,2,0,0,1,11.0,12.0,311364.0
2024-12-26,3,1,0,0,67.1,51.0,1835923.0
2024-12-27,4,1,0,0,17.9,20.0,583787.0
2024-12-28,5,0,1,0,1.06,7.0,24838.0
2024-12-29,6,0,1,0,11.3,20.0,365002.0
2024-12-30,0,1,0,0,5.32,8.0,130031.0
2024-12-31,1,1,0,0,0.04,12.0,700.0
2025-01-01,2,0,0,1,0.0,3.0,28.0
2025-01-02,3,1,0,0,23.0,22.0,637832.0
2025-01-03,4,1,0,0,12.0,14.0,310776.0
2025-01-04,5,0,1,0,20.0,20.0,531639.0
2025-01-05,6,0,1,0,20.0,23.0,644421.0
2025-01-06,0,0,0,1,36.0,29.0,1331133.0
2025-01-07,1,1,0,0,5.0,13.0,176117.0
2025-01-08,2,1,0,0,6.0,16.0,215633.0
2025-01-09,3,1,0,0,6.0,21.0,199983.0
2025-01-10,4,1,0,0,37.0,20.0,1348821.0
2025-01-11,5,0,1,0,30.0,27.0,1011907.0
