FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,47.4,34.0,414008.0
2024-01-02,1,1,0,0,14.9,28.0,125388.0
2024-01-03,2,1,0,0,341.7,34.0,4140482.0
2024-01-04,3,1,0,0,476.9,26.0,5038805.0
2024-01-05,4,1,0,0,187.9,32.0,2036595.0
2024-01-06,5,0,1,0,80.0,47.0,613517.0
2024-01-07,6,0,1,0,0.1,26.0,604.0
2024-01-08,0,0,0,1,0.5,33.0,7648.0
2024-01-09,1,1,0,0,0.6,37.0,7750.0
2024-01-10,2,1,0,0,3.6,38.0,43614.0
2024-01-11,3,1,0,0,1.9,33.0,20008.0
2024-01-12,4,1,0,0,0.4,38.0,4910.0
2024-01-13,5,0,1,0,0.3,53.0,3012.0
2024-01-14,6,0,1,0,0.4,33.0,3114.0
2024-01-15,0,1,0,0,0.6,38.0,4093.0
2024-01-16,1,1,0,0,0.4,44.0,3551.0
2024-01-17,2,1,0,0,0.7,48.0,7355.0
2024-01-18,3,1,0,0,0.1,28.0,779.0
2024-01-19,4,1,0,0,0.1,43.0,1229.0
2024-01-20,5,0,1,0,0.8,46.0,10394.0
2024-01-21,6,0,1,0,0.1,30.0,1341.0
2024-01-22,0,1,0,0,0.1,36.0,1527.0
2024-01-23,1,1,0,0,0.1,33.0,1420.0
2024-01-24,2,1,0,0,0.7,37.0,8171.0
2024-01-25,3,1,0,0,0.1,36.0,1290.0
2024-01-26,4,1,0,0,0.4,36.0,5180.0
2024-01-27,5,0,1,0,0.2,53.0,2181.0
2024-01-28,6,0,1,0,0.4,33.0,3687.0
2024-01-29,0,1,0,0,1.4,40.0,16628.0
2024-01-30,1,1,0,0,1.6,32.0,14839.0
2024-01-31,2,1,0,0,0.6,50.0,6192.0
2024-02-01,3,1,0,0,0.8,48.0,10909.0
2024-02-02,4,1,0,0,0.8,40.0,7975.0
2024-02-03,5,0,1,0,0.0,51.0,874.0
2024-02-04,6,0,1,0,0.1,47.0,2074.0
2024-02-05,0,1,0,0,0.3,31.0,4042.0
2024-02-06,1,1,0,0,0.6,21.0,8305.0
2024-02-07,2,1,0,0,40.2,29.0,663677.0
2024-02-08,3,1,0,0,4.8,28.0,65895.0
2024-02-09,4,1,0,0,3.5,24.0,42227.0
2024-02-10,5,0,1,0,11.3,32.0,181041.0
2024-02-11,6,0,1,0,35.4,30.0,476231.0
2024-02-12,0,1,0,0,17.1,24.0,177008.0
2024-02-13,1,1,0,0,131.9,31.0,1142468.0
2024-02-14,2,1,0,0,204.1,43.0,1541594.0
2024-02-15,3,1,0,0,35.9,42.0,419322.0
2024-02-16,4,1,0,0,0.2,42.0,2581.0
2024-02-17,5,0,1,0,0.9,52.0,9365.0
2024-02-18,6,0,1,0,0.6,42.0,7140.0
2024-02-19,0,1,0,0,2.9,32.0,41976.0
2024-02-20,1,1,0,0,0.2,36.0,2902.0
2024-02-21,2,1,0,0,0.5,30.0,6200.0
2024-02-22,3,1,0,0,8.1,25.0,124450.0
2024-02-23,4,1,0,0,41.2,23.0,585601.0
2024-02-24,5,0,1,0,114.2,38.0,1433904.0
2024-02-25,6,0,1,0,111.8,22.0,1963515.0
2024-02-26,0,1,0,0,185.7,42.0,2066983.0
2024-02-27,1,1,0,0,62.7,28.0,728492.0
2024-02-28,2,1,0,0,166.6,36.0,2857491.0
2024-02-29,3,1,0,0,2.4,39.0,18793.0
2024-03-01,4,1,0,0,3.3,46.0,39723.0
2024-03-02,5,0,1,0,12.5,35.0,128311.0
2024-03-03,6,0,1,0,12.5,37.0,174727.0
2024-03-04,0,1,0,0,69.4,31.0,987146.0
2024-03-05,1,1,0,0,128.1,30.0,1765464.0
2024-03-06,2,1,0,0,31.1,37.0,376609.0
2024-03-07,3,1,0,0,29.2,34.0,312123.0
2024-03-08,4,1,0,0,289.1,35.0,3091905.0
2024-03-09,5,0,1,0,30.3,31.0,299800.0
2024-03-10,6,0,1,0,19.6,41.0,186615.0
2024-03-11,0,1,0,0,0.6,41.0,5354.0
2024-03-12,1,1,0,0,2.5,37.0,22151.0
2024-03-13,2,1,0,0,0.5,47.0,3545.0
2024-03-14,3,1,0,0,0.3,46.0,2611.0
2024-03-15,4,1,0,0,0.3,44.0,4095.0
2024-03-16,5,0,1,0,0.3,38.0,3499.0
2024-03-17,6,0,1,0,1.1,34.0,14649.0
2024-03-18,0,1,0,0,0.2,38.0,2092.0
2024-03-19,1,1,0,0,0.3,32.0,2624.0
2024-03-20,2,1,0,0,0.5,40.0,3404.0
2024-03-21,3,1,0,0,1.8,34.0,15314.0
2024-03-22,4,1,0,0,0.2,34.0,2152.0
2024-03-23,5,0,1,0,1.2,59.0,9216.0
2024-03-24,6,0,1,0,0.8,31.0,7388.0
2024-03-25,0,0,0,1,1.0,36.0,6667.0
2024-03-26,1,1,0,0,1.6,33.0,12319.0
2024-03-27,2,1,0,0,0.5,33.0,3918.0
2024-03-28,3,0,0,1,0.6,36.0,3694.0
2024-03-29,4,0,0,1,0.1,34.0,1188.0
2024-03-30,5,0,1,0,1.0,54.0,6104.0
2024-03-31,6,0,1,0,18.3,43.0,139199.0
2024-04-01,0,1,0,0,15.2,36.0,159811.0
2024-04-02,1,1,0,0,1.8,33.0,12853.0
2024-04-03,2,1,0,0,10.7,38.0,96645.0
2024-04-04,3,1,0,0,0.3,41.0,3113.0
2024-04-05,4,1,0,0,0.2,39.0,2091.0
2024-04-06,5,0,1,0,0.3,46.0,3585.0
2024-04-07,6,0,1,0,0.1,32.0,871.0
2024-04-08,0,1,0,0,0.2,33.0,1493.0
2024-04-09,1,1,0,0,0.1,31.0,1103.0
2024-04-10,2,1,0,0,2.6,40.0,10956.0
2024-04-11,3,1,0,0,0.2,41.0,945.0
2024-04-12,4,1,0,0,0.2,39.0,1374.0
2024-04-13,5,0,1,0,0.2,43.0,2083.0
2024-04-14,6,0,1,0,0.3,29.0,2151.0
2024-04-15,0,1,0,0,0.4,40.0,1613.0
2024-04-16,1,1,0,0,2.0,42.0,8365.0
2024-04-17,2,1,0,0,2.5,32.0,9328.0
2024-04-18,3,1,0,0,1.0,41.0,3058.0
2024-04-19,4,1,0,0,0.7,41.0,2922.0
2024-04-20,5,0,1,0,0.8,56.0,6604.0
2024-04-21,6,0,1,0,0.6,34.0,3971.0
2024-04-22,0,1,0,0,4.5,33.0,20908.0
2024-04-23,1,1,0,0,51.4,28.0,942796.0
2024-04-24,2,1,0,0,131.8,33.0,2420765.0
2024-04-25,3,1,0,0,179.7,33.0,2132005.0
2024-04-26,4,1,0,0,19.6,29.0,196073.0
2024-04-27,5,0,1,0,86.7,39.0,1058080.0
2024-04-28,6,0,1,0,0.6,36.0,4114.0
2024-04-29,0,1,0,0,0.4,37.0,3288.0
2024-04-30,1,1,0,0,0.4,39.0,2596.0
2024-05-01,2,0,0,1,0.5,33.0,2735.0
2024-05-02,3,1,0,0,0.7,39.0,3630.0
2024-05-03,4,1,0,0,0.5,27.0,2276.0
2024-05-04,5,0,1,0,1.0,63.0,6928.0
2024-05-05,6,0,1,0,2.9,50.0,18148.0
2024-05-06,0,1,0,0,0.5,33.0,2401.0
2024-05-07,1,1,0,0,0.2,33.0,1252.0
2024-05-08,2,1,0,0,0.3,40.0,2267.0
2024-05-09,3,1,0,0,0.4,34.0,3562.0
2024-05-10,4,1,0,0,0.4,39.0,2858.0
2024-05-11,5,0,1,0,3.3,49.0,24284.0
2024-05-12,6,0,1,0,1.0,52.0,4015.0
2024-05-13,0,0,0,1,0.4,34.0,2287.0
2024-05-14,1,1,0,0,1.4,44.0,3069.0
2024-05-15,2,1,0,0,36.6,38.0,225878.0
2024-05-16,3,1,0,0,153.9,38.0,1255789.0
2024-05-17,4,1,0,0,284.4,49.0,2956879.0
2024-05-18,5,0,1,0,221.7,40.0,2433940.0
2024-05-19,6,0,1,0,52.2,31.0,610157.0
2024-05-20,0,1,0,0,0.6,47.0,4110.0
2024-05-21,1,1,0,0,0.5,32.0,3808.0
2024-05-22,2,1,0,0,0.4,31.0,1030.0
2024-05-23,3,1,0,0,0.2,31.0,1137.0
2024-05-24,4,1,0,0,1.3,39.0,5929.0
2024-05-25,5,0,1,0,1.0,48.0,6994.0
2024-05-26,6,0,1,0,31.2,26.0,215711.0
2024-05-27,0,1,0,0,36.5,37.0,310051.0
2024-05-28,1,1,0,0,4.5,28.0,33584.0
2024-05-29,2,1,0,0,8.7,23.0,43587.0
2024-05-30,3,1,0,0,30.1,33.0,360024.0
2024-05-31,4,1,0,0,88.6,42.0,824138.0
2024-06-01,5,0,1,0,124.2,48.0,1243859.0
2024-06-02,6,0,1,0,96.2,39.0,943310.0
2024-06-03,0,0,0,1,52.0,28.0,360064.0
2024-06-04,1,1,0,0,0.4,28.0,1683.0
2024-06-05,2,1,0,0,0.4,26.0,1258.0
2024-06-06,3,1,0,0,5.6,33.0,34342.0
2024-06-07,4,1,0,0,83.9,35.0,403659.0
2024-06-08,5,0,1,0,424.2,29.0,1336678.0
2024-06-09,6,0,1,0,207.3,33.0,604267.0
2024-06-10,0,0,0,1,176.4,25.0,961496.0
2024-06-11,1,1,0,0,437.4,35.0,2738508.0
2024-06-12,2,1,0,0,565.1,28.0,4190624.0
2024-06-13,3,1,0,0,334514313.0,33.0,1718195.0
2024-06-14,4,1,0,0,575862573.0,28.0,1915964.0
2024-06-15,5,0,1,0,72901676.0,37.0,406358.0
2024-06-16,6,0,1,0,5374729.0,46.0,29973.0
2024-06-17,0,1,0,0,0.2,39.0,1194.0
2024-06-18,1,1,0,0,382.1,35.0,2418960.0
2024-06-19,2,1,0,0,113.1,32.0,797376.0
2024-06-20,3,1,0,0,334.5,49.0,1671114.0
2024-06-21,4,1,0,0,110.8,57.0,645021.0
2024-06-22,5,0,1,0,845.6,58.0,4469427.0
2024-06-23,6,0,1,0,1.0,57.0,2479.0
2024-06-24,0,1,0,0,102.4,67.0,534782.0
2024-06-25,1,1,0,0,741.1,52.0,2991412.0
2024-06-26,2,1,0,0,232.1,57.0,898678.0
2024-06-27,3,1,0,0,166.5,48.0,559419.0
2024-06-28,4,1,0,0,191.5,68.0,1113093.0
2024-06-29,5,0,1,0,323.2,81.0,1905988.0
2024-06-30,6,0,1,0,307.0,66.0,1429444.0
2024-07-01,0,0,0,1,19.72,69.0,141970.0
2024-07-02,1,1,0,0,0.77,70.0,7157.0
2024-07-03,2,1,0,0,2.84,77.0,23845.0
2024-07-04,3,1,0,0,18.88,54.0,149820.0
2024-07-05,4,1,0,0,72.09,44.0,614192.0
2024-07-06,5,0,1,0,579.79,82.0,4880569.0
2024-07-07,6,0,1,0,65.65,77.0,579159.0
2024-07-08,0,1,0,0,288.9,59.0,1605100.0
2024-07-09,1,1,0,0,173.0,53.0,1004630.0
2024-07-10,2,1,0,0,4.25,59.0,29324.0
2024-07-11,3,1,0,0,1.02,59.0,7499.0
2024-07-12,4,1,0,0,1.08,65.0,6866.0
2024-07-13,5,0,1,0,0.53,70.0,3755.0
2024-07-14,6,0,1,0,0.61,98.0,3882.0
2024-07-15,0,1,0,0,0.94,83.0,5265.0
2024-07-16,1,1,0,0,0.39,68.0,2427.0
2024-07-17,2,1,0,0,0.89,63.0,4018.0
2024-07-18,3,1,0,0,0.28,53.0,1643.0
2024-07-19,4,1,0,0,0.3,64.0,2133.0
2024-07-20,5,0,0,1,42.07,91.0,327687.0
2024-07-21,6,0,1,0,76.98,70.0,503930.0
2024-07-22,0,1,0,0,508.07,71.0,3531139.0
2024-07-23,1,1,0,0,8.21,59.0,56904.0
2024-07-24,2,1,0,0,123.35,65.0,779703.0
2024-07-25,3,1,0,0,53.78,53.0,340019.0
2024-07-26,4,1,0,0,18.43,53.0,139902.0
2024-07-27,5,0,1,0,0.45,76.0,2656.0
2024-07-28,6,0,1,0,0.79,72.0,3734.0
2024-07-29,0,1,0,0,46.97,67.0,292909.0
2024-07-30,1,1,0,0,5.5,41.0,37630.0
2024-07-31,2,1,0,0,66.14,66.0,398163.0
2024-08-01,3,1,0,0,53.97,65.0,361692.0
2024-08-02,4,1,0,0,106.57,56.0,640602.0
2024-08-03,5,0,1,0,243.86,61.0,1196859.0
2024-08-04,6,0,1,0,319.25,57.0,2002365.0
2024-08-05,0,1,0,0,203.83,58.0,1410626.0
2024-08-06,1,1,0,0,0.31,48.0,3172.0
2024-08-07,2,0,0,1,40.77,39.0,342737.0
2024-08-08,3,1,0,0,33.08,56.0,263693.0
2024-08-09,4,1,0,0,284.91,50.0,1543811.0
2024-08-10,5,0,1,0,289.41,70.0,1529017.0
2024-08-11,6,0,1,0,11.45,75.0,65999.0
2024-08-12,0,1,0,0,0.37,58.0,1726.0
2024-08-13,1,1,0,0,0.46,63.0,4032.0
2024-08-14,2,1,0,0,0.47,70.0,3561.0
2024-08-15,3,1,0,0,2.57,72.0,17109.0
2024-08-16,4,1,0,0,1.08,90.0,7898.0
2024-08-17,5,0,1,0,0.92,105.0,6330.0
2024-08-18,6,0,1,0,0.36,63.0,2358.0
2024-08-19,0,0,0,1,0.35,42.0,2532.0
2024-08-20,1,1,0,0,0.41,51.0,1645.0
2024-08-21,2,1,0,0,0.88,55.0,3016.0
2024-08-22,3,1,0,0,2.06,75.0,7737.0
2024-08-23,4,1,0,0,2.3,68.0,5639.0
2024-08-24,5,0,1,0,3.64,74.0,5367.0
2024-08-25,6,0,1,0,8.04,74.0,8407.0
2024-08-26,0,1,0,0,2.86,66.0,2144.0
2024-08-27,1,1,0,0,1.9,60.0,1773.0
2024-08-28,2,1,0,0,8.22,76.0,4635.0
2024-08-29,3,1,0,0,5.74,49.0,2008.0
2024-08-30,4,1,0,0,1.0,52.0,1066093.0
2024-08-31,5,0,1,0,0.87,61.0,1093902.0
2024-09-01,6,0,1,0,1.55,54.0,1715941.0
2024-09-02,0,1,0,0,1.38,53.0,1497003.0
2024-09-03,1,1,0,0,1.43,52.0,1526315.0
2024-09-04,2,1,0,0,1.48,52.0,1582313.0
2024-09-05,3,1,0,0,1.59,51.0,1660681.0
2024-09-06,4,1,0,0,1.49,52.0,1589201.0
2024-09-07,5,0,1,0,1.54,58.0,1837846.0
2024-09-08,6,0,1,0,1.57,56.0,1802869.0
2024-09-09,0,1,0,0,1.45,51.0,1521077.0
2024-09-10,1,1,0,0,1.51,50.0,1548281.0
2024-09-11,2,1,0,0,1.54,50.0,1581149.0
2024-09-12,3,1,0,0,1.58,51.0,1653683.0
2024-09-13,4,1,0,0,1.77,51.0,1857131.0
2024-09-14,5,0,1,0,1.56,58.0,1857191.0
2024-09-15,6,0,1,0,1.56,57.0,1822380.0
2024-09-16,0,1,0,0,2.05,52.0,2188876.0
2024-09-17,1,1,0,0,1.58,50.0,1617846.0
2024-09-18,2,1,0,0,1.31,50.0,1347915.0
2024-09-19,3,1,0,0,1.31,49.0,1320292.0
2024-09-20,4,1,0,0,1.32,50.0,1352801.0
2024-09-21,5,0,1,0,1.16,57.0,1358965.0
2024-09-22,6,0,1,0,1.13,54.0,1253262.0
2024-09-23,0,1,0,0,1.03,50.0,1058668.0
2024-09-24,1,1,0,0,1.13,48.0,1110783.0
2024-09-25,2,1,0,0,1.15,48.0,1132166.0
2024-09-26,3,1,0,0,1.17,47.0,1133886.0
2024-09-27,4,1,0,0,1.34,48.0,1323911.0
2024-09-28,5,0,1,0,1.38,52.0,1469857.0
2024-09-29,6,0,1,0,1.51,50.0,1550916.0
2024-09-30,0,1,0,0,1.6,48.0,1578170.0
2024-10-01,1,1,0,0,0.57,45.0,528175.0
