FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2025-08-24,6,0,1,0,4.7,2,198784
2025-08-25,0,1,0,0,33.2,25,1288742
2025-08-26,1,1,0,0,44.2,24,1833353
2025-08-27,2,1,0,0,22.6,19,791140
2025-08-28,3,1,0,0,86.3,30,3834781
2025-08-29,4,1,0,0,119.2,27,4457795
2025-08-30,5,0,1,0,100.0,32,4196648
2025-08-31,6,0,1,0,85.8,30,3401238
2025-09-01,0,1,0,0,88.7,22,2880242
2025-09-02,1,1,0,0,18.6,25,680878
2025-09-03,2,1,0,0,93.1,32,3547853
2025-09-04,3,1,0,0,93.3,14,4105778
2025-09-05,4,1,0,0,174.1,32,6882465
2025-09-06,5,0,1,0,9.5,16,390573
2025-09-07,6,0,1,0,39.7,7,1858974
2025-09-08,0,1,0,0,95.2,23,4250552
2025-09-09,1,1,0,0,95.8,31,4235928
2025-09-10,2,1,0,0,102.7,32,4449343
2025-09-11,3,1,0,0,71.4,27,3081216
2025-09-12,4,1,0,0,94.9,41,4441170
2025-09-13,5,0,1,0,60.9,22,2812152
2025-09-14,6,0,1,0,6.7,12,333680
2025-09-15,0,1,0,0,74.7,40,3634935
2025-09-16,1,1,0,0,63.2,35,3089669
2025-09-17,2,1,0,0,127.4,42,5063615
2025-09-18,3,1,0,0,217.8,36,8467784
2025-09-19,4,1,0,0,108.9,34,4777331
2025-09-20,5,0,1,0,85.8,23,3013903
2025-09-21,6,0,1,0,41.9,16,1853994
2025-09-22,0,1,0,0,148.3,34,6393695
2025-09-23,1,1,0,0,60.9,39,3130891
2025-09-24,2,1,0,0,99.3,38,4160659
2025-09-25,3,1,0,0,119.2,26,4647151
2025-09-26,4,1,0,0,164.0,43,7130279
2025-09-27,5,0,1,0,22.5,20,967965
2025-09-28,6,0,1,0,17.4,7,691915
2025-09-29,0,1,0,0,155.9,38,6593936
2025-09-30,1,1,0,0,83.8,34,3446803
