FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-12-19,URBANA,007_ZW Parque Pizamos,21.0,MR76,10.0,98283.0,"3,46%",3,1,0,0
2024-12-20,URBANA,007_ZW Parque Pizamos,21.0,MR76,26.0,1005929.0,"33,20%",4,1,0,0
2024-12-21,URBANA,007_ZW Parque Pizamos,21.0,MR76,16.0,20729.0,"0,80%",5,0,1,0
2024-12-22,URBANA,007_ZW Parque Pizamos,21.0,MR76,21.0,143931.0,"4,49%",6,0,1,0
2024-12-23,URBANA,007_ZW Parque Pizamos,21.0,MR76,23.0,2111377.0,"84,20%",0,1,0,0
2024-12-24,URBANA,007_ZW Parque Pizamos,21.0,MR76,15.0,1096737.0,"45,90%",1,1,0,0
2024-12-25,URBANA,007_ZW Parque Pizamos,21.0,MR76,17.0,679529.0,"24,10%",2,0,0,1
2024-12-26,URBANA,007_ZW Parque Pizamos,21.0,MR76,15.0,3201984.0,"117,00%",3,1,0,0
2024-12-27,URBANA,007_ZW Parque Pizamos,21.0,MR76,8.0,583510.0,"17,90%",4,1,0,0
2024-12-28,URBANA,007_ZW Parque Pizamos,21.0,MR76,12.0,1298779.0,"55,20%",5,0,1,0
2024-12-29,URBANA,007_ZW Parque Pizamos,21.0,MR76,12.0,1963189.0,"60,80%",6,0,1,0
2024-12-30,URBANA,007_ZW Parque Pizamos,21.0,MR76,20.0,1507796.0,"61,70%",0,1,0,0
2024-12-31,RURAL,007_ZW Parque Pizamos,21.0,MR76,19.0,606354.0,"32,70%",1,1,0,0
2025-01-01,URBANA,007_ZW Parque Pizamos,21.0,MR76,27.0,1532230.0,104%,2,0,0,1
2025-01-02,URBANA,007_ZW Parque Pizamos,21.0,MR76,18.0,1365167.0,49%,3,1,0,0
2025-01-03,URBANA,007_ZW Parque Pizamos,21.0,MR76,4.0,19.0,0%,4,1,0,0
2025-01-04,URBANA,007_ZW Parque Pizamos,21.0,MR76,,,,5,0,1,0
2025-01-05,URBANA,007_ZW Parque Pizamos,21.0,MR76,12.0,310789.0,9%,6,0,1,0
2025-01-06,URBANA,007_ZW Parque Pizamos,21.0,MR76,21.0,2900634.0,78%,0,0,0,1
2025-01-07,URBANA,007_ZW Parque Pizamos,21.0,MR76,27.0,4465528.0,135%,1,1,0,0
2025-01-08,URBANA,007_ZW Parque Pizamos,21.0,MR76,17.0,2544887.0,74%,2,1,0,0
2025-01-09,URBANA,007_ZW Parque Pizamos,21.0,MR76,27.0,1423344.0,41%,3,1,0,0
2025-01-10,URBANA,007_ZW Parque Pizamos,21.0,MR76,26.0,1974670.0,55%,4,1,0,0
2025-01-11,URBANA,007_ZW Parque Pizamos,21.0,MR76,30.0,728816.0,21%,5,0,1,0
2025-01-12,URBANA,007_ZW Parque Pizamos,21.0,MR76,36.0,1665687.0,45%,6,0,1,0
2025-01-13,URBANA,007_ZW Parque Pizamos,21.0,MR76,27.0,3851867.0,128%,0,1,0,0
2025-01-14,URBANA,007_ZW Parque Pizamos,21.0,MR76,34.0,1916710.0,63%,1,1,0,0
2025-01-15,URBANA,007_ZW Parque Pizamos,21.0,MR76,26.0,1517995.0,53%,2,1,0,0
2025-01-16,URBANA,007_ZW Parque Pizamos,21.0,MR76,29.0,3711327.0,118%,3,1,0,0
2025-01-17,URBANA,007_ZW Parque Pizamos,21.0,MR76,30.0,2080129.0,68%,4,1,0,0
2025-01-18,URBANA,007_ZW Parque Pizamos,21.0,MR76,38.0,3584365.0,118%,5,0,1,0
2025-01-19,URBANA,007_ZW Parque Pizamos,21.0,MR76,44.0,4724785.0,146%,6,0,1,0
2025-01-20,URBANA,007_ZW Parque Pizamos,21.0,MR76,28.0,1480253.0,46%,0,1,0,0
2025-01-21,URBANA,007_ZW Parque Pizamos,21.0,MR76,36.0,2220111.0,62%,1,1,0,0
2025-01-22,URBANA,007_ZW Parque Pizamos,21.0,MR76,32.0,4439638.0,132%,2,1,0,0
2025-01-23,URBANA,007_ZW Parque Pizamos,21.0,MR76,53.0,5128326.0,128%,3,1,0,0
2025-01-24,URBANA,007_ZW Parque Pizamos,21.0,MR76,55.0,7298412.0,219%,4,1,0,0
2025-01-25,URBANA,007_ZW Parque Pizamos,21.0,MR76,25.0,3705802.0,100%,5,0,1,0
2025-01-26,URBANA,007_ZW Parque Pizamos,21.0,MR76,42.0,2436213.0,62%,6,0,1,0
2025-01-27,URBANA,007_ZW Parque Pizamos,21.0,MR76,30.0,2599971.0,69%,0,1,0,0
2025-01-28,URBANA,007_ZW Parque Pizamos,21.0,MR76,44.0,3725142.0,113%,1,1,0,0
2025-01-29,URBANA,007_ZW Parque Pizamos,21.0,MR76,54.0,5508388.0,152%,2,1,0,0
2025-01-30,URBANA,007_ZW Parque Pizamos,21.0,MR76,56.0,2539883.0,94%,3,1,0,0
2025-01-31,URBANA,007_ZW Parque Pizamos,21.0,MR76,40.0,2837408.0,154%,4,1,0,0
2025-02-01,URBANA,007_ZW Parque Pizamos,21.0,MR76,37.0,2532197.0,89%,5,0,1,0
2025-02-02,URBANA,007_ZW Parque Pizamos,21.0,MR76,52.0,4033500.0,119%,6,0,1,0
2025-02-03,URBANA,007_ZW Parque Pizamos,21.0,MR76,33.0,1797319.0,70%,0,1,0,0
2025-02-04,URBANA,007_ZW Parque Pizamos,21.0,MR76,43.0,2476953.0,88%,1,1,0,0
2025-02-05,URBANA,007_ZW Parque Pizamos,21.0,MR76,35.0,3439881.0,142%,2,1,0,0
2025-02-06,URBANA,007_ZW Parque Pizamos,21.0,MR76,41.0,3043280.0,112%,3,1,0,0
2025-02-07,URBANA,007_ZW Parque Pizamos,21.0,MR76,36.0,3881355.0,132%,4,1,0,0
2025-02-08,URBANA,007_ZW Parque Pizamos,21.0,MR76,35.0,1374462.0,51%,5,0,1,0
