FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-11-29,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,19.0,7766.0,"0,35%",4,1,0,0
2024-11-30,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,20.0,598.0,"0,03%",5,0,1,0
2024-12-01,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,18.0,4083.0,"0,17%",6,0,1,0
2024-12-02,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,12.0,23389.0,"1,12%",0,1,0,0
2024-12-03,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,22.0,293.0,"0,02%",1,1,0,0
2024-12-04,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,38.0,48209.0,"2,09%",2,1,0,0
2024-12-05,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,39.0,49400.0,"2,15%",3,1,0,0
2024-12-06,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,20.0,41701.0,"1,85%",4,1,0,0
2024-12-07,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,17.0,6088.0,"0,30%",5,0,1,0
2024-12-08,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,13.0,94.0,"0,00%",6,0,0,1
2024-12-09,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,43.0,160589.0,"5,95%",0,1,0,0
2024-12-10,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,40.0,423064.0,"13,97%",1,1,0,0
2024-12-11,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,17.0,570.0,"0,02%",2,1,0,0
2024-12-12,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,22.0,16398.0,"0,48%",3,1,0,0
2024-12-13,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,22.0,16400.0,"0,48%",4,1,0,0
2024-12-14,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,37.0,2235423.0,"73,59%",5,0,1,0
2024-12-15,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,23.0,1728481.0,"58,34%",6,0,1,0
2024-12-16,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,33.0,2192920.0,"65,94%",0,1,0,0
2024-12-17,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,25.0,680726.0,"22,20%",1,1,0,0
2024-12-18,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,24.0,4197739.0,"133,00%",2,1,0,0
2024-12-19,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,27.0,799694.0,"28,10%",3,1,0,0
2024-12-20,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,29.0,770694.0,"25,40%",4,1,0,0
2024-12-21,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,31.0,21415.0,"0,82%",5,0,1,0
2024-12-22,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,27.0,525370.0,"16,40%",6,0,1,0
2024-12-23,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,19.0,456241.0,"18,20%",0,1,0,0
2024-12-24,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,3.0,101.0,"0,00%",1,1,0,0
2024-12-25,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,12.0,311364.0,"11,00%",2,0,0,1
2024-12-26,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,51.0,1835923.0,"67,10%",3,1,0,0
2024-12-27,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,20.0,583787.0,"17,90%",4,1,0,0
2024-12-28,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,7.0,24838.0,"1,06%",5,0,1,0
2024-12-29,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,20.0,365002.0,"11,30%",6,0,1,0
2024-12-30,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,8.0,130031.0,"5,32%",0,1,0,0
2024-12-31,RURAL,009_ZW Polideportivo Los Almendros,5.0,MR76,12.0,700.0,"0,04%",1,1,0,0
2025-01-01,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,3.0,28.0,0%,2,0,0,1
2025-01-02,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,22.0,637832.0,23%,3,1,0,0
2025-01-03,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,14.0,310776.0,12%,4,1,0,0
2025-01-04,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,20.0,531639.0,20%,5,0,1,0
