FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-01-01,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,22.0,2037.0,"0,20%",0,0,0,1
2024-01-02,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,26.0,2662.0,"0,30%",1,1,0,0
2024-01-03,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,21.0,1765.0,"0,10%",2,1,0,0
2024-01-04,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,23.0,7799.0,"0,70%",3,1,0,0
2024-01-05,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,22.0,10680.0,"1,00%",4,1,0,0
2024-01-06,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,13.0,366.0,"0,00%",5,0,1,0
2024-01-07,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,19.0,150496.0,"15,00%",6,0,1,0
2024-01-08,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,23.0,3000305.0,"190,30%",0,0,0,1
2024-01-09,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,23.0,1968775.0,"151,90%",1,1,0,0
2024-01-10,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,23.0,3903613.0,"323,60%",2,1,0,0
2024-01-11,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,26.0,6483485.0,"602,60%",3,1,0,0
2024-01-12,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,35.0,1066063.0,"91,80%",4,1,0,0
2024-01-13,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,26.0,1786891.0,"198,50%",5,0,1,0
2024-01-14,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,34.0,29985.0,"3,80%",6,0,1,0
2024-01-15,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,28.0,2957.0,"0,40%",0,1,0,0
2024-01-16,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,38.0,14124.0,"1,70%",1,1,0,0
2024-01-17,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,36.0,11769.0,"1,20%",2,1,0,0
2024-01-18,URBANA,012_ZW Polideportivo Los Naranjos,14.0,MR76,36.0,388692.0,"32,40%",3,1,0,0
