FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-01-01,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,44.0,3197167.0,"365,80%",0,0,0,1
2024-01-02,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,28.0,4441260.0,"527,50%",1,1,0,0
2024-01-03,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,47.0,2804467.0,"231,40%",2,1,0,0
2024-01-04,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,46.0,3160761.0,"299,20%",3,1,0,0
2024-01-05,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,50.0,2936071.0,"270,80%",4,1,0,0
2024-01-06,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,26.0,2706619.0,"352,90%",5,0,1,0
2024-01-07,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,47.0,2897981.0,"288,70%",6,0,1,0
2024-01-08,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,14.0,1234143.0,"78,30%",0,0,0,1
2024-01-09,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,32.0,5686736.0,"438,80%",1,1,0,0
2024-01-10,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,55.0,6923701.0,"573,90%",2,1,0,0
2024-01-11,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,51.0,3100190.0,"288,10%",3,1,0,0
2024-01-12,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,39.0,1807119.0,"155,60%",4,1,0,0
2024-01-13,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,39.0,2114385.0,"234,80%",5,0,1,0
2024-01-14,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,63.0,5413769.0,"684,10%",6,0,1,0
2024-01-15,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,37.0,1336627.0,"193,20%",0,1,0,0
2024-01-16,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,36.0,1514945.0,"177,10%",1,1,0,0
2024-01-17,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,52.0,2836556.0,"283,60%",2,1,0,0
2024-01-18,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,54.0,1601354.0,"133,50%",3,1,0,0
2024-01-19,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,87.0,1008150.0,"65,70%",4,1,0,0
2024-01-20,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,57.0,1658226.0,"128,10%",5,0,1,0
2024-01-21,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,68.0,1732634.0,"133,80%",6,0,1,0
2024-01-22,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,47.0,723727.0,"69,00%",0,1,0,0
2024-01-23,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,58.0,1586281.0,"146,90%",1,1,0,0
2024-01-24,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,66.0,7962967.0,"636,70%",2,1,0,0
2024-01-25,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,56.0,6329286.0,"423,40%",3,1,0,0
2024-01-26,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,74.0,5225879.0,"379,30%",4,1,0,0
2024-01-27,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,63.0,6105247.0,"491,90%",5,0,1,0
2024-01-28,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,82.0,8802228.0,"856,30%",6,0,1,0
2024-01-29,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,54.0,2175249.0,"186,90%",0,1,0,0
2024-01-30,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,51.0,1863485.0,"205,90%",1,1,0,0
2024-01-31,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,49.0,2119002.0,"202,90%",2,1,0,0
2024-02-01,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,81.0,10535035.0,"757,40%",3,1,0,0
2024-02-02,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,29.0,4129305.0,"432,30%",4,1,0,0
2024-02-03,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,40.0,6599527.0,"372,00%",5,0,1,0
2024-02-04,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,52.0,2618653.0,"163,70%",6,0,1,0
2024-02-05,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,35.0,859657.0,"57,10%",0,1,0,0
2024-02-06,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,44.0,5393790.0,"361,00%",1,1,0,0
2024-02-07,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,55.0,7710028.0,"467,00%",2,1,0,0
