FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-01-01,URBANA,054_ZW El Diamante,13.0,MR76,20.0,4292594.0,"491,10%",0,0,0,1
2024-01-02,URBANA,054_ZW El Diamante,13.0,MR76,8.0,821654.0,"97,60%",1,1,0,0
2024-01-03,URBANA,054_ZW El Diamante,13.0,MR76,12.0,1478505.0,"122,00%",2,1,0,0
2024-01-04,URBANA,054_ZW El Diamante,13.0,MR76,14.0,1599.0,"0,20%",3,1,0,0
2024-01-05,URBANA,054_ZW El Diamante,13.0,MR76,20.0,771.0,"0,10%",4,1,0,0
2024-01-06,URBANA,054_ZW El Diamante,13.0,MR76,20.0,4259.0,"0,60%",5,0,1,0
2024-01-07,URBANA,054_ZW El Diamante,13.0,MR76,24.0,3608.0,"0,40%",6,0,1,0
2024-01-08,URBANA,054_ZW El Diamante,13.0,MR76,28.0,1741538.0,"110,50%",0,0,0,1
2024-01-09,URBANA,054_ZW El Diamante,13.0,MR76,5.0,191.0,"0,00%",1,1,0,0
2024-01-10,URBANA,054_ZW El Diamante,13.0,MR76,12.0,481360.0,"39,90%",2,1,0,0
2024-01-11,URBANA,054_ZW El Diamante,13.0,MR76,15.0,1438512.0,"133,70%",3,1,0,0
2024-01-12,URBANA,054_ZW El Diamante,13.0,MR76,11.0,601895.0,"51,80%",4,1,0,0
2024-01-13,URBANA,054_ZW El Diamante,13.0,MR76,7.0,24148.0,"2,70%",5,0,1,0
2024-01-14,URBANA,054_ZW El Diamante,13.0,MR76,27.0,12325.0,"1,60%",6,0,1,0
2024-01-15,URBANA,054_ZW El Diamante,13.0,MR76,10.0,868.0,"0,10%",0,1,0,0
2024-01-16,URBANA,054_ZW El Diamante,13.0,MR76,33.0,15986.0,"1,90%",1,1,0,0
2024-01-17,URBANA,054_ZW El Diamante,13.0,MR76,28.0,6198.0,"0,60%",2,1,0,0
2024-01-18,URBANA,054_ZW El Diamante,13.0,MR76,22.0,93548.0,"7,80%",3,1,0,0
2024-01-19,URBANA,054_ZW El Diamante,13.0,MR76,25.0,18819.0,"1,20%",4,1,0,0
2024-01-20,URBANA,054_ZW El Diamante,13.0,MR76,18.0,10222.0,"0,80%",5,0,1,0
2024-01-21,URBANA,054_ZW El Diamante,13.0,MR76,23.0,5758.0,"0,40%",6,0,1,0
2024-01-22,URBANA,054_ZW El Diamante,13.0,MR76,11.0,561.0,"0,10%",0,1,0,0
2024-01-23,URBANA,054_ZW El Diamante,13.0,MR76,27.0,16229.0,"1,50%",1,1,0,0
2024-01-24,URBANA,054_ZW El Diamante,13.0,MR76,24.0,7483.0,"0,60%",2,1,0,0
2024-01-25,URBANA,054_ZW El Diamante,13.0,MR76,26.0,28134.0,"1,90%",3,1,0,0
2024-01-26,URBANA,054_ZW El Diamante,13.0,MR76,19.0,985100.0,"71,50%",4,1,0,0
2024-01-27,URBANA,054_ZW El Diamante,13.0,MR76,10.0,92446.0,"7,40%",5,0,1,0
2024-01-28,URBANA,054_ZW El Diamante,13.0,MR76,22.0,528861.0,"51,50%",6,0,1,0
2024-01-29,URBANA,054_ZW El Diamante,13.0,MR76,5.0,146553.0,"12,60%",0,1,0,0
2024-01-30,URBANA,054_ZW El Diamante,13.0,MR76,26.0,1228866.0,"135,80%",1,1,0,0
2024-01-31,URBANA,054_ZW El Diamante,13.0,MR76,24.0,1076010.0,"103,00%",2,1,0,0
2024-02-01,URBANA,054_ZW El Diamante,13.0,MR76,19.0,1354643.0,"97,40%",3,1,0,0
2024-02-02,URBANA,054_ZW El Diamante,13.0,MR76,5.0,54458.0,"5,70%",4,1,0,0
2024-02-03,URBANA,054_ZW El Diamante,13.0,MR76,17.0,1855129.0,"104,60%",5,0,1,0
2024-02-04,URBANA,054_ZW El Diamante,13.0,MR76,6.0,3094.0,"0,20%",6,0,1,0
2024-02-05,URBANA,054_ZW El Diamante,13.0,MR76,8.0,18318.0,"1,20%",0,1,0,0
2024-02-06,URBANA,054_ZW El Diamante,13.0,MR76,18.0,1512165.0,"101,20%",1,1,0,0
2024-02-07,URBANA,054_ZW El Diamante,13.0,MR76,17.0,1765474.0,"106,90%",2,1,0,0
2024-02-08,URBANA,054_ZW El Diamante,13.0,MR76,15.0,368.0,"0,00%",3,1,0,0
2024-02-09,URBANA,054_ZW El Diamante,13.0,MR76,28.0,233512.0,"19,40%",4,1,0,0
2024-02-10,URBANA,054_ZW El Diamante,13.0,MR76,8.0,234030.0,"14,70%",5,0,1,0
2024-02-11,URBANA,054_ZW El Diamante,13.0,MR76,39.0,1092585.0,"81,30%",6,0,1,0
2024-02-12,URBANA,054_ZW El Diamante,13.0,MR76,11.0,11041.0,"1,10%",0,1,0,0
2024-02-13,URBANA,054_ZW El Diamante,13.0,MR76,25.0,357202.0,"41,20%",1,1,0,0
2024-02-14,URBANA,054_ZW El Diamante,13.0,MR76,15.0,46197.0,"6,10%",2,1,0,0
2024-02-15,URBANA,054_ZW El Diamante,13.0,MR76,22.0,1449.0,"0,10%",3,1,0,0
2024-02-16,URBANA,054_ZW El Diamante,13.0,MR76,32.0,11092.0,"1,10%",4,1,0,0
2024-02-17,URBANA,054_ZW El Diamante,13.0,MR76,18.0,897786.0,"84,90%",5,0,1,0
2024-02-18,URBANA,054_ZW El Diamante,13.0,MR76,33.0,257356.0,"19,90%",6,0,1,0
2024-02-19,URBANA,054_ZW El Diamante,13.0,MR76,3.0,74.0,"0,00%",0,1,0,0
2024-02-20,URBANA,054_ZW El Diamante,13.0,MR76,17.0,374005.0,"30,60%",1,1,0,0
2024-02-21,URBANA,054_ZW El Diamante,13.0,MR76,30.0,229309.0,"19,90%",2,1,0,0
2024-02-22,URBANA,054_ZW El Diamante,13.0,MR76,21.0,1439.0,"0,10%",3,1,0,0
2024-02-23,URBANA,054_ZW El Diamante,13.0,MR76,23.0,672571.0,"47,30%",4,1,0,0
2024-02-24,URBANA,054_ZW El Diamante,13.0,MR76,23.0,733554.0,"58,40%",5,0,1,0
2024-02-25,URBANA,054_ZW El Diamante,13.0,MR76,25.0,1335391.0,"76,00%",6,0,1,0
2024-02-26,URBANA,054_ZW El Diamante,13.0,MR76,9.0,105.0,"0,00%",0,1,0,0
2024-02-27,URBANA,054_ZW El Diamante,13.0,MR76,22.0,2085667.0,"179,50%",1,1,0,0
2024-02-28,URBANA,054_ZW El Diamante,13.0,MR76,29.0,1788725.0,"104,30%",2,1,0,0
2024-02-29,URBANA,054_ZW El Diamante,13.0,MR76,23.0,900.0,"0,10%",3,1,0,0
2024-03-01,URBANA,054_ZW El Diamante,13.0,MR76,23.0,401568.0,"33,50%",4,1,0,0
2024-03-02,URBANA,054_ZW El Diamante,13.0,MR76,19.0,520609.0,"50,60%",5,0,1,0
2024-03-03,URBANA,054_ZW El Diamante,13.0,MR76,15.0,1369372.0,"98,20%",6,0,1,0
2024-03-04,URBANA,054_ZW El Diamante,13.0,MR76,9.0,357375.0,"25,10%",0,1,0,0
2024-03-05,URBANA,054_ZW El Diamante,13.0,MR76,38.0,3114790.0,"226,00%",1,1,0,0
2024-03-06,URBANA,054_ZW El Diamante,13.0,MR76,25.0,1472490.0,"121,70%",2,1,0,0
2024-03-07,URBANA,054_ZW El Diamante,13.0,MR76,22.0,154185.0,"14,40%",3,1,0,0
2024-03-08,URBANA,054_ZW El Diamante,13.0,MR76,22.0,249942.0,"23,40%",4,1,0,0
2024-03-09,URBANA,054_ZW El Diamante,13.0,MR76,32.0,299819.0,"30,30%",5,0,1,0
2024-03-10,URBANA,054_ZW El Diamante,13.0,MR76,30.0,4730.0,"0,50%",6,0,1,0
2024-03-11,URBANA,054_ZW El Diamante,13.0,MR76,12.0,1586.0,"0,20%",0,1,0,0
2024-03-12,URBANA,054_ZW El Diamante,13.0,MR76,35.0,3979.0,"0,50%",1,1,0,0
2024-03-13,URBANA,054_ZW El Diamante,13.0,MR76,36.0,100088.0,"13,50%",2,1,0,0
2024-03-14,URBANA,054_ZW El Diamante,13.0,MR76,24.0,6828.0,"0,70%",3,1,0,0
2024-03-15,URBANA,054_ZW El Diamante,13.0,MR76,22.0,4630.0,"0,40%",4,1,0,0
2024-03-16,URBANA,054_ZW El Diamante,13.0,MR76,40.0,70393.0,"6,20%",5,0,1,0
2024-03-17,URBANA,054_ZW El Diamante,13.0,MR76,30.0,3542.0,"0,30%",6,0,1,0
2024-03-18,URBANA,054_ZW El Diamante,13.0,MR76,13.0,825.0,"0,10%",0,1,0,0
2024-03-19,URBANA,054_ZW El Diamante,13.0,MR76,36.0,19805.0,"2,60%",1,1,0,0
2024-03-20,URBANA,054_ZW El Diamante,13.0,MR76,32.0,8157.0,"1,20%",2,1,0,0
2024-03-21,URBANA,054_ZW El Diamante,13.0,MR76,19.0,672.0,"0,10%",3,1,0,0
2024-03-22,URBANA,054_ZW El Diamante,13.0,MR76,28.0,6287.0,"0,60%",4,1,0,0
2024-03-23,URBANA,054_ZW El Diamante,13.0,MR76,8.0,397.0,"0,10%",5,0,1,0
2024-03-24,URBANA,054_ZW El Diamante,13.0,MR76,20.0,2381.0,"0,30%",6,0,1,0
2024-03-25,URBANA,054_ZW El Diamante,13.0,MR76,15.0,1025.0,"0,10%",0,0,0,1
2024-03-26,URBANA,054_ZW El Diamante,13.0,MR76,11.0,123881.0,"15,90%",1,1,0,0
2024-03-27,URBANA,054_ZW El Diamante,13.0,MR76,13.0,145981.0,"18,10%",2,1,0,0
2024-03-28,URBANA,054_ZW El Diamante,13.0,MR76,13.0,1402809.0,"219,80%",3,0,0,1
2024-03-29,URBANA,054_ZW El Diamante,13.0,MR76,34.0,2629192.0,"265,20%",4,0,0,1
2024-03-30,URBANA,054_ZW El Diamante,13.0,MR76,21.0,339121.0,"54,40%",5,0,1,0
2024-03-31,URBANA,054_ZW El Diamante,13.0,MR76,16.0,16374.0,"2,10%",6,0,1,0
2024-04-01,URBANA,054_ZW El Diamante,13.0,MR76,2.0,55.0,"0,00%",0,1,0,0
2024-04-02,URBANA,054_ZW El Diamante,13.0,MR76,24.0,3202155.0,"455,10%",1,1,0,0
2024-04-03,URBANA,054_ZW El Diamante,13.0,MR76,30.0,2829710.0,"314,10%",2,1,0,0
2024-04-04,URBANA,054_ZW El Diamante,13.0,MR76,16.0,385032.0,"33,50%",3,1,0,0
2024-04-05,URBANA,054_ZW El Diamante,13.0,MR76,16.0,295421.0,"26,30%",4,1,0,0
2024-04-06,URBANA,054_ZW El Diamante,13.0,MR76,28.0,306489.0,"25,50%",5,0,1,0
2024-04-07,URBANA,054_ZW El Diamante,13.0,MR76,34.0,2543824.0,"212,70%",6,0,1,0
2024-04-08,URBANA,054_ZW El Diamante,13.0,MR76,10.0,3155.0,"0,40%",0,1,0,0
2024-04-09,URBANA,054_ZW El Diamante,13.0,MR76,34.0,692357.0,"90,50%",1,1,0,0
2024-04-10,URBANA,054_ZW El Diamante,13.0,MR76,24.0,39176.0,"9,20%",2,1,0,0
2024-04-11,URBANA,054_ZW El Diamante,13.0,MR76,21.0,821.0,"0,20%",3,1,0,0
2024-04-12,URBANA,054_ZW El Diamante,13.0,MR76,39.0,16220.0,"2,40%",4,1,0,0
2024-04-13,URBANA,054_ZW El Diamante,13.0,MR76,24.0,3008.0,"0,40%",5,0,1,0
2024-04-14,URBANA,054_ZW El Diamante,13.0,MR76,32.0,2155.0,"0,30%",6,0,1,0
2024-04-15,URBANA,054_ZW El Diamante,13.0,MR76,12.0,7404.0,"1,80%",0,1,0,0
2024-04-16,URBANA,054_ZW El Diamante,13.0,MR76,27.0,631048.0,"148,60%",1,1,0,0
2024-04-17,URBANA,054_ZW El Diamante,13.0,MR76,31.0,1243923.0,"333,50%",2,1,0,0
2024-04-18,URBANA,054_ZW El Diamante,13.0,MR76,24.0,451454.0,"155,00%",3,1,0,0
2024-04-19,URBANA,054_ZW El Diamante,13.0,MR76,17.0,470506.0,"116,00%",4,1,0,0
2024-04-20,URBANA,054_ZW El Diamante,13.0,MR76,19.0,9822.0,"1,30%",5,0,1,0
2024-04-21,URBANA,054_ZW El Diamante,13.0,MR76,10.0,2120.0,"0,30%",6,0,1,0
2024-04-22,URBANA,054_ZW El Diamante,13.0,MR76,9.0,306.0,"0,10%",0,1,0,0
2024-04-23,URBANA,054_ZW El Diamante,13.0,MR76,29.0,546406.0,"29,80%",1,1,0,0
2024-04-24,URBANA,054_ZW El Diamante,13.0,MR76,29.0,1142900.0,"62,20%",2,1,0,0
2024-04-25,URBANA,054_ZW El Diamante,13.0,MR76,23.0,119838.0,"10,10%",3,1,0,0
2024-04-26,URBANA,054_ZW El Diamante,13.0,MR76,18.0,173946.0,"17,40%",4,1,0,0
2024-04-27,URBANA,054_ZW El Diamante,13.0,MR76,5.0,905.0,"0,10%",5,0,1,0
2024-04-28,URBANA,054_ZW El Diamante,13.0,MR76,11.0,1477.0,"0,20%",6,0,1,0
2024-04-29,URBANA,054_ZW El Diamante,13.0,MR76,13.0,132.0,"0,00%",0,1,0,0
2024-04-30,URBANA,054_ZW El Diamante,13.0,MR76,53.0,10715.0,"1,70%",1,1,0,0
2024-05-01,URBANA,054_ZW El Diamante,13.0,MR76,22.0,6365.0,"1,20%",2,0,0,1
2024-05-02,URBANA,054_ZW El Diamante,13.0,MR76,15.0,6789.0,"1,30%",3,1,0,0
2024-05-03,URBANA,054_ZW El Diamante,13.0,MR76,29.0,5381.0,"1,20%",4,1,0,0
2024-05-04,URBANA,054_ZW El Diamante,13.0,MR76,20.0,2677.0,"0,40%",5,0,1,0
2024-05-05,URBANA,054_ZW El Diamante,13.0,MR76,18.0,10104.0,"1,60%",6,0,1,0
2024-05-06,URBANA,054_ZW El Diamante,13.0,MR76,1.0,141.0,"0,00%",0,1,0,0
2024-05-07,URBANA,054_ZW El Diamante,13.0,MR76,46.0,13823.0,"2,30%",1,1,0,0
2024-05-08,URBANA,054_ZW El Diamante,13.0,MR76,33.0,9144.0,"1,20%",2,1,0,0
2024-05-09,URBANA,054_ZW El Diamante,13.0,MR76,21.0,4705.0,"0,50%",3,1,0,0
2024-05-10,URBANA,054_ZW El Diamante,13.0,MR76,41.0,25434.0,"3,20%",4,1,0,0
2024-05-11,URBANA,054_ZW El Diamante,13.0,MR76,27.0,5287.0,"0,70%",5,0,1,0
2024-05-12,URBANA,054_ZW El Diamante,13.0,MR76,16.0,1143.0,"0,30%",6,0,1,0
2024-05-13,URBANA,054_ZW El Diamante,13.0,MR76,26.0,46993.0,"8,40%",0,0,0,1
2024-05-14,URBANA,054_ZW El Diamante,13.0,MR76,8.0,2910.0,"1,30%",1,1,0,0
2024-05-15,URBANA,054_ZW El Diamante,13.0,MR76,25.0,5267.0,"0,90%",2,1,0,0
2024-05-16,URBANA,054_ZW El Diamante,13.0,MR76,53.0,13941.0,"1,70%",3,1,0,0
2024-05-17,URBANA,054_ZW El Diamante,13.0,MR76,32.0,3730.0,"0,40%",4,1,0,0
2024-05-18,URBANA,054_ZW El Diamante,13.0,MR76,29.0,2831.0,"0,30%",5,0,1,0
2024-05-19,URBANA,054_ZW El Diamante,13.0,MR76,29.0,6606.0,"0,60%",6,0,1,0
2024-05-20,URBANA,054_ZW El Diamante,13.0,MR76,12.0,928.0,"0,10%",0,1,0,0
2024-05-21,URBANA,054_ZW El Diamante,13.0,MR76,38.0,13500.0,"1,70%",1,1,0,0
2024-05-22,URBANA,054_ZW El Diamante,13.0,MR76,26.0,4508.0,"1,70%",2,1,0,0
2024-05-23,URBANA,054_ZW El Diamante,13.0,MR76,35.0,9187.0,"1,70%",3,1,0,0
2024-05-24,URBANA,054_ZW El Diamante,13.0,MR76,30.0,2883.0,"0,60%",4,1,0,0
2024-05-25,URBANA,054_ZW El Diamante,13.0,MR76,27.0,2530.0,"0,40%",5,0,1,0
2024-05-26,URBANA,054_ZW El Diamante,13.0,MR76,23.0,5810.0,"0,80%",6,0,1,0
2024-05-27,URBANA,054_ZW El Diamante,13.0,MR76,19.0,2772.0,"0,30%",0,1,0,0
2024-05-28,URBANA,054_ZW El Diamante,13.0,MR76,35.0,690228.0,"92,70%",1,1,0,0
2024-05-29,URBANA,054_ZW El Diamante,13.0,MR76,9.0,173347.0,"34,70%",2,1,0,0
2024-05-30,URBANA,054_ZW El Diamante,13.0,MR76,20.0,435979.0,"36,40%",3,1,0,0
2024-05-31,URBANA,054_ZW El Diamante,13.0,MR76,32.0,572844.0,"61,60%",4,1,0,0
2024-06-01,URBANA,054_ZW El Diamante,13.0,MR76,27.0,1070106.0,"106,90%",5,0,1,0
2024-06-02,URBANA,054_ZW El Diamante,13.0,MR76,36.0,1258231.0,"128,40%",6,0,1,0
2024-06-03,URBANA,054_ZW El Diamante,13.0,MR76,32.0,113761.0,"16,40%",0,0,0,1
2024-06-04,URBANA,054_ZW El Diamante,13.0,MR76,16.0,1766.0,"0,40%",1,1,0,0
2024-06-05,URBANA,054_ZW El Diamante,13.0,MR76,42.0,7575.0,"2,70%",2,1,0,0
2024-06-06,URBANA,054_ZW El Diamante,13.0,MR76,27.0,11950.0,"2,00%",3,1,0,0
2024-06-07,URBANA,054_ZW El Diamante,13.0,MR76,27.0,4316.0,"0,90%",4,1,0,0
2024-06-08,URBANA,054_ZW El Diamante,13.0,MR76,24.0,2456.0,"0,80%",5,0,1,0
2024-06-09,URBANA,054_ZW El Diamante,13.0,MR76,31.0,5657.0,"1,90%",6,0,1,0
2024-06-10,URBANA,054_ZW El Diamante,13.0,MR76,31.0,10943.0,"2,00%",0,0,0,1
2024-06-11,URBANA,054_ZW El Diamante,13.0,MR76,19.0,68088.0,"10,90%",1,1,0,0
2024-06-12,URBANA,054_ZW El Diamante,13.0,MR76,30.0,270581.0,"36,50%",2,1,0,0
2024-06-13,URBANA,054_ZW El Diamante,13.0,MR76,32.0,606790.0,"118135567,00%",3,1,0,0
2024-06-14,URBANA,054_ZW El Diamante,13.0,MR76,19.0,99649.0,"29950526,00%",4,1,0,0
2024-06-15,URBANA,054_ZW El Diamante,13.0,MR76,11.0,146686.0,"26315848,00%",5,0,1,0
2024-06-16,URBANA,054_ZW El Diamante,13.0,MR76,16.0,174484.0,"31288301,00%",6,0,1,0
2024-06-17,URBANA,054_ZW El Diamante,13.0,MR76,12.0,447.0,"0,10%",0,1,0,0
2024-06-18,URBANA,054_ZW El Diamante,13.0,MR76,40.0,38576.0,"6,10%",1,1,0,0
2024-06-19,URBANA,054_ZW El Diamante,13.0,MR76,33.0,142133.0,"20,20%",2,1,0,0
2024-06-20,URBANA,054_ZW El Diamante,13.0,MR76,27.0,113530.0,"22,70%",3,1,0,0
2024-06-21,URBANA,054_ZW El Diamante,13.0,MR76,50.0,414696.0,"71,20%",4,1,0,0
