FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-12-02,RURAL,058_La Elvira,99.0,MR76,1.0,33.0,"0,04%",0,1,0,0
2024-12-03,RURAL,058_La Elvira,99.0,MR76,4.0,517836.0,"943,19%",1,1,0,0
2024-12-04,RURAL,058_La Elvira,99.0,MR76,8.0,2160958.0,"2138,61%",2,1,0,0
2024-12-05,RURAL,058_La Elvira,99.0,MR76,3.0,985.0,"1,43%",3,1,0,0
2024-12-06,RURAL,058_La Elvira,99.0,MR76,1.0,33.0,"0,01%",4,1,0,0
2024-12-07,RURAL,058_La Elvira,99.0,MR76,4.0,17779.0,"2,84%",5,0,1,0
2024-12-08,RURAL,058_La Elvira,99.0,MR76,4.0,587607.0,"641,26%",6,0,0,1
2024-12-09,RURAL,058_La Elvira,99.0,MR76,2.0,85.0,"0,08%",0,1,0,0
2024-12-10,RURAL,058_La Elvira,99.0,MR76,17.0,2854402.0,"2984,68%",1,1,0,0
2024-12-11,RURAL,058_La Elvira,99.0,MR76,2.0,44359.0,"60,92%",2,1,0,0
2024-12-12,RURAL,058_La Elvira,99.0,MR76,2.0,33.0,"0,03%",3,1,0,0
2024-12-13,RURAL,058_La Elvira,99.0,MR76,2.0,33164.0,"30,60%",4,1,0,0
2024-12-14,RURAL,058_La Elvira,99.0,MR76,2.0,26.0,"0,10%",5,0,1,0
2024-12-15,RURAL,058_La Elvira,99.0,MR76,2.0,984.0,"1,51%",6,0,1,0
2024-12-16,RURAL,058_La Elvira,99.0,MR76,5.0,36042.0,"65,60%",0,1,0,0
2024-12-17,RURAL,058_La Elvira,99.0,MR76,19.0,3786517.0,"2620,00%",1,1,0,0
2024-12-18,RURAL,058_La Elvira,99.0,MR76,4.0,4906.0,"3,81%",2,1,0,0
2024-12-19,RURAL,058_La Elvira,99.0,MR76,10.0,1742222.0,"1430,00%",3,1,0,0
2024-12-20,RURAL,058_La Elvira,99.0,MR76,6.0,613296.0,"444,00%",4,1,0,0
2024-12-21,RURAL,058_La Elvira,99.0,MR76,5.0,90342.0,"43,60%",5,0,1,0
2024-12-22,RURAL,058_La Elvira,99.0,MR76,7.0,179732.0,"65,40%",6,0,1,0
2024-12-23,RURAL,058_La Elvira,99.0,MR76,13.0,1514321.0,"900,00%",0,1,0,0
2024-12-24,RURAL,058_La Elvira,99.0,MR76,37.0,15956.0,"24,40%",1,1,0,0
2024-12-25,RURAL,058_La Elvira,99.0,MR76,6.0,183096.0,"2940,00%",2,0,0,1
2024-12-26,RURAL,058_La Elvira,99.0,MR76,15.0,635485.0,"1560,00%",3,1,0,0
2024-12-27,RURAL,058_La Elvira,99.0,MR76,11.0,2101530.0,"8920,00%",4,1,0,0
2024-12-28,RURAL,058_La Elvira,99.0,MR76,8.0,133074.0,"277,00%",5,0,1,0
2024-12-29,RURAL,058_La Elvira,99.0,MR76,4.0,33698.0,"11,90%",6,0,1,0
2024-12-30,RURAL,058_La Elvira,99.0,MR76,3.0,50.0,"0,06%",0,1,0,0
2024-12-31,RURAL,058_La Elvira,99.0,MR76,5.0,355794.0,"349,00%",1,1,0,0
2025-01-01,RURAL,058_La Elvira,99.0,MR76,14.0,22616.0,83%,2,0,0,1
2025-01-02,RURAL,058_La Elvira,99.0,MR76,7.0,96338.0,310%,3,1,0,0
2025-01-03,RURAL,058_La Elvira,99.0,MR76,4.0,61360.0,438%,4,1,0,0
2025-01-04,RURAL,058_La Elvira,99.0,MR76,8.0,52649.0,59%,5,0,1,0
2025-01-05,RURAL,058_La Elvira,99.0,MR76,10.0,598022.0,501%,6,0,1,0
2025-01-06,RURAL,058_La Elvira,99.0,MR76,6.0,85893.0,252%,0,0,0,1
2025-01-07,RURAL,058_La Elvira,99.0,MR76,5.0,22435.0,12%,1,1,0,0
2025-01-08,RURAL,058_La Elvira,99.0,MR76,8.0,1624125.0,3306%,2,1,0,0
2025-01-09,RURAL,058_La Elvira,99.0,MR76,,,,3,1,0,0
2025-01-10,RURAL,058_La Elvira,99.0,MR76,,,,4,1,0,0
2025-01-11,RURAL,058_La Elvira,99.0,MR76,,,,5,0,1,0
2025-01-12,RURAL,058_La Elvira,99.0,MR76,,,,6,0,1,0
2025-01-13,RURAL,058_La Elvira,99.0,MR76,,,,0,1,0,0
2025-01-14,RURAL,058_La Elvira,99.0,MR76,,,,1,1,0,0
2025-01-15,RURAL,058_La Elvira,99.0,MR76,,,,2,1,0,0
2025-01-16,RURAL,058_La Elvira,99.0,MR76,,,,3,1,0,0
2025-01-17,RURAL,058_La Elvira,99.0,MR76,,,,4,1,0,0
2025-01-18,RURAL,058_La Elvira,99.0,MR76,,,,5,0,1,0
2025-01-19,RURAL,058_La Elvira,99.0,MR76,,,,6,0,1,0
2025-01-20,RURAL,058_La Elvira,99.0,MR76,,,,0,1,0,0
2025-01-21,RURAL,058_La Elvira,99.0,MR76,,,,1,1,0,0
2025-01-22,RURAL,058_La Elvira,99.0,MR76,,,,2,1,0,0
2025-01-23,RURAL,058_La Elvira,99.0,MR76,,,,3,1,0,0
2025-01-24,RURAL,058_La Elvira,99.0,MR76,,,,4,1,0,0
2025-01-25,RURAL,058_La Elvira,99.0,MR76,,,,5,0,1,0
2025-01-26,RURAL,058_La Elvira,99.0,MR76,,,,6,0,1,0
2025-01-27,RURAL,058_La Elvira,99.0,MR76,2.0,1249.0,3%,0,1,0,0
2025-01-28,RURAL,058_La Elvira,99.0,MR76,8.0,30903.0,45%,1,1,0,0
