FECHA_CONEXION,NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-17,004_ZW Parque San Nicolas,2,1,0,0,215.3,14.0,2153404.0
2024-01-18,004_ZW Parque San Nicolas,3,1,0,0,275.5,36.0,3304368.0
2024-01-19,004_ZW Parque San Nicolas,4,1,0,0,190.7,48.0,2926665.0
2024-01-20,004_ZW Parque San Nicolas,5,0,1,0,211.5,37.0,2738707.0
2024-01-21,004_ZW Parque San Nicolas,6,0,1,0,258.1,15.0,3341915.0
2024-01-22,004_ZW Parque San Nicolas,0,1,0,0,404.5,42.0,4241885.0
2024-01-23,004_ZW Parque San Nicolas,1,1,0,0,101.8,44.0,1099645.0
2024-01-24,004_ZW Parque San Nicolas,2,1,0,0,379.2,51.0,4743154.0
2024-01-25,004_ZW Parque San Nicolas,3,1,0,0,338.7,56.0,5062678.0
2024-01-26,004_ZW Parque San Nicolas,4,1,0,0,178.5,48.0,2458639.0
2024-01-27,004_ZW Parque San Nicolas,5,0,1,0,305.7,49.0,3794419.0
2024-01-28,004_ZW Parque San Nicolas,6,0,1,0,269.0,26.0,2765121.0
2024-01-29,004_ZW Parque San Nicolas,0,1,0,0,287.0,59.0,3340175.0
2024-01-30,004_ZW Parque San Nicolas,1,1,0,0,234.3,42.0,2120695.0
2024-01-31,,2,1,0,0,,,
2024-02-01,,3,1,0,0,,,
2024-02-02,,4,1,0,0,,,
2024-02-03,,5,0,1,0,,,
2024-02-04,,6,0,1,0,,,
2024-02-05,,0,1,0,0,,,
2024-02-06,,1,1,0,0,,,
2024-02-07,,2,1,0,0,,,
2024-02-08,,3,1,0,0,,,
2024-02-09,,4,1,0,0,,,
2024-02-10,,5,0,1,0,,,
2024-02-11,,6,0,1,0,,,
2024-02-12,,0,1,0,0,,,
2024-02-13,,1,1,0,0,,,
2024-02-14,,2,1,0,0,,,
2024-02-15,,3,1,0,0,,,
2024-02-16,,4,1,0,0,,,
2024-02-17,,5,0,1,0,,,
2024-02-18,,6,0,1,0,,,
2024-02-19,,0,1,0,0,,,
2024-02-20,,1,1,0,0,,,
2024-02-21,,2,1,0,0,,,
2024-02-22,,3,1,0,0,,,
2024-02-23,,4,1,0,0,,,
2024-02-24,,5,0,1,0,,,
2024-02-25,,6,0,1,0,,,
2024-02-26,,0,1,0,0,,,
2024-02-27,,1,1,0,0,,,
2024-02-28,,2,1,0,0,,,
2024-02-29,,3,1,0,0,,,
2024-03-01,,4,1,0,0,,,
2024-03-02,,5,0,1,0,,,
2024-03-03,,6,0,1,0,,,
2024-03-04,004_ZW Parque San Nicolas,0,1,0,0,12.6,17.0,178664.0
2024-03-05,004_ZW Parque San Nicolas,1,1,0,0,166.0,60.0,2287612.0
2024-03-06,004_ZW Parque San Nicolas,2,1,0,0,126.2,63.0,1527113.0
2024-03-07,004_ZW Parque San Nicolas,3,1,0,0,485.5,62.0,5186705.0
2024-03-08,004_ZW Parque San Nicolas,4,1,0,0,135.3,66.0,1447587.0
2024-03-09,004_ZW Parque San Nicolas,5,0,1,0,243.8,51.0,2410109.0
2024-03-10,004_ZW Parque San Nicolas,6,0,1,0,80.4,25.0,767122.0
2024-03-11,004_ZW Parque San Nicolas,0,1,0,0,79.2,59.0,744420.0
2024-03-12,004_ZW Parque San Nicolas,1,1,0,0,15.7,89.0,138711.0
2024-03-13,004_ZW Parque San Nicolas,2,1,0,0,0.6,76.0,4802.0
2024-03-14,004_ZW Parque San Nicolas,3,1,0,0,0.4,71.0,3990.0
2024-03-15,004_ZW Parque San Nicolas,4,1,0,0,1.1,70.0,14664.0
2024-03-16,004_ZW Parque San Nicolas,5,0,1,0,2.3,62.0,25765.0
2024-03-17,004_ZW Parque San Nicolas,6,0,1,0,0.4,22.0,4608.0
2024-03-18,004_ZW Parque San Nicolas,0,1,0,0,0.9,78.0,10416.0
2024-03-19,004_ZW Parque San Nicolas,1,1,0,0,1.7,68.0,12702.0
2024-03-20,004_ZW Parque San Nicolas,2,1,0,0,3.6,66.0,23713.0
2024-03-21,004_ZW Parque San Nicolas,3,1,0,0,0.6,60.0,5193.0
2024-03-22,004_ZW Parque San Nicolas,4,1,0,0,1.5,54.0,14985.0
2024-03-23,004_ZW Parque San Nicolas,5,0,1,0,1.6,61.0,12183.0
2024-03-24,004_ZW Parque San Nicolas,6,0,1,0,0.6,31.0,5812.0
2024-03-25,004_ZW Parque San Nicolas,0,0,0,1,0.2,19.0,1536.0
2024-03-26,004_ZW Parque San Nicolas,1,1,0,0,0.0,1.0,1.0
2024-03-27,004_ZW Parque San Nicolas,2,1,0,0,226.8,55.0,1831774.0
2024-03-28,004_ZW Parque San Nicolas,3,0,0,1,176.8,28.0,1128162.0
2024-03-29,004_ZW Parque San Nicolas,4,0,0,1,267.1,23.0,2648166.0
2024-03-30,004_ZW Parque San Nicolas,5,0,1,0,336.2,39.0,2096754.0
2024-03-31,004_ZW Parque San Nicolas,6,0,1,0,196.3,28.0,1495129.0
2024-04-01,004_ZW Parque San Nicolas,0,1,0,0,468.0,81.0,4909577.0
2024-04-02,004_ZW Parque San Nicolas,1,1,0,0,539.0,75.0,3792606.0
2024-04-03,004_ZW Parque San Nicolas,2,1,0,0,0.8,77.0,7619.0
2024-04-04,004_ZW Parque San Nicolas,3,1,0,0,1.2,78.0,13419.0
2024-04-05,004_ZW Parque San Nicolas,4,1,0,0,1.0,66.0,10820.0
2024-04-06,004_ZW Parque San Nicolas,5,0,1,0,1.4,68.0,17250.0
2024-04-07,004_ZW Parque San Nicolas,6,0,1,0,510.4,39.0,6104261.0
2024-04-08,004_ZW Parque San Nicolas,0,1,0,0,558.3,86.0,3951791.0
2024-04-09,004_ZW Parque San Nicolas,1,1,0,0,878.8,78.0,6723586.0
2024-04-10,004_ZW Parque San Nicolas,2,1,0,0,246.7,84.0,1048571.0
2024-04-11,004_ZW Parque San Nicolas,3,1,0,0,2.6,86.0,11518.0
2024-04-12,004_ZW Parque San Nicolas,4,1,0,0,1.0,67.0,6968.0
2024-04-13,004_ZW Parque San Nicolas,5,0,1,0,2.9,62.0,24477.0
2024-04-14,004_ZW Parque San Nicolas,6,0,1,0,1.0,38.0,7127.0
2024-04-15,004_ZW Parque San Nicolas,0,1,0,0,3.0,94.0,12166.0
2024-04-16,004_ZW Parque San Nicolas,1,1,0,0,2.1,83.0,8791.0
2024-04-17,004_ZW Parque San Nicolas,2,1,0,0,2.6,86.0,9644.0
2024-04-18,004_ZW Parque San Nicolas,3,1,0,0,1.3,72.0,3922.0
2024-04-19,004_ZW Parque San Nicolas,4,1,0,0,2.0,56.0,8074.0
2024-04-20,004_ZW Parque San Nicolas,5,0,1,0,0.8,69.0,6054.0
2024-04-21,004_ZW Parque San Nicolas,6,0,1,0,0.7,26.0,4281.0
2024-04-22,004_ZW Parque San Nicolas,0,1,0,0,3.5,61.0,16436.0
2024-04-23,004_ZW Parque San Nicolas,1,1,0,0,140.4,53.0,2577886.0
2024-04-24,004_ZW Parque San Nicolas,2,1,0,0,217.6,55.0,3997512.0
2024-04-25,004_ZW Parque San Nicolas,3,1,0,0,203.7,65.0,2417003.0
2024-04-26,004_ZW Parque San Nicolas,4,1,0,0,234.9,62.0,2354054.0
2024-04-27,004_ZW Parque San Nicolas,5,0,1,0,26.6,56.0,324601.0
2024-04-28,004_ZW Parque San Nicolas,6,0,1,0,5.4,26.0,39588.0
2024-04-29,004_ZW Parque San Nicolas,0,1,0,0,0.8,53.0,6099.0
2024-04-30,004_ZW Parque San Nicolas,1,1,0,0,0.5,60.0,3167.0
