FECHA_CONEXION,NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-12-19,007_ZW Parque Pizamos,3,1,0,0,3.46,10.0,98283.0
2024-12-20,007_ZW Parque Pizamos,4,1,0,0,33.2,26.0,1005929.0
2024-12-21,007_ZW Parque Pizamos,5,0,1,0,0.8,16.0,20729.0
2024-12-22,007_ZW Parque Pizamos,6,0,1,0,4.49,21.0,143931.0
2024-12-23,007_ZW Parque Pizamos,0,1,0,0,84.2,23.0,2111377.0
2024-12-24,007_ZW Parque Pizamos,1,1,0,0,45.9,15.0,1096737.0
2024-12-25,007_ZW Parque Pizamos,2,0,0,1,24.1,17.0,679529.0
2024-12-26,007_ZW Parque Pizamos,3,1,0,0,117.0,15.0,3201984.0
2024-12-27,007_ZW Parque Pizamos,4,1,0,0,17.9,8.0,583510.0
2024-12-28,007_ZW Parque Pizamos,5,0,1,0,55.2,12.0,1298779.0
2024-12-29,007_ZW Parque Pizamos,6,0,1,0,60.8,12.0,1963189.0
2024-12-30,007_ZW Parque Pizamos,0,1,0,0,61.7,20.0,1507796.0
2024-12-31,007_ZW Parque Pizamos,1,1,0,0,32.7,19.0,606354.0
2025-01-01,007_ZW Parque Pizamos,2,0,0,1,104.0,27.0,1532230.0
2025-01-02,007_ZW Parque Pizamos,3,1,0,0,49.0,18.0,1365167.0
2025-01-03,007_ZW Parque Pizamos,4,1,0,0,0.0,4.0,19.0
2025-01-04,,5,0,1,0,,,
2025-01-05,007_ZW Parque Pizamos,6,0,1,0,9.0,12.0,310789.0
2025-01-06,007_ZW Parque Pizamos,0,0,0,1,78.0,21.0,2900634.0
2025-01-07,007_ZW Parque Pizamos,1,1,0,0,135.0,27.0,4465528.0
2025-01-08,007_ZW Parque Pizamos,2,1,0,0,74.0,17.0,2544887.0
2025-01-09,007_ZW Parque Pizamos,3,1,0,0,41.0,27.0,1423344.0
2025-01-10,007_ZW Parque Pizamos,4,1,0,0,55.0,26.0,1974670.0
2025-01-11,007_ZW Parque Pizamos,5,0,1,0,21.0,30.0,728816.0
2025-01-12,007_ZW Parque Pizamos,6,0,1,0,45.0,36.0,1665687.0
2025-01-13,007_ZW Parque Pizamos,0,1,0,0,128.0,27.0,3851867.0
2025-01-14,007_ZW Parque Pizamos,1,1,0,0,63.0,34.0,1916710.0
2025-01-15,007_ZW Parque Pizamos,2,1,0,0,53.0,26.0,1517995.0
2025-01-16,007_ZW Parque Pizamos,3,1,0,0,118.0,29.0,3711327.0
2025-01-17,007_ZW Parque Pizamos,4,1,0,0,68.0,30.0,2080129.0
2025-01-18,007_ZW Parque Pizamos,5,0,1,0,118.0,38.0,3584365.0
2025-01-19,007_ZW Parque Pizamos,6,0,1,0,146.0,44.0,4724785.0
2025-01-20,007_ZW Parque Pizamos,0,1,0,0,46.0,28.0,1480253.0
2025-01-21,007_ZW Parque Pizamos,1,1,0,0,62.0,36.0,2220111.0
2025-01-22,007_ZW Parque Pizamos,2,1,0,0,132.0,32.0,4439638.0
2025-01-23,007_ZW Parque Pizamos,3,1,0,0,128.0,53.0,5128326.0
2025-01-24,007_ZW Parque Pizamos,4,1,0,0,219.0,55.0,7298412.0
2025-01-25,007_ZW Parque Pizamos,5,0,1,0,100.0,25.0,3705802.0
2025-01-26,007_ZW Parque Pizamos,6,0,1,0,62.0,42.0,2436213.0
2025-01-27,007_ZW Parque Pizamos,0,1,0,0,69.0,30.0,2599971.0
2025-01-28,007_ZW Parque Pizamos,1,1,0,0,113.0,44.0,3725142.0
2025-01-29,007_ZW Parque Pizamos,2,1,0,0,152.0,54.0,5508388.0
2025-01-30,007_ZW Parque Pizamos,3,1,0,0,94.0,56.0,2539883.0
2025-01-31,007_ZW Parque Pizamos,4,1,0,0,154.0,40.0,2837408.0
2025-02-01,007_ZW Parque Pizamos,5,0,1,0,89.0,37.0,2532197.0
2025-02-02,007_ZW Parque Pizamos,6,0,1,0,119.0,52.0,4033500.0
2025-02-03,007_ZW Parque Pizamos,0,1,0,0,70.0,33.0,1797319.0
2025-02-04,007_ZW Parque Pizamos,1,1,0,0,88.0,43.0,2476953.0
2025-02-05,007_ZW Parque Pizamos,2,1,0,0,142.0,35.0,3439881.0
2025-02-06,007_ZW Parque Pizamos,3,1,0,0,112.0,41.0,3043280.0
2025-02-07,007_ZW Parque Pizamos,4,1,0,0,132.0,36.0,3881355.0
2025-02-08,007_ZW Parque Pizamos,5,0,1,0,51.0,35.0,1374462.0
2025-02-09,007_ZW Parque Pizamos,6,0,1,0,81.0,44.0,2586435.0
2025-02-10,007_ZW Parque Pizamos,0,1,0,0,243.0,46.0,6384408.0
2025-02-11,007_ZW Parque Pizamos,1,1,0,0,72.0,43.0,2144589.0
2025-02-12,007_ZW Parque Pizamos,2,1,0,0,125.0,49.0,4133819.0
2025-02-13,007_ZW Parque Pizamos,3,1,0,0,72.0,28.0,1528074.0
2025-02-14,007_ZW Parque Pizamos,4,1,0,0,259.0,51.0,8637360.0
2025-02-15,007_ZW Parque Pizamos,5,0,1,0,165.0,46.0,4553987.0
2025-02-16,007_ZW Parque Pizamos,6,0,1,0,68.0,51.0,2057531.0
2025-02-17,007_ZW Parque Pizamos,0,1,0,0,61.0,50.0,1704508.0
2025-02-18,007_ZW Parque Pizamos,1,1,0,0,103.0,38.0,2884546.0
2025-02-19,007_ZW Parque Pizamos,2,1,0,0,179.0,53.0,5614562.0
2025-02-20,007_ZW Parque Pizamos,3,1,0,0,113.0,57.0,3996097.0
2025-02-21,007_ZW Parque Pizamos,4,1,0,0,165.0,49.0,4806694.0
2025-02-22,007_ZW Parque Pizamos,5,0,1,0,101.0,46.0,2859167.0
2025-02-23,007_ZW Parque Pizamos,6,0,1,0,106.0,56.0,3640486.0
2025-02-24,007_ZW Parque Pizamos,0,1,0,0,393.0,47.0,9552282.0
2025-02-25,007_ZW Parque Pizamos,1,1,0,0,150.0,41.0,4660584.0
2025-02-26,007_ZW Parque Pizamos,2,1,0,0,164.0,58.0,4534284.0
2025-02-27,007_ZW Parque Pizamos,3,1,0,0,220.0,54.0,6310559.0
2025-02-28,007_ZW Parque Pizamos,4,1,0,0,237.0,55.0,6685344.0
2025-03-01,007_ZW Parque Pizamos,5,0,1,0,113.0,51.0,2993573.0
2025-03-02,007_ZW Parque Pizamos,6,0,1,0,173.0,50.0,5879117.0
2025-03-03,007_ZW Parque Pizamos,0,1,0,0,160.0,53.0,4264796.0
2025-03-04,007_ZW Parque Pizamos,1,1,0,0,87.0,23.0,1917066.0
2025-03-05,007_ZW Parque Pizamos,2,1,0,0,81.0,36.0,2279249.0
2025-03-06,007_ZW Parque Pizamos,3,1,0,0,169.0,47.0,5260938.0
