FECHA_CONEXION,NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,027_ZW Parque Alfonso Bonilla Aragón,0,0,0,1,0.5,35.0,4621.0
2024-01-02,027_ZW Parque Alfonso Bonilla Aragón,1,1,0,0,0.4,32.0,3610.0
2024-01-03,027_ZW Parque Alfonso Bonilla Aragón,2,1,0,0,70.1,25.0,849791.0
2024-01-04,027_ZW Parque Alfonso Bonilla Aragón,3,1,0,0,79.0,29.0,834944.0
2024-01-05,027_ZW Parque Alfonso Bonilla Aragón,4,1,0,0,360.9,37.0,3912700.0
2024-01-06,027_ZW Parque Alfonso Bonilla Aragón,5,0,1,0,254.1,30.0,1949169.0
2024-01-07,027_ZW Parque Alfonso Bonilla Aragón,6,0,1,0,192.6,42.0,1932923.0
2024-01-08,027_ZW Parque Alfonso Bonilla Aragón,0,0,0,1,97.5,34.0,1537917.0
2024-01-09,027_ZW Parque Alfonso Bonilla Aragón,1,1,0,0,97.0,27.0,1256714.0
2024-01-10,027_ZW Parque Alfonso Bonilla Aragón,2,1,0,0,175.8,29.0,2121242.0
2024-01-11,027_ZW Parque Alfonso Bonilla Aragón,3,1,0,0,76.8,37.0,826568.0
2024-01-12,027_ZW Parque Alfonso Bonilla Aragón,4,1,0,0,143.6,33.0,1667730.0
2024-01-13,027_ZW Parque Alfonso Bonilla Aragón,5,0,1,0,0.2,6.0,1846.0
2024-01-14,027_ZW Parque Alfonso Bonilla Aragón,6,0,1,0,40.5,15.0,320299.0
2024-01-15,027_ZW Parque Alfonso Bonilla Aragón,0,1,0,0,1154.0,46.0,7983208.0
2024-01-16,027_ZW Parque Alfonso Bonilla Aragón,1,1,0,0,35.5,15.0,303417.0
2024-01-17,027_ZW Parque Alfonso Bonilla Aragón,2,1,0,0,36.7,8.0,367394.0
2024-01-18,027_ZW Parque Alfonso Bonilla Aragón,3,1,0,0,206.8,27.0,2480791.0
2024-01-19,027_ZW Parque Alfonso Bonilla Aragón,4,1,0,0,34.5,57.0,529090.0
2024-01-20,027_ZW Parque Alfonso Bonilla Aragón,5,0,1,0,24.9,6.0,322586.0
2024-01-21,027_ZW Parque Alfonso Bonilla Aragón,6,0,1,0,11.6,5.0,150520.0
2024-01-22,027_ZW Parque Alfonso Bonilla Aragón,0,1,0,0,149.3,33.0,1565871.0
2024-01-23,027_ZW Parque Alfonso Bonilla Aragón,1,1,0,0,336.1,41.0,3629421.0
2024-01-24,027_ZW Parque Alfonso Bonilla Aragón,2,1,0,0,392.4,38.0,4907796.0
2024-01-25,027_ZW Parque Alfonso Bonilla Aragón,3,1,0,0,764.4,55.0,11426110.0
2024-01-26,027_ZW Parque Alfonso Bonilla Aragón,4,1,0,0,334.3,44.0,4605549.0
2024-01-27,027_ZW Parque Alfonso Bonilla Aragón,5,0,1,0,302.7,36.0,3757638.0
2024-01-28,027_ZW Parque Alfonso Bonilla Aragón,6,0,1,0,0.7,34.0,7209.0
2024-01-29,027_ZW Parque Alfonso Bonilla Aragón,0,1,0,0,0.9,57.0,10516.0
2024-01-30,027_ZW Parque Alfonso Bonilla Aragón,1,1,0,0,1.5,65.0,13223.0
2024-01-31,027_ZW Parque Alfonso Bonilla Aragón,2,1,0,0,0.3,34.0,2841.0
2024-02-01,027_ZW Parque Alfonso Bonilla Aragón,3,1,0,0,1.8,52.0,24700.0
2024-02-02,027_ZW Parque Alfonso Bonilla Aragón,4,1,0,0,0.4,24.0,3649.0
2024-02-03,027_ZW Parque Alfonso Bonilla Aragón,5,0,1,0,0.3,42.0,5535.0
2024-02-04,027_ZW Parque Alfonso Bonilla Aragón,6,0,1,0,54.8,31.0,877081.0
2024-02-05,027_ZW Parque Alfonso Bonilla Aragón,0,1,0,0,333.8,21.0,5024331.0
2024-02-06,027_ZW Parque Alfonso Bonilla Aragón,1,1,0,0,265.7,50.0,3969893.0
2024-02-07,027_ZW Parque Alfonso Bonilla Aragón,2,1,0,0,276.7,41.0,4567617.0
2024-02-08,027_ZW Parque Alfonso Bonilla Aragón,3,1,0,0,93.0,52.0,1263574.0
2024-02-09,027_ZW Parque Alfonso Bonilla Aragón,4,1,0,0,0.5,50.0,6570.0
2024-02-10,027_ZW Parque Alfonso Bonilla Aragón,5,0,1,0,3.1,36.0,49156.0
2024-02-11,027_ZW Parque Alfonso Bonilla Aragón,6,0,1,0,0.5,28.0,6326.0
2024-02-12,027_ZW Parque Alfonso Bonilla Aragón,0,1,0,0,0.6,42.0,6514.0
2024-02-13,027_ZW Parque Alfonso Bonilla Aragón,1,1,0,0,0.4,30.0,3435.0
