FECHA_CONEXION,NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,031_ZW Cancha Los Azules,0,0,0,1,182.1,25.0,1592208.0
2024-01-02,031_ZW Cancha Los Azules,1,1,0,0,112.6,19.0,947915.0
2024-01-03,031_ZW Cancha Los Azules,2,1,0,0,250.7,19.0,3038554.0
2024-01-04,031_ZW Cancha Los Azules,3,1,0,0,203.5,13.0,2149834.0
2024-01-05,031_ZW Cancha Los Azules,4,1,0,0,192.3,7.0,2085204.0
2024-01-06,031_ZW Cancha Los Azules,5,0,1,0,417.6,15.0,3202929.0
2024-01-07,031_ZW Cancha Los Azules,6,0,1,0,588.7,16.0,5908197.0
2024-01-08,031_ZW Cancha Los Azules,0,0,0,1,921.8,17.0,14532950.0
2024-01-09,031_ZW Cancha Los Azules,1,1,0,0,0.2,9.0,2409.0
2024-01-10,031_ZW Cancha Los Azules,2,1,0,0,0.2,12.0,2853.0
2024-01-11,031_ZW Cancha Los Azules,3,1,0,0,1.3,16.0,14340.0
2024-01-12,031_ZW Cancha Los Azules,4,1,0,0,0.4,15.0,4331.0
2024-01-13,031_ZW Cancha Los Azules,5,0,1,0,0.3,16.0,2352.0
2024-01-14,031_ZW Cancha Los Azules,6,0,1,0,331.7,13.0,2624934.0
2024-01-15,031_ZW Cancha Los Azules,0,1,0,0,531.4,16.0,3676128.0
2024-01-16,031_ZW Cancha Los Azules,1,1,0,0,438.3,15.0,3749047.0
2024-01-17,031_ZW Cancha Los Azules,2,1,0,0,565.3,18.0,5653411.0
2024-01-18,031_ZW Cancha Los Azules,3,1,0,0,1110.0,12.0,13315484.0
2024-01-19,031_ZW Cancha Los Azules,4,1,0,0,722.8,14.0,11095750.0
2024-01-20,031_ZW Cancha Los Azules,5,0,1,0,299.4,13.0,3877555.0
2024-01-21,031_ZW Cancha Los Azules,6,0,1,0,208.2,14.0,2695416.0
2024-01-22,031_ZW Cancha Los Azules,0,1,0,0,1.0,16.0,10731.0
2024-01-23,031_ZW Cancha Los Azules,1,1,0,0,0.1,13.0,1207.0
2024-01-24,031_ZW Cancha Los Azules,2,1,0,0,0.2,18.0,2763.0
2024-01-25,031_ZW Cancha Los Azules,3,1,0,0,0.2,17.0,2988.0
2024-01-26,031_ZW Cancha Los Azules,4,1,0,0,0.3,19.0,4625.0
2024-01-27,031_ZW Cancha Los Azules,5,0,1,0,0.2,25.0,2546.0
2024-01-28,031_ZW Cancha Los Azules,6,0,1,0,0.3,19.0,2618.0
2024-01-29,031_ZW Cancha Los Azules,0,1,0,0,0.6,15.0,7069.0
2024-01-30,031_ZW Cancha Los Azules,1,1,0,0,0.3,12.0,2266.0
2024-01-31,031_ZW Cancha Los Azules,2,1,0,0,0.3,10.0,3133.0
2024-02-01,031_ZW Cancha Los Azules,3,1,0,0,0.1,21.0,1889.0
2024-02-02,031_ZW Cancha Los Azules,4,1,0,0,0.2,19.0,1799.0
2024-02-03,031_ZW Cancha Los Azules,5,0,1,0,0.1,19.0,2191.0
2024-02-04,031_ZW Cancha Los Azules,6,0,1,0,0.3,22.0,5493.0
2024-02-05,031_ZW Cancha Los Azules,0,1,0,0,0.1,12.0,1410.0
2024-02-06,031_ZW Cancha Los Azules,1,1,0,0,0.2,14.0,2860.0
2024-02-07,031_ZW Cancha Los Azules,2,1,0,0,0.1,16.0,1891.0
2024-02-08,031_ZW Cancha Los Azules,3,1,0,0,0.4,18.0,6043.0
2024-02-09,031_ZW Cancha Los Azules,4,1,0,0,0.3,16.0,3368.0
2024-02-10,031_ZW Cancha Los Azules,5,0,1,0,0.1,21.0,2162.0
2024-02-11,031_ZW Cancha Los Azules,6,0,1,0,0.3,19.0,3788.0
2024-02-12,031_ZW Cancha Los Azules,0,1,0,0,0.4,11.0,4615.0
2024-02-13,031_ZW Cancha Los Azules,1,1,0,0,1.1,15.0,9266.0
2024-02-14,031_ZW Cancha Los Azules,2,1,0,0,5.1,16.0,38397.0
2024-02-15,031_ZW Cancha Los Azules,3,1,0,0,0.2,15.0,2428.0
2024-02-16,031_ZW Cancha Los Azules,4,1,0,0,0.3,15.0,3538.0
2024-02-17,031_ZW Cancha Los Azules,5,0,1,0,0.1,12.0,1001.0
2024-02-18,031_ZW Cancha Los Azules,6,0,1,0,0.3,23.0,4106.0
