FECHA_CONEXION,NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,041_ZW Parque Junin,0,0,0,1,241.7,35.0,2112903.0
2024-01-02,041_ZW Parque Junin,1,1,0,0,488.5,39.0,4112251.0
2024-01-03,041_ZW Parque Junin,2,1,0,0,186.4,39.0,2259251.0
2024-01-04,041_ZW Parque Junin,3,1,0,0,187.1,50.0,1976792.0
2024-01-05,041_ZW Parque Junin,4,1,0,0,318.4,48.0,3451719.0
2024-01-06,041_ZW Parque Junin,5,0,1,0,225.0,44.0,1725906.0
2024-01-07,041_ZW Parque Junin,6,0,1,0,823.3,46.0,8263166.0
2024-01-08,041_ZW Parque Junin,0,0,0,1,211.1,35.0,3327632.0
2024-01-09,041_ZW Parque Junin,1,1,0,0,445.9,49.0,5777950.0
2024-01-10,041_ZW Parque Junin,2,1,0,0,172.2,47.0,2076928.0
2024-01-11,041_ZW Parque Junin,3,1,0,0,113.2,57.0,1217638.0
2024-01-12,041_ZW Parque Junin,4,1,0,0,304.3,53.0,3534614.0
2024-01-13,041_ZW Parque Junin,5,0,1,0,471.7,46.0,4246626.0
2024-01-14,041_ZW Parque Junin,6,0,1,0,204.6,52.0,1619288.0
2024-01-15,041_ZW Parque Junin,0,1,0,0,287.2,65.0,1986539.0
2024-01-16,041_ZW Parque Junin,1,1,0,0,181.0,58.0,1548354.0
2024-01-17,041_ZW Parque Junin,2,1,0,0,1.1,70.0,11128.0
2024-01-18,041_ZW Parque Junin,3,1,0,0,8.6,75.0,102709.0
2024-01-19,041_ZW Parque Junin,4,1,0,0,198.9,59.0,3053276.0
2024-01-20,041_ZW Parque Junin,5,0,1,0,300.7,58.0,3893927.0
2024-01-21,041_ZW Parque Junin,6,0,1,0,236.3,54.0,3059370.0
2024-01-22,041_ZW Parque Junin,0,1,0,0,413.6,63.0,4336854.0
2024-01-23,041_ZW Parque Junin,1,1,0,0,30.3,78.0,327177.0
2024-01-24,041_ZW Parque Junin,2,1,0,0,116.7,61.0,1459114.0
