FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2025-02-02,6,0,1,0,0.04,1,33
2025-02-03,0,1,0,0,943.19,4,517836
2025-02-04,1,1,0,0,2138.61,8,2160958
2025-02-05,2,1,0,0,1.43,3,985
2025-02-06,3,1,0,0,0.01,1,33
2025-02-07,4,1,0,0,2.84,4,17779
2025-02-08,5,0,1,0,641.26,4,587607
2025-02-09,6,0,1,0,0.08,2,85
2025-02-10,0,1,0,0,2984.68,17,2854402
2025-02-11,1,1,0,0,60.92,2,44359
2025-02-12,2,1,0,0,0.03,2,33
2025-02-13,3,1,0,0,30.6,2,33164
2025-02-14,4,1,0,0,0.1,2,26
2025-02-15,5,0,1,0,1.51,2,984
2025-02-16,6,0,1,0,65.6,5,36042
2025-02-17,0,1,0,0,2620,19,3786517
2025-02-18,1,1,0,0,3.81,4,4906
2025-02-19,2,1,0,0,1430,10,1742222
2025-02-20,3,1,0,0,444,6,613296
2025-02-21,4,1,0,0,43.6,5,90342
2025-02-22,5,0,1,0,65.4,7,179732
2025-02-23,6,0,1,0,900,13,1514321
2025-02-24,0,1,0,0,24.4,37,15956
2025-02-25,1,1,0,0,2940,6,183096
2025-02-26,2,1,0,0,1560,15,635485
2025-02-27,3,1,0,0,8920,11,2101530
2025-02-28,4,1,0,0,277,8,133074
2025-03-01,5,0,1,0,11.9,4,33698
2025-03-02,6,0,1,0,0.06,3,50
2025-03-03,0,1,0,0,349,5,355794
2025-03-04,1,1,0,0,83,14,22616
2025-03-05,2,1,0,0,310,7,96338
2025-03-06,3,1,0,0,438,4,61360
2025-03-07,4,1,0,0,59,8,52649
2025-03-08,5,0,1,0,501,10,598022
2025-03-09,6,0,1,0,252,6,85893
2025-03-10,0,1,0,0,12,5,22435
2025-03-11,1,1,0,0,3306,8,1624125
2025-03-12,2,1,0,0,3,2,1249
2025-03-13,3,1,0,0,45,8,30903
2025-03-14,4,1,0,0,806,7,605442
2025-03-15,5,0,1,0,31,4,53367
2025-03-16,6,0,1,0,353,12,760318
2025-03-17,0,1,0,0,634,6,1110558
2025-03-18,1,1,0,0,350,13,1113037
2025-03-19,2,1,0,0,113,6,242517
2025-03-20,3,1,0,0,2201,30,5772335
2025-03-21,4,1,0,0,842,24,1180178
2025-03-22,5,0,1,0,28,6,40671
