FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,1.33,106.0,38318.0
2024-01-02,1,1,0,0,0.52,80.0,14047.0
2024-01-03,2,1,0,0,6.06,65.0,239653.0
2024-01-04,3,1,0,0,0.43,63.0,14957.0
2024-01-05,4,1,0,0,0.61,72.0,21494.0
2024-01-06,5,0,1,0,48.68,82.0,1231726.0
2024-01-07,6,0,1,0,188.85,91.0,6241864.0
2024-01-08,0,0,0,1,150.78,88.0,7769799.0
2024-01-09,1,1,0,0,0.52,84.0,22198.0
2024-01-10,2,1,0,0,0.21,76.0,8452.0
2024-01-11,3,1,0,0,0.15,71.0,5690.0
2024-01-12,4,1,0,0,0.24,78.0,9471.0
2024-01-13,5,0,1,0,0.52,92.0,15318.0
2024-01-14,6,0,1,0,1.36,100.0,35531.0
2024-01-15,0,1,0,0,0.67,96.0,15559.0
2024-01-16,1,1,0,0,1.45,94.0,40819.0
2024-01-17,2,1,0,0,0.58,92.0,18536.0
2024-01-18,3,1,0,0,0.49,88.0,19045.0
2024-01-19,4,1,0,0,0.61,86.0,31190.0
2024-01-20,5,0,1,0,0.46,96.0,19959.0
2024-01-21,6,0,1,0,1.16,108.0,49215.0
2024-01-22,0,1,0,0,0.82,100.0,27913.0
2024-01-23,1,1,0,0,22.06,76.0,781843.0
2024-01-24,2,1,0,0,62.85,66.0,2566083.0
2024-01-25,3,1,0,0,5.14,80.0,251641.0
2024-01-26,4,1,0,0,0.43,93.0,18731.0
2024-01-27,5,0,1,0,0.43,86.0,16971.0
2024-01-28,6,0,1,0,0.4,89.0,13497.0
2024-01-29,0,1,0,0,0.49,89.0,18913.0
2024-01-30,1,1,0,0,0.91,80.0,26817.0
2024-01-31,2,1,0,0,0.46,85.0,15312.0
2024-02-01,3,1,0,0,0.46,76.0,21166.0
2024-02-02,4,1,0,0,0.18,66.0,6201.0
2024-02-03,5,0,1,0,66.14,50.0,3763484.0
2024-02-04,6,0,1,0,43.82,65.0,2273658.0
2024-02-05,0,1,0,0,0.12,68.0,5610.0
2024-02-06,1,1,0,0,27.12,73.0,1320336.0
2024-02-07,2,1,0,0,45.33,77.0,2436371.0
2024-02-08,3,1,0,0,87.1,87.0,3877311.0
2024-02-09,4,1,0,0,23.52,95.0,930606.0
2024-02-10,5,0,1,0,0.55,94.0,29503.0
2024-02-11,6,0,1,0,2.65,89.0,117406.0
2024-02-12,0,1,0,0,0.39,91.0,12977.0
2024-02-13,1,1,0,0,0.64,94.0,18459.0
2024-02-14,2,1,0,0,0.67,88.0,16364.0
2024-02-15,3,1,0,0,0.12,83.0,5161.0
2024-02-16,4,1,0,0,1.73,84.0,60628.0
2024-02-17,5,0,1,0,1.22,93.0,42758.0
2024-02-18,6,0,1,0,1.55,94.0,65923.0
2024-02-19,0,1,0,0,0.46,90.0,21499.0
