FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,202.94,20.0,5626077.0
2024-01-02,1,1,0,0,207.4,15.0,5461770.0
2024-01-03,2,1,0,0,57.02,13.0,2077623.0
2024-01-04,3,1,0,0,107.11,18.0,3530188.0
2024-01-05,4,1,0,0,193.37,21.0,6590836.0
2024-01-06,5,0,1,0,3.98,20.0,97720.0
2024-01-07,6,0,1,0,0.06,20.0,2169.0
2024-01-08,0,0,0,1,186.0,20.0,8951104.0
2024-01-09,1,1,0,0,136.37,18.0,5434108.0
2024-01-10,2,1,0,0,136.06,16.0,5027731.0
2024-01-11,3,1,0,0,206.33,20.0,6962326.0
2024-01-12,4,1,0,0,152.81,19.0,5521179.0
2024-01-13,5,0,1,0,150.91,20.0,4302267.0
2024-01-14,6,0,1,0,2.96,24.0,75072.0
2024-01-15,0,1,0,0,0.47,24.0,10536.0
2024-01-16,1,1,0,0,0.03,24.0,626.0
2024-01-17,2,1,0,0,0.16,20.0,5169.0
2024-01-18,3,1,0,0,0.09,24.0,3415.0
2024-01-19,4,1,0,0,0.13,22.0,6697.0
2024-01-20,5,0,1,0,0.13,22.0,4843.0
2024-01-21,6,0,1,0,0.32,21.0,13107.0
2024-01-22,0,1,0,0,0.1,20.0,3445.0
2024-01-23,1,1,0,0,0.06,19.0,2069.0
2024-01-24,2,1,0,0,29.96,16.0,1144986.0
2024-01-25,3,1,0,0,9.48,18.0,429984.0
2024-01-26,4,1,0,0,82.87,16.0,3457386.0
2024-01-27,5,0,1,0,27.84,14.0,1044005.0
2024-01-28,6,0,1,0,96.56,15.0,3063513.0
2024-01-29,0,1,0,0,126.14,20.0,4582606.0
2024-01-30,1,1,0,0,129.91,23.0,3746885.0
2024-01-31,2,1,0,0,76.42,26.0,2540819.0
2024-02-01,3,1,0,0,94.91,22.0,4097551.0
2024-02-02,4,1,0,0,55.63,18.0,1667649.0
2024-02-03,5,0,1,0,70.99,17.0,3742043.0
2024-02-04,6,0,1,0,61.47,20.0,2996978.0
2024-02-05,0,1,0,0,67.8,17.0,3082905.0
2024-02-06,1,1,0,0,6.88,14.0,304128.0
2024-02-07,2,1,0,0,9.55,16.0,469329.0
2024-02-08,3,1,0,0,47.27,19.0,1975977.0
2024-02-09,4,1,0,0,34.66,28.0,1323346.0
2024-02-10,5,0,1,0,29.47,29.0,1473532.0
2024-02-11,6,0,1,0,108.57,29.0,4613473.0
2024-02-12,0,1,0,0,4.05,26.0,133339.0
2024-02-13,1,1,0,0,0.19,23.0,4874.0
2024-02-14,2,1,0,0,0.22,17.0,5575.0
2024-02-15,3,1,0,0,0.1,19.0,3983.0
2024-02-16,4,1,0,0,0.57,25.0,19302.0
2024-02-17,5,0,1,0,0.19,26.0,6280.0
2024-02-18,6,0,1,0,0.16,24.0,6311.0
2024-02-19,0,1,0,0,54.26,20.0,2440945.0
2024-02-20,1,1,0,0,184.1,22.0,7036667.0
2024-02-21,2,1,0,0,314.53,22.0,11397267.0
2024-02-22,3,1,0,0,45.06,22.0,2125580.0
2024-02-23,4,1,0,0,220.26,23.0,9741312.0
2024-02-24,5,0,1,0,75.48,33.0,3025569.0
2024-02-25,6,0,1,0,208.18,35.0,11513216.0
2024-02-26,0,1,0,0,64.51,28.0,2287486.0
2024-02-27,1,1,0,0,74.26,20.0,2693132.0
2024-02-28,2,1,0,0,43.21,19.0,2234959.0
2024-02-29,3,1,0,0,100.0,20.0,2522474.0
2024-03-01,4,1,0,0,116.06,22.0,4363819.0
2024-03-02,5,0,1,0,71.82,22.0,2335566.0
2024-03-03,6,0,1,0,144.34,20.0,6201294.0
2024-03-04,0,1,0,0,124.99,21.0,5489972.0
2024-03-05,1,1,0,0,106.56,25.0,4598758.0
2024-03-06,2,1,0,0,300.06,29.0,11541574.0
2024-03-07,3,1,0,0,550.32,28.0,18761866.0
2024-03-08,4,1,0,0,365.4,30.0,12507091.0
2024-03-09,5,0,1,0,208.82,32.0,6641025.0
2024-03-10,6,0,1,0,266.43,34.0,8207030.0
2024-03-11,0,1,0,0,5.34,37.0,162649.0
2024-03-12,1,1,0,0,0.4,35.0,11676.0
2024-03-13,2,1,0,0,0.03,29.0,1075.0
2024-03-14,3,1,0,0,0.16,23.0,4948.0
2024-03-15,4,1,0,0,0.16,29.0,5909.0
2024-03-16,5,0,1,0,3.0,32.0,109120.0
2024-03-17,6,0,1,0,178.87,30.0,7349809.0
2024-03-18,0,1,0,0,171.57,28.0,6538809.0
2024-03-19,1,1,0,0,119.83,31.0,2927183.0
2024-03-20,2,1,0,0,317.98,33.0,6790300.0
2024-03-21,3,1,0,0,390.82,30.0,11000459.0
2024-03-22,4,1,0,0,397.88,29.0,12448070.0
2024-03-23,5,0,1,0,248.62,24.0,6229587.0
2024-03-24,6,0,1,0,239.92,23.0,6952468.0
2024-03-25,0,0,0,1,768.47,28.0,17463601.0
2024-03-26,1,1,0,0,408.86,33.0,10328124.0
2024-03-27,2,1,0,0,120.56,29.0,3143312.0
2024-03-28,3,0,0,1,0.59,25.0,11892.0
2024-03-29,4,0,0,1,0.12,27.0,3516.0
2024-03-30,5,0,1,0,0.37,25.0,7764.0
2024-03-31,6,0,1,0,318.07,30.0,7843233.0
2024-04-01,0,1,0,0,190.77,29.0,6400478.0
2024-04-02,1,1,0,0,277.43,28.0,6321228.0
2024-04-03,2,1,0,0,255.51,25.0,7363193.0
2024-04-04,3,1,0,0,291.36,29.0,10671551.0
2024-04-05,4,1,0,0,136.97,36.0,4949523.0
2024-04-06,5,0,1,0,321.32,40.0,12452853.0
2024-04-07,6,0,1,0,191.04,36.0,7332262.0
2024-04-08,0,1,0,0,544.5,30.0,12501798.0
2024-04-09,1,1,0,0,387.91,32.0,9624318.0
2024-04-10,2,1,0,0,586.19,32.0,8178208.0
2024-04-11,3,1,0,0,261.23,28.0,3776653.0
2024-04-12,4,1,0,0,0.12,32.0,2503.0
2024-04-13,5,0,1,0,0.49,33.0,13490.0
2024-04-14,6,0,1,0,0.15,30.0,3537.0
2024-04-15,0,1,0,0,0.4,27.0,5194.0
2024-04-16,1,1,0,0,0.18,32.0,2706.0
2024-04-17,2,1,0,0,0.34,29.0,4148.0
2024-04-18,3,1,0,0,1.16,19.0,10972.0
2024-04-19,4,1,0,0,112.48,19.0,1483642.0
2024-04-20,5,0,1,0,82.99,21.0,2072069.0
2024-04-21,6,0,1,0,102.24,23.0,2044307.0
2024-04-22,0,1,0,0,285.16,25.0,4326970.0
