FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,0.13,16.0,3773.0
2024-01-02,1,1,0,0,0.34,35.0,9595.0
2024-01-03,2,1,0,0,157.36,44.0,6171557.0
2024-01-04,3,1,0,0,100.77,39.0,3447496.0
2024-01-05,4,1,0,0,82.24,46.0,2897506.0
2024-01-06,5,0,1,0,206.23,54.0,5192345.0
2024-01-07,6,0,1,0,41.17,63.0,1354101.0
2024-01-08,0,0,0,1,0.59,53.0,29712.0
2024-01-09,1,1,0,0,0.25,49.0,10042.0
2024-01-10,2,1,0,0,0.43,50.0,16622.0
2024-01-11,3,1,0,0,0.86,52.0,29698.0
2024-01-12,4,1,0,0,0.34,46.0,12280.0
2024-01-13,5,0,1,0,1.04,47.0,30263.0
2024-01-14,6,0,1,0,0.61,67.0,15484.0
2024-01-15,0,1,0,0,1.24,72.0,28038.0
2024-01-16,1,1,0,0,0.91,61.0,25740.0
2024-01-17,2,1,0,0,74.02,40.0,2402237.0
2024-01-18,3,1,0,0,205.24,49.0,7994233.0
2024-01-19,4,1,0,0,169.12,51.0,8379816.0
2024-01-20,5,0,1,0,108.01,60.0,4556069.0
2024-01-21,6,0,1,0,227.34,62.0,9594453.0
2024-01-22,0,1,0,0,18.42,76.0,634738.0
2024-01-23,1,1,0,0,0.92,70.0,32762.0
2024-01-24,2,1,0,0,0.28,55.0,11055.0
2024-01-25,3,1,0,0,72.76,44.0,3495870.0
2024-01-26,4,1,0,0,198.11,47.0,8816863.0
2024-01-27,5,0,1,0,422.79,58.0,17095224.0
2024-01-28,6,0,1,0,196.41,56.0,6598279.0
2024-01-29,0,1,0,0,331.66,52.0,12563117.0
2024-01-30,1,1,0,0,195.98,57.0,5813118.0
2024-01-31,2,1,0,0,24.59,72.0,842757.0
2024-02-01,3,1,0,0,0.55,59.0,24879.0
2024-02-02,4,1,0,0,22.88,44.0,711278.0
2024-02-03,5,0,1,0,76.22,37.0,4285049.0
2024-02-04,6,0,1,0,71.3,47.0,3666251.0
2024-02-05,0,1,0,0,157.24,49.0,7635030.0
2024-02-06,1,1,0,0,180.49,66.0,8774974.0
2024-02-07,2,1,0,0,3.39,68.0,181389.0
2024-02-08,3,1,0,0,0.74,68.0,32531.0
2024-02-09,4,1,0,0,0.37,57.0,14589.0
2024-02-10,5,0,1,0,0.19,56.0,8903.0
2024-02-11,6,0,1,0,0.65,58.0,28705.0
2024-02-12,0,1,0,0,0.34,60.0,10910.0
2024-02-13,1,1,0,0,262.83,62.0,7475914.0
2024-02-14,2,1,0,0,220.7,65.0,5486892.0
2024-02-15,3,1,0,0,343.99,74.0,13164328.0
2024-02-16,4,1,0,0,257.75,72.0,8917265.0
2024-02-17,5,0,1,0,236.31,64.0,8182645.0
2024-02-18,6,0,1,0,84.27,55.0,3545317.0
2024-02-19,0,1,0,0,0.37,56.0,18165.0
2024-02-20,1,1,0,0,0.52,63.0,20579.0
2024-02-21,2,1,0,0,0.4,66.0,15543.0
2024-02-22,3,1,0,0,0.34,68.0,16559.0
2024-02-23,4,1,0,0,0.55,64.0,26296.0
2024-02-24,5,0,1,0,0.55,52.0,22350.0
2024-02-25,6,0,1,0,0.22,50.0,11433.0
2024-02-26,0,1,0,0,0.28,50.0,9892.0
2024-02-27,1,1,0,0,0.25,57.0,9030.0
2024-02-28,2,1,0,0,165.78,59.0,9187066.0
2024-02-29,3,1,0,0,285.94,64.0,7446262.0
2024-03-01,4,1,0,0,89.1,62.0,3490637.0
2024-03-02,5,0,1,0,0.8,56.0,26637.0
2024-03-03,6,0,1,0,0.34,54.0,14650.0
2024-03-04,0,1,0,0,0.25,52.0,10970.0
2024-03-05,1,1,0,0,0.12,58.0,5792.0
2024-03-06,2,1,0,0,0.18,62.0,6813.0
2024-03-07,3,1,0,0,0.67,72.0,23458.0
2024-03-08,4,1,0,0,0.49,80.0,16996.0
2024-03-09,5,0,1,0,0.85,67.0,27726.0
2024-03-10,6,0,1,0,1.01,57.0,31467.0
2024-03-11,0,1,0,0,0.67,64.0,20592.0
2024-03-12,1,1,0,0,0.7,78.0,20526.0
2024-03-13,2,1,0,0,0.33,72.0,7986.0
2024-03-14,3,1,0,0,0.61,72.0,19343.0
2024-03-15,4,1,0,0,0.4,65.0,16633.0
2024-03-16,5,0,1,0,0.49,54.0,17998.0
2024-03-17,6,0,1,0,0.31,56.0,12369.0
2024-03-18,0,1,0,0,0.28,67.0,10390.0
2024-03-19,1,1,0,0,0.36,64.0,9134.0
2024-03-20,2,1,0,0,132.98,55.0,2868403.0
2024-03-21,3,1,0,0,256.82,56.0,7350591.0
2024-03-22,4,1,0,0,213.87,57.0,6827083.0
2024-03-23,5,0,1,0,0.7,57.0,18080.0
2024-03-24,6,0,1,0,0.43,46.0,12351.0
2024-03-25,0,0,0,1,0.37,42.0,8121.0
2024-03-26,1,1,0,0,0.73,42.0,18956.0
2024-03-27,2,1,0,0,112.84,33.0,2959588.0
2024-03-28,3,0,0,1,0.03,22.0,400.0
2024-03-29,4,0,0,1,190.1,31.0,6072245.0
2024-03-30,5,0,1,0,125.71,48.0,2576826.0
2024-03-31,6,0,1,0,0.36,60.0,9064.0
2024-04-01,0,1,0,0,0.31,57.0,10316.0
2024-04-02,1,1,0,0,199.05,52.0,4600487.0
2024-04-03,2,1,0,0,175.2,50.0,5160395.0
2024-04-04,3,1,0,0,143.09,61.0,5374096.0
2024-04-05,4,1,0,0,175.16,62.0,6434380.0
2024-04-06,5,0,1,0,75.93,61.0,2982879.0
2024-04-07,6,0,1,0,22.57,62.0,881296.0
2024-04-08,0,1,0,0,271.74,45.0,6303518.0
2024-04-09,1,1,0,0,72.54,26.0,1792383.0
2024-04-10,2,1,0,0,11.13,18.0,4305322.0
2024-04-11,3,1,0,0,7.12,34.0,5203655.0
2024-04-12,4,1,0,0,6.81,48.0,7027108.0
2024-04-13,5,0,1,0,365.11,49.0,10163181.0
2024-04-14,6,0,1,0,280.72,57.0,6369900.0
2024-04-15,0,1,0,0,290.38,57.0,3845086.0
2024-04-16,1,1,0,0,0.76,65.0,10540.0
2024-04-17,2,1,0,0,1.33,54.0,16305.0
2024-04-18,3,1,0,0,2.17,53.0,20869.0
2024-04-19,4,1,0,0,5.3,50.0,70941.0
2024-04-20,5,0,1,0,0.58,50.0,14644.0
2024-04-21,6,0,1,0,0.36,51.0,7391.0
2024-04-22,0,1,0,0,1.27,52.0,19617.0
2024-04-23,1,1,0,0,50.45,63.0,2992693.0
2024-04-24,2,1,0,0,30.85,58.0,1825825.0
2024-04-25,3,1,0,0,0.19,45.0,7529.0
2024-04-26,4,1,0,0,0.19,27.0,5798.0
2024-04-27,5,0,1,0,0.16,25.0,5889.0
2024-04-28,6,0,1,0,0.67,44.0,16373.0
2024-04-29,0,1,0,0,0.82,60.0,21777.0
2024-04-30,1,1,0,0,0.85,60.0,17567.0
2024-05-01,2,0,0,1,0.76,52.0,13104.0
2024-05-02,3,1,0,0,1.39,76.0,23484.0
2024-05-03,4,1,0,0,4.29,77.0,65264.0
2024-05-04,5,0,1,0,41.52,59.0,986462.0
2024-05-05,6,0,1,0,103.91,41.0,2100872.0
2024-05-06,0,1,0,0,165.74,51.0,2613296.0
2024-05-07,1,1,0,0,1.31,52.0,25972.0
2024-05-08,2,1,0,0,144.0,46.0,3732438.0
2024-05-09,3,1,0,0,200.1,47.0,5760178.0
2024-05-10,4,1,0,0,249.29,44.0,6431417.0
2024-05-11,5,0,1,0,0.27,45.0,6342.0
2024-05-12,6,0,1,0,1.12,45.0,15192.0
2024-05-13,0,0,0,1,1.52,47.0,27973.0
2024-05-14,1,1,0,0,0.84,41.0,5990.0
2024-05-15,2,1,0,0,31.91,45.0,647294.0
2024-05-16,3,1,0,0,191.15,60.0,5124575.0
2024-05-17,4,1,0,0,167.96,63.0,5718554.0
2024-05-18,5,0,1,0,61.46,47.0,2193598.0
2024-05-19,6,0,1,0,92.08,45.0,3490584.0
2024-05-20,0,1,0,0,337.31,57.0,7811248.0
2024-05-21,1,1,0,0,118.57,64.0,3030252.0
2024-05-22,2,1,0,0,2.5,62.0,21267.0
2024-05-23,3,1,0,0,454.45,65.0,7974034.0
2024-05-24,4,1,0,0,284.46,69.0,4442592.0
2024-05-25,5,0,1,0,410.58,59.0,9622506.0
2024-05-26,6,0,1,0,11.89,56.0,270473.0
2024-05-27,0,1,0,0,278.97,56.0,7777840.0
2024-05-28,1,1,0,0,114.7,53.0,2804453.0
2024-05-29,2,1,0,0,255.98,46.0,4218327.0
2024-05-30,3,1,0,0,131.45,57.0,5126026.0
2024-05-31,4,1,0,0,119.04,68.0,3635664.0
2024-06-01,5,0,1,0,230.7,59.0,7559260.0
2024-06-02,6,0,1,0,0.25,49.0,7625.0
2024-06-03,0,0,0,1,0.91,57.0,20635.0
2024-06-04,1,1,0,0,2.42,65.0,36508.0
2024-06-05,2,1,0,0,1.87,61.0,17667.0
2024-06-06,3,1,0,0,315.48,56.0,6343660.0
2024-06-07,4,1,0,0,50.49,54.0,801511.0
2024-06-08,5,0,1,0,2.66,46.0,27666.0
2024-06-09,6,0,1,0,1.63,45.0,15843.0
2024-06-10,0,0,0,1,284.38,57.0,5113527.0
2024-06-11,1,1,0,0,49.51,72.0,1023960.0
2024-06-12,2,1,0,0,490.78,68.0,11990541.0
2024-06-13,3,1,0,0,234944502.67,53.0,4022553.0
2024-06-14,4,1,0,0,246999914.84,46.0,2739328.0
2024-06-15,5,0,1,0,258560713.39,49.0,4804106.0
2024-06-16,6,0,1,0,174209281.19,59.0,3238349.0
2024-06-17,0,1,0,0,362.63,45.0,7440812.0
2024-06-18,1,1,0,0,103.59,112.0,2172881.0
2024-06-19,2,1,0,0,6.06,141.0,141653.0
2024-06-20,3,1,0,0,2.89,139.0,48182.0
2024-06-21,4,1,0,0,42.93,74.0,825791.0
2024-06-22,5,0,1,0,102.53,68.0,1791208.0
2024-06-23,6,0,1,0,245.33,58.0,2073733.0
2024-06-24,0,1,0,0,942.26,75.0,16277015.0
2024-06-25,1,1,0,0,112.54,95.0,1507300.0
2024-06-26,2,1,0,0,1.45,93.0,18753.0
2024-06-27,3,1,0,0,0.57,90.0,6255.0
2024-06-28,4,1,0,0,0.85,90.0,16277.0
2024-06-29,5,0,1,0,0.57,83.0,11147.0
2024-06-30,6,0,1,0,0.73,67.0,11062.0
2024-07-01,0,0,0,1,0.99,73.0,23597.0
2024-07-02,1,1,0,0,79.52,82.0,2431048.0
2024-07-03,2,1,0,0,96.79,80.0,2681958.0
2024-07-04,3,1,0,0,35.69,60.0,930759.0
2024-07-05,4,1,0,0,144.81,64.0,4053892.0
2024-07-06,5,0,1,0,174.88,72.0,4845579.0
2024-07-07,6,0,1,0,169.51,86.0,4929981.0
2024-07-08,0,1,0,0,0.85,82.0,15681.0
2024-07-09,1,1,0,0,0.8,87.0,15318.0
2024-07-10,2,1,0,0,0.84,79.0,19234.0
2024-07-11,3,1,0,0,0.86,92.0,21049.0
2024-07-12,4,1,0,0,1.77,94.0,37256.0
2024-07-13,5,0,1,0,1.8,85.0,41809.0
2024-07-14,6,0,1,0,0.31,62.0,6495.0
2024-07-15,0,1,0,0,0.55,67.0,10150.0
2024-07-16,1,1,0,0,8.14,83.0,168982.0
2024-07-17,2,1,0,0,0.73,87.0,10936.0
2024-07-18,3,1,0,0,1.18,84.0,23279.0
2024-07-19,4,1,0,0,28.12,77.0,666027.0
2024-07-20,5,0,0,1,265.36,80.0,6817037.0
2024-07-21,6,0,1,0,110.44,82.0,2389168.0
2024-07-22,0,1,0,0,319.69,90.0,7344629.0
2024-07-23,1,1,0,0,298.34,91.0,6832146.0
2024-07-24,2,1,0,0,149.28,93.0,3122288.0
2024-07-25,3,1,0,0,0.49,96.0,10254.0
2024-07-26,4,1,0,0,197.47,96.0,4955072.0
2024-07-27,5,0,1,0,226.97,80.0,4388829.0
2024-07-28,6,0,1,0,0.44,66.0,6913.0
2024-07-29,0,1,0,0,0.55,72.0,11396.0
2024-07-30,1,1,0,0,0.5,86.0,11207.0
2024-07-31,2,1,0,0,0.54,93.0,10790.0
2024-08-01,3,1,0,0,0.84,87.0,18593.0
2024-08-02,4,1,0,0,0.57,92.0,11271.0
2024-08-03,5,0,1,0,455.18,90.0,7403001.0
2024-08-04,6,0,1,0,0.22,87.0,4528.0
2024-08-05,0,1,0,0,47.94,84.0,1096164.0
2024-08-06,1,1,0,0,50.39,84.0,1721647.0
2024-08-07,2,0,0,1,226.79,84.0,6286803.0
2024-08-08,3,1,0,0,31.79,86.0,836262.0
2024-08-09,4,1,0,0,0.33,92.0,5964.0
2024-08-10,5,0,1,0,1.35,77.0,23658.0
2024-08-11,6,0,1,0,0.76,79.0,14511.0
2024-08-12,0,1,0,0,0.76,89.0,11768.0
2024-08-13,1,1,0,0,0.46,102.0,13364.0
2024-08-14,2,1,0,0,0.65,100.0,16158.0
2024-08-15,3,1,0,0,0.62,106.0,13640.0
2024-08-16,4,1,0,0,0.62,105.0,14981.0
2024-08-17,5,0,1,0,0.48,96.0,10998.0
2024-08-18,6,0,1,0,0.15,72.0,3268.0
2024-08-19,0,0,0,1,0.54,65.0,13042.0
2024-08-20,1,1,0,0,0.36,91.0,4849.0
2024-08-21,2,1,0,0,1.56,99.0,17809.0
2024-08-22,3,1,0,0,0.52,83.0,6432.0
2024-08-23,4,1,0,0,3.83,65.0,5353784.0
2024-08-24,5,0,1,0,3.87,68.0,5657066.0
2024-08-25,6,0,1,0,3.72,67.0,5360623.0
2024-08-26,0,1,0,0,3.88,67.0,5584360.0
2024-08-27,1,1,0,0,3.95,66.0,5601765.0
2024-08-28,2,1,0,0,3.85,66.0,5462775.0
2024-08-29,3,1,0,0,3.88,65.0,5425049.0
2024-08-30,4,1,0,0,3.96,65.0,5534980.0
2024-08-31,5,0,1,0,3.95,64.0,5426591.0
2024-09-01,6,0,1,0,4.99,63.0,6750727.0
2024-09-02,0,1,0,0,4.9,63.0,6628899.0
2024-09-03,1,1,0,0,5.02,62.0,6688274.0
2024-09-04,2,1,0,0,4.89,62.0,6520291.0
2024-09-05,3,1,0,0,4.97,61.0,6508561.0
2024-09-06,4,1,0,0,5.48,61.0,7188225.0
2024-09-07,5,0,1,0,5.62,60.0,7241350.0
2024-09-08,6,0,1,0,5.47,60.0,7048639.0
2024-09-09,0,1,0,0,5.43,59.0,6884867.0
2024-09-10,1,1,0,0,5.43,59.0,6885755.0
2024-09-11,2,1,0,0,5.3,58.0,6602011.0
2024-09-12,3,1,0,0,5.61,57.0,6870541.0
2024-09-13,4,1,0,0,6.27,57.0,7679023.0
2024-09-14,5,0,1,0,6.37,56.0,7664257.0
2024-09-15,6,0,1,0,6.22,56.0,7487758.0
2024-09-16,0,1,0,0,6.08,55.0,7187859.0
2024-09-17,1,1,0,0,5.73,55.0,6770258.0
2024-09-18,2,1,0,0,5.6,54.0,6502747.0
2024-09-19,3,1,0,0,6.11,54.0,7093424.0
2024-09-20,4,1,0,0,6.41,53.0,7295542.0
2024-09-21,5,0,1,0,6.41,52.0,7161043.0
2024-09-22,6,0,1,0,6.13,52.0,6850909.0
2024-09-23,0,1,0,0,7.73,51.0,8475295.0
2024-09-24,1,1,0,0,8.27,51.0,9057221.0
2024-09-25,2,1,0,0,8.32,50.0,8941922.0
2024-09-26,3,1,0,0,8.48,50.0,9105580.0
2024-09-27,4,1,0,0,8.91,49.0,9377242.0
2024-09-28,5,0,1,0,7.62,49.0,8022672.0
2024-09-29,6,0,1,0,7.12,48.0,7345931.0
2024-09-30,0,1,0,0,7.32,47.0,7392126.0
2024-10-01,1,1,0,0,2.32,47.0,2338355.0
2024-10-02,2,1,0,0,2.35,46.0,2320760.0
2024-10-03,3,1,0,0,2.59,46.0,2563696.0
2024-10-04,4,1,0,0,2.88,45.0,2786582.0
2024-10-05,5,0,1,0,3.02,45.0,2924672.0
2024-10-06,6,0,1,0,3.36,44.0,3172968.0
2024-10-07,0,1,0,0,2.59,44.0,2444106.0
2024-10-08,1,1,0,0,2.84,43.0,2621111.0
2024-10-09,2,1,0,0,3.17,42.0,2857779.0
2024-10-10,3,1,0,0,3.33,42.0,3001374.0
2024-10-11,4,1,0,0,3.66,41.0,3224125.0
2024-10-12,5,0,1,0,3.96,41.0,3489988.0
2024-10-13,6,0,1,0,4.02,40.0,3453751.0
2024-10-14,0,0,0,1,3.02,40.0,2598963.0
2024-10-15,1,1,0,0,3.4,39.0,2846462.0
2024-10-16,2,1,0,0,4.09,39.0,3428855.0
2024-10-17,3,1,0,0,4.3,38.0,3509448.0
