FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,61.13,5.0,1493645.0
2024-01-02,1,1,0,0,164.32,26.0,4452625.0
2024-01-03,2,1,0,0,144.42,38.0,5635712.0
2024-01-04,3,1,0,0,198.49,39.0,6787853.0
2024-01-05,4,1,0,0,86.18,35.0,3011343.0
2024-01-06,5,0,1,0,200.33,24.0,4947251.0
2024-01-07,6,0,1,0,72.59,17.0,2280726.0
2024-01-08,0,0,0,1,44.61,26.0,2198101.0
2024-01-09,1,1,0,0,117.19,43.0,4900166.0
2024-01-10,2,1,0,0,107.09,54.0,4202617.0
2024-01-11,3,1,0,0,107.34,48.0,3756918.0
2024-01-12,4,1,0,0,144.52,42.0,5429747.0
2024-01-13,5,0,1,0,105.45,23.0,3033905.0
2024-01-14,6,0,1,0,28.86,30.0,740325.0
2024-01-15,0,1,0,0,141.23,50.0,3207624.0
2024-01-16,1,1,0,0,140.58,68.0,3953247.0
2024-01-17,2,1,0,0,106.07,61.0,3473765.0
2024-01-18,3,1,0,0,106.44,62.0,4167144.0
2024-01-19,4,1,0,0,124.0,54.0,6152767.0
2024-01-20,5,0,1,0,24.44,34.0,1012500.0
2024-01-21,6,0,1,0,0.03,37.0,1431.0
2024-01-22,0,1,0,0,4.72,54.0,161101.0
2024-01-23,1,1,0,0,12.36,68.0,436993.0
2024-01-24,2,1,0,0,38.29,63.0,1562153.0
2024-01-25,3,1,0,0,18.8,60.0,912556.0
2024-01-26,4,1,0,0,36.92,54.0,1648812.0
2024-01-27,5,0,1,0,54.45,35.0,2168241.0
2024-01-28,6,0,1,0,18.41,34.0,610385.0
2024-01-29,0,1,0,0,22.76,54.0,862562.0
2024-01-30,1,1,0,0,19.84,79.0,590889.0
2024-01-31,2,1,0,0,44.16,79.0,1515913.0
2024-02-01,3,1,0,0,15.81,66.0,716582.0
2024-02-02,4,1,0,0,141.23,53.0,4409475.0
2024-02-03,5,0,1,0,51.73,30.0,2872923.0
2024-02-04,6,0,1,0,26.77,23.0,1325220.0
2024-02-05,0,1,0,0,51.68,32.0,2466397.0
2024-02-06,1,1,0,0,139.34,55.0,6739828.0
2024-02-07,2,1,0,0,61.08,63.0,3266338.0
2024-02-08,3,1,0,0,9.91,77.0,440114.0
2024-02-09,4,1,0,0,0.28,69.0,11093.0
2024-02-10,5,0,1,0,0.31,39.0,15688.0
2024-02-11,6,0,1,0,0.06,37.0,2346.0
2024-02-12,0,1,0,0,22.5,70.0,764366.0
2024-02-13,1,1,0,0,1.15,88.0,33097.0
2024-02-14,2,1,0,0,11.7,63.0,290663.0
2024-02-15,3,1,0,0,125.7,51.0,4772423.0
2024-02-16,4,1,0,0,92.1,45.0,3155606.0
2024-02-17,5,0,1,0,63.34,31.0,2152232.0
2024-02-18,6,0,1,0,53.05,25.0,2165598.0
2024-02-19,0,1,0,0,87.29,45.0,4116205.0
2024-02-20,1,1,0,0,0.95,63.0,37663.0
2024-02-21,2,1,0,0,0.06,61.0,2074.0
2024-02-22,3,1,0,0,0.06,64.0,2835.0
2024-02-23,4,1,0,0,0.18,64.0,8477.0
2024-02-24,5,0,1,0,0.09,50.0,4364.0
2024-02-25,6,0,1,0,0.31,47.0,17122.0
2024-02-26,0,1,0,0,77.75,58.0,2825403.0
2024-02-27,1,1,0,0,124.4,66.0,4727074.0
2024-02-28,2,1,0,0,56.97,59.0,3156363.0
2024-02-29,3,1,0,0,181.87,64.0,4735435.0
2024-03-01,4,1,0,0,180.18,53.0,7031517.0
2024-03-02,5,0,1,0,99.21,32.0,3286587.0
2024-03-03,6,0,1,0,31.34,40.0,1401955.0
2024-03-04,0,1,0,0,0.55,74.0,25554.0
2024-03-05,1,1,0,0,4.45,90.0,201523.0
2024-03-06,2,1,0,0,7.79,75.0,308226.0
2024-03-07,3,1,0,0,5.74,69.0,200751.0
2024-03-08,4,1,0,0,61.22,58.0,2138889.0
2024-03-09,5,0,1,0,46.25,39.0,1482439.0
2024-03-10,6,0,1,0,131.62,34.0,4062140.0
2024-03-11,0,1,0,0,210.63,59.0,6484930.0
2024-03-12,1,1,0,0,119.38,90.0,3471770.0
2024-03-13,2,1,0,0,24.51,95.0,599580.0
2024-03-14,3,1,0,0,0.76,85.0,24409.0
2024-03-15,4,1,0,0,0.12,70.0,5254.0
2024-03-16,5,0,1,0,0.09,45.0,3274.0
2024-03-17,6,0,1,0,0.09,46.0,3427.0
2024-03-18,0,1,0,0,0.18,62.0,6617.0
2024-03-19,1,1,0,0,0.21,79.0,5160.0
2024-03-20,2,1,0,0,3.73,70.0,80557.0
2024-03-21,3,1,0,0,0.15,78.0,4716.0
2024-03-22,4,1,0,0,0.24,65.0,8162.0
2024-03-23,5,0,1,0,4.45,39.0,112868.0
2024-03-24,6,0,1,0,44.16,15.0,1254807.0
2024-03-25,0,0,0,1,129.47,32.0,2956825.0
2024-03-26,1,1,0,0,349.12,51.0,8912146.0
2024-03-27,2,1,0,0,128.74,49.0,3404679.0
2024-03-28,3,0,0,1,113.17,28.0,2348394.0
2024-03-29,4,0,0,1,130.77,22.0,4117264.0
2024-03-30,5,0,1,0,397.91,24.0,8041582.0
2024-03-31,6,0,1,0,247.12,37.0,6135342.0
2024-04-01,0,1,0,0,167.4,59.0,5741414.0
2024-04-02,1,1,0,0,31.04,83.0,721167.0
2024-04-03,2,1,0,0,0.46,85.0,13119.0
2024-04-04,3,1,0,0,87.82,82.0,3314098.0
2024-04-05,4,1,0,0,109.6,64.0,4027399.0
2024-04-06,5,0,1,0,80.35,34.0,3102412.0
2024-04-07,6,0,1,0,39.42,39.0,1520100.0
2024-04-08,0,1,0,0,0.46,68.0,10492.0
2024-04-09,1,1,0,0,0.88,91.0,22546.0
2024-04-10,2,1,0,0,0.75,86.0,10635.0
2024-04-11,3,1,0,0,1.15,85.0,16859.0
2024-04-12,4,1,0,0,0.39,73.0,8955.0
2024-04-13,5,0,1,0,0.28,46.0,7305.0
2024-04-14,6,0,1,0,0.18,46.0,4012.0
2024-04-15,0,1,0,0,0.91,68.0,11846.0
2024-04-16,1,1,0,0,0.63,88.0,9105.0
2024-04-17,2,1,0,0,0.78,81.0,9641.0
2024-04-18,3,1,0,0,0.75,78.0,7392.0
2024-04-19,4,1,0,0,0.33,66.0,4365.0
2024-04-20,5,0,1,0,0.15,39.0,3862.0
2024-04-21,6,0,1,0,0.79,35.0,15840.0
2024-04-22,0,1,0,0,0.21,46.0,3292.0
2024-04-23,1,1,0,0,79.1,58.0,4677805.0
2024-04-24,2,1,0,0,40.2,50.0,2366245.0
2024-04-25,3,1,0,0,40.78,52.0,1573095.0
2024-04-26,4,1,0,0,94.31,48.0,3078917.0
2024-04-27,5,0,1,0,23.2,33.0,906571.0
2024-04-28,6,0,1,0,27.53,32.0,661039.0
2024-04-29,0,1,0,0,0.27,55.0,7045.0
2024-04-30,1,1,0,0,0.4,55.0,8454.0
2024-05-01,2,0,0,1,0.12,46.0,2312.0
2024-05-02,3,1,0,0,0.55,47.0,9354.0
2024-05-03,4,1,0,0,0.27,58.0,4087.0
2024-05-04,5,0,1,0,0.12,32.0,2763.0
2024-05-05,6,0,1,0,0.06,27.0,942.0
2024-05-06,0,1,0,0,0.24,44.0,4012.0
2024-05-07,1,1,0,0,0.58,56.0,11777.0
2024-05-08,2,1,0,0,0.21,51.0,5731.0
2024-05-09,3,1,0,0,0.12,59.0,3608.0
2024-05-10,4,1,0,0,0.55,62.0,14245.0
2024-05-11,5,0,1,0,0.03,45.0,855.0
2024-05-12,6,0,1,0,0.37,17.0,4873.0
2024-05-13,0,0,0,1,0.12,28.0,2280.0
2024-05-14,1,1,0,0,9.17,45.0,65955.0
2024-05-15,2,1,0,0,54.28,57.0,1104691.0
2024-05-16,3,1,0,0,59.46,53.0,1590923.0
2024-05-17,4,1,0,0,105.65,52.0,3582545.0
2024-05-18,5,0,1,0,108.85,34.0,3846756.0
2024-05-19,6,0,1,0,99.27,31.0,3715198.0
2024-05-20,0,1,0,0,314.75,45.0,7261622.0
2024-05-21,1,1,0,0,99.81,61.0,2548051.0
2024-05-22,2,1,0,0,285.69,57.0,2441001.0
2024-05-23,3,1,0,0,0.27,55.0,4966.0
2024-05-24,4,1,0,0,0.42,54.0,6748.0
2024-05-25,5,0,1,0,0.21,42.0,4635.0
2024-05-26,6,0,1,0,0.27,46.0,6055.0
2024-05-27,0,1,0,0,0.27,57.0,8039.0
2024-05-28,1,1,0,0,0.27,66.0,6832.0
2024-05-29,2,1,0,0,0.27,55.0,4556.0
2024-05-30,3,1,0,0,0.09,59.0,3259.0
2024-05-31,4,1,0,0,0.15,55.0,4867.0
2024-06-01,5,0,1,0,0.09,39.0,2986.0
2024-06-02,6,0,1,0,0.19,18.0,6213.0
2024-06-03,0,0,0,1,36.69,35.0,828993.0
2024-06-04,1,1,0,0,313.73,49.0,4706282.0
2024-06-05,2,1,0,0,109.72,51.0,1038232.0
2024-06-06,3,1,0,0,210.48,45.0,4219365.0
2024-06-07,4,1,0,0,228.28,45.0,3617190.0
2024-06-08,5,0,1,0,184.92,33.0,1921871.0
2024-06-09,6,0,1,0,78.38,15.0,745577.0
2024-06-10,0,0,0,1,116.9,33.0,2085932.0
2024-06-11,1,1,0,0,48.21,61.0,994603.0
2024-06-12,2,1,0,0,0.45,79.0,11342.0
2024-06-13,3,1,0,0,572620.5,72.0,9804.0
2024-06-14,4,1,0,0,436323.3,65.0,4839.0
2024-06-15,5,0,1,0,180676.2,41.0,3357.0
