FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,29.99,13.0,822508.0
2024-01-02,1,1,0,0,21.59,11.0,566063.0
2024-01-03,2,1,0,0,18.35,10.0,666272.0
2024-01-04,3,1,0,0,33.1,10.0,1061939.0
2024-01-05,4,1,0,0,8.25,10.0,271311.0
2024-01-06,5,0,1,0,80.12,16.0,1961076.0
2024-01-07,6,0,1,0,81.66,20.0,2611058.0
2024-01-08,0,0,0,1,17.0,20.0,833109.0
2024-01-09,1,1,0,0,8.06,18.0,326086.0
2024-01-10,2,1,0,0,6.07,17.0,228739.0
2024-01-11,3,1,0,0,33.28,17.0,1127781.0
2024-01-12,4,1,0,0,31.45,17.0,1145801.0
2024-01-13,5,0,1,0,24.55,18.0,703608.0
2024-01-14,6,0,1,0,115.07,17.0,2910166.0
2024-01-15,0,1,0,0,12.36,17.0,274425.0
2024-01-16,1,1,0,0,25.39,23.0,699674.0
2024-01-17,2,1,0,0,29.66,27.0,956239.0
2024-01-18,3,1,0,0,32.34,25.0,1238100.0
2024-01-19,4,1,0,0,71.03,22.0,3413830.0
2024-01-20,5,0,1,0,23.64,25.0,973997.0
2024-01-21,6,0,1,0,19.83,26.0,818367.0
2024-01-22,0,1,0,0,71.91,23.0,2411430.0
2024-01-23,1,1,0,0,41.84,19.0,1430426.0
2024-01-24,2,1,0,0,26.97,22.0,1067722.0
2024-01-25,3,1,0,0,26.97,27.0,1278073.0
2024-01-26,4,1,0,0,11.32,32.0,499673.0
2024-01-27,5,0,1,0,37.44,26.0,1483470.0
2024-01-28,6,0,1,0,64.88,22.0,2131221.0
2024-01-29,0,1,0,0,128.37,21.0,4737315.0
2024-01-30,1,1,0,0,101.18,27.0,2960739.0
2024-01-31,2,1,0,0,180.61,25.0,6053416.0
2024-02-01,3,1,0,0,24.9,21.0,1088069.0
2024-02-02,4,1,0,0,26.88,19.0,818067.0
2024-02-03,5,0,1,0,90.9,20.0,4968543.0
2024-02-04,6,0,1,0,149.08,22.0,7446489.0
2024-02-05,0,1,0,0,66.65,20.0,3126333.0
2024-02-06,1,1,0,0,119.96,20.0,5588789.0
2024-02-07,2,1,0,0,80.18,22.0,4125708.0
2024-02-08,3,1,0,0,140.17,29.0,6084468.0
2024-02-09,4,1,0,0,233.77,28.0,9018048.0
2024-02-10,5,0,1,0,113.85,25.0,5722273.0
2024-02-11,6,0,1,0,145.53,23.0,6184249.0
2024-02-12,0,1,0,0,174.69,23.0,5787647.0
2024-02-13,1,1,0,0,181.57,25.0,5079613.0
2024-02-14,2,1,0,0,74.39,30.0,1830320.0
2024-02-15,3,1,0,0,121.61,33.0,4582898.0
2024-02-16,4,1,0,0,245.25,33.0,8371745.0
2024-02-17,5,0,1,0,160.78,33.0,5503747.0
2024-02-18,6,0,1,0,125.48,28.0,5191990.0
2024-02-19,0,1,0,0,61.8,25.0,2863816.0
2024-02-20,1,1,0,0,114.06,22.0,4414876.0
2024-02-21,2,1,0,0,117.45,27.0,4345208.0
2024-02-22,3,1,0,0,187.16,32.0,9143520.0
2024-02-23,4,1,0,0,150.71,32.0,6864083.0
2024-02-24,5,0,1,0,61.46,28.0,2470143.0
2024-02-25,6,0,1,0,13.94,23.0,762822.0
2024-02-26,0,1,0,0,105.16,24.0,3741027.0
2024-02-27,1,1,0,0,65.29,24.0,2420036.0
2024-02-28,2,1,0,0,75.63,26.0,4074507.0
2024-02-29,3,1,0,0,282.86,28.0,7274618.0
2024-03-01,4,1,0,0,184.12,30.0,7100830.0
2024-03-02,5,0,1,0,107.42,32.0,3578700.0
2024-03-03,6,0,1,0,118.23,27.0,5243020.0
2024-03-04,0,1,0,0,59.38,26.0,2678103.0
2024-03-05,1,1,0,0,61.43,23.0,2674205.0
2024-03-06,2,1,0,0,114.08,27.0,4418930.0
2024-03-07,3,1,0,0,82.5,33.0,2852952.0
2024-03-08,4,1,0,0,195.31,36.0,6777437.0
2024-03-09,5,0,1,0,54.74,40.0,1763336.0
2024-03-10,6,0,1,0,123.94,40.0,3857155.0
2024-03-11,0,1,0,0,166.45,38.0,5097880.0
2024-03-12,1,1,0,0,137.15,37.0,3943581.0
2024-03-13,2,1,0,0,68.23,40.0,1654933.0
2024-03-14,3,1,0,0,38.29,37.0,1209362.0
2024-03-15,4,1,0,0,103.15,29.0,4301032.0
2024-03-16,5,0,1,0,118.97,32.0,4343127.0
2024-03-17,6,0,1,0,48.73,34.0,2032047.0
2024-03-18,0,1,0,0,58.62,34.0,2271314.0
2024-03-19,1,1,0,0,65.52,31.0,1609592.0
2024-03-20,2,1,0,0,64.23,32.0,1377235.0
2024-03-21,3,1,0,0,141.54,33.0,4020875.0
2024-03-22,4,1,0,0,161.05,32.0,5092942.0
2024-03-23,5,0,1,0,258.92,32.0,6585070.0
2024-03-24,6,0,1,0,71.01,28.0,2090495.0
2024-03-25,0,0,0,1,172.64,21.0,3916732.0
2024-03-26,1,1,0,0,97.09,19.0,2427829.0
2024-03-27,2,1,0,0,39.63,24.0,1034685.0
2024-03-28,3,0,0,1,62.16,25.0,1291463.0
2024-03-29,4,0,0,1,153.4,27.0,4903203.0
2024-03-30,5,0,1,0,200.37,28.0,4081147.0
2024-03-31,6,0,1,0,67.18,29.0,1664809.0
2024-04-01,0,1,0,0,21.26,16.0,701207.0
2024-04-02,1,1,0,0,5.51,15.0,123725.0
2024-04-03,2,1,0,0,36.23,19.0,1042266.0
2024-04-04,3,1,0,0,169.63,29.0,6270872.0
