FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,0.12,31.0,3130.0
2024-01-02,1,1,0,0,0.34,29.0,9180.0
2024-01-03,2,1,0,0,0.57,29.0,21320.0
2024-01-04,3,1,0,0,0.28,31.0,9835.0
2024-01-05,4,1,0,0,0.28,40.0,9669.0
2024-01-06,5,0,1,0,0.24,44.0,5760.0
2024-01-07,6,0,1,0,0.15,44.0,5106.0
2024-01-08,0,0,0,1,0.06,34.0,2568.0
2024-01-09,1,1,0,0,0.12,34.0,4864.0
2024-01-10,2,1,0,0,0.12,33.0,4723.0
2024-01-11,3,1,0,0,0.22,40.0,7860.0
2024-01-12,4,1,0,0,0.25,37.0,9675.0
2024-01-13,5,0,1,0,0.15,32.0,4265.0
2024-01-14,6,0,1,0,0.12,29.0,3194.0
2024-01-15,0,1,0,0,0.25,32.0,5780.0
2024-01-16,1,1,0,0,3.44,42.0,95413.0
2024-01-17,2,1,0,0,0.4,43.0,13067.0
2024-01-18,3,1,0,0,0.12,43.0,5135.0
2024-01-19,4,1,0,0,0.28,34.0,13469.0
2024-01-20,5,0,1,0,0.1,31.0,4507.0
2024-01-21,6,0,1,0,0.09,27.0,3719.0
2024-01-22,0,1,0,0,0.25,28.0,8785.0
2024-01-23,1,1,0,0,0.16,29.0,5045.0
2024-01-24,2,1,0,0,0.5,32.0,20320.0
2024-01-25,3,1,0,0,0.59,42.0,28909.0
2024-01-26,4,1,0,0,0.31,46.0,13185.0
2024-01-27,5,0,1,0,0.4,40.0,15824.0
2024-01-28,6,0,1,0,0.31,43.0,10249.0
2024-01-29,0,1,0,0,36.6,48.0,1381947.0
2024-01-30,1,1,0,0,14.46,54.0,428304.0
2024-01-31,2,1,0,0,0.18,49.0,6640.0
2024-02-01,3,1,0,0,0.31,49.0,14548.0
2024-02-02,4,1,0,0,0.43,46.0,13371.0
2024-02-03,5,0,1,0,0.38,40.0,22124.0
2024-02-04,6,0,1,0,0.13,39.0,6162.0
2024-02-05,0,1,0,0,0.13,36.0,5929.0
2024-02-06,1,1,0,0,0.28,53.0,13281.0
2024-02-07,2,1,0,0,3.29,56.0,175486.0
2024-02-08,3,1,0,0,0.15,49.0,6652.0
2024-02-09,4,1,0,0,0.34,33.0,13256.0
2024-02-10,5,0,1,0,2.22,31.0,111087.0
