FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,2.33,19.0,64697.0
2024-01-02,1,1,0,0,128.47,14.0,3385303.0
2024-01-03,2,1,0,0,21.1,12.0,767988.0
2024-01-04,3,1,0,0,54.71,14.0,1781692.0
2024-01-05,4,1,0,0,5.76,13.0,190573.0
2024-01-06,5,0,1,0,0.25,16.0,5887.0
2024-01-07,6,0,1,0,10.34,19.0,327348.0
2024-01-08,0,0,0,1,0.07,22.0,3512.0
2024-01-09,1,1,0,0,0.19,20.0,8170.0
2024-01-10,2,1,0,0,0.1,18.0,3499.0
2024-01-11,3,1,0,0,0.06,20.0,1867.0
2024-01-12,4,1,0,0,0.22,17.0,7599.0
2024-01-13,5,0,1,0,0.06,14.0,1774.0
2024-01-14,6,0,1,0,0.06,13.0,1507.0
2024-01-15,0,1,0,0,0.06,13.0,1405.0
2024-01-16,1,1,0,0,0.06,19.0,1726.0
2024-01-17,2,1,0,0,0.91,22.0,28617.0
2024-01-18,3,1,0,0,0.06,22.0,2352.0
2024-01-19,4,1,0,0,0.07,15.0,2788.0
2024-01-20,5,0,1,0,0.0,17.0,582.0
2024-01-21,6,0,1,0,0.16,20.0,6284.0
2024-01-22,0,1,0,0,0.19,17.0,5812.0
2024-01-23,1,1,0,0,0.03,11.0,546.0
2024-01-24,2,1,0,0,2.09,9.0,405655.0
2024-01-25,3,1,0,0,1.55,13.0,435486.0
2024-01-26,4,1,0,0,1.31,16.0,453078.0
2024-01-27,5,0,1,0,6.76,16.0,258526.0
2024-01-28,6,0,1,0,4.12,20.0,133377.0
2024-01-29,0,1,0,0,89.99,20.0,3284484.0
2024-01-30,1,1,0,0,34.83,20.0,1001642.0
2024-01-31,2,1,0,0,6.81,16.0,221595.0
2024-02-01,3,1,0,0,5.83,11.0,237748.0
2024-02-02,4,1,0,0,0.03,10.0,726.0
2024-02-03,5,0,1,0,5.45,15.0,285968.0
2024-02-04,6,0,1,0,14.27,22.0,705240.0
2024-02-05,0,1,0,0,4.44,20.0,206050.0
2024-02-06,1,1,0,0,0.55,19.0,25660.0
2024-02-07,2,1,0,0,3.21,19.0,160966.0
2024-02-08,3,1,0,0,13.5,18.0,565468.0
2024-02-09,4,1,0,0,2.24,20.0,84217.0
2024-02-10,5,0,1,0,17.06,23.0,845749.0
2024-02-11,6,0,1,0,8.96,22.0,376902.0
2024-02-12,0,1,0,0,16.25,18.0,527854.0
2024-02-13,1,1,0,0,14.26,18.0,391137.0
2024-02-14,2,1,0,0,46.16,25.0,1125121.0
2024-02-15,3,1,0,0,103.06,28.0,3838577.0
2024-02-16,4,1,0,0,18.92,25.0,636284.0
