FECHA_CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB
2024-01-01,0,0,0,1,598.28,32.0,5068376.0
2024-01-02,1,1,0,0,1130.87,35.0,11852598.0
2024-01-03,2,1,0,0,655.09,36.0,7676773.0
2024-01-04,3,1,0,0,722.43,31.0,10190781.0
2024-01-05,4,1,0,0,292.77,43.0,3636333.0
2024-01-06,5,0,1,0,745.7,47.0,16283845.0
2024-01-07,6,0,1,0,236.69,57.0,6578690.0
2024-01-08,0,0,0,1,412.42,49.0,5489122.0
2024-01-09,1,1,0,0,585.22,47.0,4292944.0
2024-01-10,2,1,0,0,767.41,35.0,9056036.0
2024-01-11,3,1,0,0,401.59,44.0,4643114.0
2024-01-12,4,1,0,0,1274.0,38.0,8754875.0
2024-01-13,5,0,1,0,994.02,32.0,7606698.0
2024-01-14,6,0,1,0,555.43,35.0,6750635.0
2024-01-15,0,1,0,0,1068.08,44.0,10664553.0
2024-01-16,1,1,0,0,488.7,43.0,5304365.0
2024-01-17,2,1,0,0,876.18,39.0,9315115.0
2024-01-18,3,1,0,0,520.05,32.0,4080303.0
2024-01-19,4,1,0,0,1707.85,28.0,12332365.0
2024-01-20,5,0,1,0,35.84,38.0,230769.0
2024-01-21,6,0,1,0,3.18,45.0,988700.0
2024-01-22,0,1,0,0,26.59,47.0,162323.0
2024-01-23,1,1,0,0,31.57,47.0,674292.0
2024-01-24,2,1,0,0,15.22,50.0,256414.0
2024-01-25,3,1,0,0,55.88,31.0,620242.0
2024-01-26,4,1,0,0,1790.08,30.0,9544603.0
2024-01-27,5,0,1,0,5.97,38.0,11367.0
2024-01-28,6,0,1,0,803.17,47.0,541362.0
2024-01-29,0,1,0,0,969.41,41.0,6231484.0
2024-01-30,1,1,0,0,725.44,37.0,7911356.0
2024-01-31,2,1,0,0,39.77,30.0,8270000.0
2024-02-01,3,1,0,0,954.11,26.0,7636573.0
2024-02-02,4,1,0,0,887.97,38.0,11431746.0
2024-02-03,5,0,1,0,152.68,49.0,892193.0
2024-02-04,6,0,1,0,64.47,48.0,481906.0
2024-02-05,0,1,0,0,84.01,47.0,501843.0
2024-02-06,1,1,0,0,110.22,53.0,622586.0
2024-02-07,2,1,0,0,121.26,36.0,935119.0
2024-02-08,3,1,0,0,1950.45,31.0,19904515.0
2024-02-09,4,1,0,0,233.15,41.0,1690507.0
2024-02-10,5,0,1,0,71.31,61.0,359483.0
2024-02-11,6,0,1,0,341.33,55.0,2129626.0
2024-02-12,0,1,0,0,101.36,55.0,395289.0
2024-02-13,1,1,0,0,457.89,40.0,5693691.0
2024-02-14,2,1,0,0,921.35,33.0,14095021.0
2024-02-15,3,1,0,0,776.41,38.0,4659264.0
2024-02-16,4,1,0,0,1312.91,58.0,11290809.0
2024-02-17,5,0,1,0,798.99,63.0,6822674.0
2024-02-18,6,0,1,0,241.08,57.0,2497224.0
2024-02-19,0,1,0,0,108.56,42.0,1027203.0
2024-02-20,1,1,0,0,1874.81,24.0,13961694.0
2024-02-21,2,1,0,0,1596.26,26.0,7637036.0
2024-02-22,3,1,0,0,130.46,38.0,313906.0
2024-02-23,4,1,0,0,161.09,45.0,862095.0
2024-02-24,5,0,1,0,142.75,44.0,1207675.0
2024-02-25,6,0,1,0,29.2,52.0,162273.0
2024-02-26,0,1,0,0,115.21,40.0,57949.0
2024-02-27,1,1,0,0,35.74,32.0,3027.0
2024-02-28,2,1,0,0,797.43,34.0,28858.0
2024-02-29,3,1,0,0,270.92,48.0,7427.0
2024-03-01,4,1,0,0,831.16,51.0,31629.0
2024-03-02,5,0,1,0,1231.67,54.0,23615.0
2024-03-03,6,0,1,0,449.97,53.0,12675.0
2024-03-04,0,1,0,0,406.29,10.0,11251.0
2024-03-05,1,1,0,0,1.53,101.0,554.0
2024-03-06,2,1,0,0,444.49,242.0,64639749.0
2024-03-07,3,1,0,0,447.39,346.0,64017163.0
2024-03-08,4,1,0,0,466.29,314.0,63082044.0
2024-03-09,5,0,1,0,19.63,313.0,39994270.0
2024-03-10,6,0,1,0,19.11,312.0,38811667.0
2024-03-11,0,1,0,0,18.16,311.0,36771848.0
