FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-01-01,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,20.0,24708.0,"0,84%",0,0,0,1
2024-01-02,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,22.0,11925.0,"0,42%",1,1,0,0
2024-01-03,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,21.0,5857.0,"0,15%",2,1,0,0
2024-01-04,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,16.0,1637.0,"0,06%",3,1,0,0
2024-01-05,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,14.0,1654006.0,"45,99%",4,1,0,0
2024-01-06,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,15.0,1632214.0,"64,04%",5,0,1,0
2024-01-07,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,13.0,1871862.0,"56,21%",6,0,1,0
2024-01-08,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,28.0,2464932.0,"47,05%",0,0,0,1
2024-01-09,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,32.0,6491785.0,"150,66%",1,1,0,0
2024-01-10,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,26.0,5345662.0,"133,30%",2,1,0,0
2024-01-11,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,17.0,11301065.0,"316,28%",3,1,0,0
2024-01-12,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,25.0,11397338.0,"295,21%",4,1,0,0
2024-01-13,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,21.0,7681743.0,"256,62%",5,0,1,0
2024-01-14,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,13.0,83837.0,"3,19%",6,0,1,0
2024-01-15,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,27.0,4947.0,"0,21%",0,1,0,0
2024-01-16,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,37.0,4420825.0,"155,28%",1,1,0,0
2024-01-17,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,34.0,9852411.0,"296,05%",2,1,0,0
2024-01-18,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,21.0,10957401.0,"274,99%",3,1,0,0
2024-01-19,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,22.0,9215322.0,"180,84%",4,1,0,0
2024-01-20,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,19.0,6316932.0,"146,94%",5,0,1,0
2024-01-21,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,16.0,3285.0,"0,09%",6,0,1,0
2024-01-22,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,41.0,58990.0,"1,68%",0,1,0,0
2024-01-23,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,49.0,7576377.0,"210,76%",1,1,0,0
2024-01-24,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,45.0,10722782.0,"257,65%",2,1,0,0
2024-01-25,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,24.0,2837118.0,"57,15%",3,1,0,0
2024-01-26,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,25.0,8831.0,"0,18%",4,1,0,0
2024-01-27,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,22.0,5327.0,"0,12%",5,0,1,0
2024-01-28,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,22.0,13001.0,"0,39%",6,0,1,0
2024-01-29,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,40.0,3360.0,"0,09%",0,1,0,0
2024-01-30,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,39.0,4008178.0,"133,02%",1,1,0,0
2024-01-31,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,36.0,12272955.0,"353,14%",2,1,0,0
2024-02-01,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,17.0,12982823.0,"281,36%",3,1,0,0
2024-02-02,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,22.0,10312279.0,"324,69%",4,1,0,0
2024-02-03,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,18.0,8185674.0,"139,21%",5,0,1,0
2024-02-04,URBANA,015_ZW Centro Cultural Comuna 13,13.0,MR76,17.0,5582188.0,"105,29%",6,0,1,0
