FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-01-01,URBANA,026_ZW Parque La Flora,2.0,MR76,45.0,1414414.0,"48,59%",0,0,0,1
2024-01-02,URBANA,026_ZW Parque La Flora,2.0,MR76,57.0,158518.0,"5,64%",1,1,0,0
2024-01-03,URBANA,026_ZW Parque La Flora,2.0,MR76,64.0,19106.0,"0,48%",2,1,0,0
2024-01-04,URBANA,026_ZW Parque La Flora,2.0,MR76,63.0,104281.0,"2,97%",3,1,0,0
2024-01-05,URBANA,026_ZW Parque La Flora,2.0,MR76,64.0,15212.0,"0,42%",4,1,0,0
2024-01-06,URBANA,026_ZW Parque La Flora,2.0,MR76,79.0,35715.0,"1,41%",5,0,1,0
2024-01-07,URBANA,026_ZW Parque La Flora,2.0,MR76,84.0,22855.0,"0,69%",6,0,1,0
2024-01-08,URBANA,026_ZW Parque La Flora,2.0,MR76,68.0,38008.0,"0,72%",0,0,0,1
2024-01-09,URBANA,026_ZW Parque La Flora,2.0,MR76,55.0,4251.0,"0,09%",1,1,0,0
2024-01-10,URBANA,026_ZW Parque La Flora,2.0,MR76,66.0,12558.0,"0,30%",2,1,0,0
2024-01-11,URBANA,026_ZW Parque La Flora,2.0,MR76,87.0,16844.0,"0,48%",3,1,0,0
2024-01-12,URBANA,026_ZW Parque La Flora,2.0,MR76,72.0,8476.0,"0,21%",4,1,0,0
2024-01-13,URBANA,026_ZW Parque La Flora,2.0,MR76,80.0,10820.0,"0,36%",5,0,1,0
2024-01-14,URBANA,026_ZW Parque La Flora,2.0,MR76,81.0,2445694.0,"92,75%",6,0,1,0
2024-01-15,URBANA,026_ZW Parque La Flora,2.0,MR76,87.0,4943840.0,"214,48%",0,1,0,0
2024-01-16,URBANA,026_ZW Parque La Flora,2.0,MR76,56.0,7927418.0,"278,28%",1,1,0,0
2024-01-17,URBANA,026_ZW Parque La Flora,2.0,MR76,46.0,149054.0,"4,48%",2,1,0,0
2024-01-18,URBANA,026_ZW Parque La Flora,2.0,MR76,47.0,2855742.0,"71,53%",3,1,0,0
2024-01-19,URBANA,026_ZW Parque La Flora,2.0,MR76,66.0,10132981.0,"198,29%",4,1,0,0
2024-01-20,URBANA,026_ZW Parque La Flora,2.0,MR76,85.0,13465650.0,"312,24%",5,0,1,0
2024-01-21,URBANA,026_ZW Parque La Flora,2.0,MR76,81.0,10526673.0,"244,12%",6,0,1,0
2024-01-22,URBANA,026_ZW Parque La Flora,2.0,MR76,60.0,6660722.0,"190,75%",0,1,0,0
2024-01-23,URBANA,026_ZW Parque La Flora,2.0,MR76,49.0,2437254.0,"67,79%",1,1,0,0
2024-01-24,URBANA,026_ZW Parque La Flora,2.0,MR76,67.0,1167483.0,"28,02%",2,1,0,0
2024-01-25,URBANA,026_ZW Parque La Flora,2.0,MR76,86.0,41289.0,"0,84%",3,1,0,0
2024-01-26,URBANA,026_ZW Parque La Flora,2.0,MR76,73.0,8268.0,"0,18%",4,1,0,0
2024-01-27,URBANA,026_ZW Parque La Flora,2.0,MR76,72.0,8968.0,"0,21%",5,0,1,0
2024-01-28,URBANA,026_ZW Parque La Flora,2.0,MR76,66.0,10534.0,"0,30%",6,0,1,0
2024-01-29,URBANA,026_ZW Parque La Flora,2.0,MR76,70.0,22190.0,"0,57%",0,1,0,0
2024-01-30,URBANA,026_ZW Parque La Flora,2.0,MR76,65.0,154585.0,"5,13%",1,1,0,0
2024-01-31,URBANA,026_ZW Parque La Flora,2.0,MR76,72.0,15070.0,"0,42%",2,1,0,0
2024-02-01,URBANA,026_ZW Parque La Flora,2.0,MR76,59.0,6337.0,"0,15%",3,1,0,0
2024-02-02,URBANA,026_ZW Parque La Flora,2.0,MR76,54.0,7113.0,"0,21%",4,1,0,0
2024-02-03,URBANA,026_ZW Parque La Flora,2.0,MR76,51.0,5616.0,"0,09%",5,0,1,0
2024-02-04,URBANA,026_ZW Parque La Flora,2.0,MR76,41.0,17231.0,"0,33%",6,0,1,0
2024-02-05,URBANA,026_ZW Parque La Flora,2.0,MR76,39.0,729.0,"0,00%",0,1,0,0
2024-02-06,URBANA,026_ZW Parque La Flora,2.0,MR76,40.0,13695.0,"0,27%",1,1,0,0
2024-02-07,URBANA,026_ZW Parque La Flora,2.0,MR76,51.0,64905.0,"1,17%",2,1,0,0
2024-02-08,URBANA,026_ZW Parque La Flora,2.0,MR76,44.0,8669.0,"0,18%",3,1,0,0
2024-02-09,URBANA,026_ZW Parque La Flora,2.0,MR76,51.0,16166.0,"0,39%",4,1,0,0
2024-02-10,URBANA,026_ZW Parque La Flora,2.0,MR76,64.0,10090.0,"0,18%",5,0,1,0
2024-02-11,URBANA,026_ZW Parque La Flora,2.0,MR76,75.0,29694.0,"0,66%",6,0,1,0
2024-02-12,URBANA,026_ZW Parque La Flora,2.0,MR76,65.0,4248325.0,"123,20%",0,1,0,0
2024-02-13,URBANA,026_ZW Parque La Flora,2.0,MR76,50.0,408035.0,"14,14%",1,1,0,0
2024-02-14,URBANA,026_ZW Parque La Flora,2.0,MR76,57.0,826643.0,"32,84%",2,1,0,0
2024-02-15,URBANA,026_ZW Parque La Flora,2.0,MR76,61.0,6477928.0,"166,59%",3,1,0,0
2024-02-16,URBANA,026_ZW Parque La Flora,2.0,MR76,71.0,749038.0,"21,32%",4,1,0,0
2024-02-17,URBANA,026_ZW Parque La Flora,2.0,MR76,83.0,20530.0,"0,57%",5,0,1,0
2024-02-18,URBANA,026_ZW Parque La Flora,2.0,MR76,70.0,28364.0,"0,66%",6,0,1,0
2024-02-19,URBANA,026_ZW Parque La Flora,2.0,MR76,54.0,271003.0,"5,56%",0,1,0,0
2024-02-20,URBANA,026_ZW Parque La Flora,2.0,MR76,43.0,929204.0,"22,87%",1,1,0,0
2024-02-21,URBANA,026_ZW Parque La Flora,2.0,MR76,59.0,906171.0,"23,58%",2,1,0,0
2024-02-22,URBANA,026_ZW Parque La Flora,2.0,MR76,56.0,1240110.0,"24,34%",3,1,0,0
2024-02-23,URBANA,026_ZW Parque La Flora,2.0,MR76,58.0,10149.0,"0,21%",4,1,0,0
2024-02-24,URBANA,026_ZW Parque La Flora,2.0,MR76,73.0,16102.0,"0,39%",5,0,1,0
2024-02-25,URBANA,026_ZW Parque La Flora,2.0,MR76,84.0,24849.0,"0,42%",6,0,1,0
2024-02-26,URBANA,026_ZW Parque La Flora,2.0,MR76,82.0,8286.0,"0,21%",0,1,0,0
2024-02-27,URBANA,026_ZW Parque La Flora,2.0,MR76,58.0,10641.0,"0,27%",1,1,0,0
2024-02-28,URBANA,026_ZW Parque La Flora,2.0,MR76,52.0,2841.0,"0,06%",2,1,0,0
2024-02-29,URBANA,026_ZW Parque La Flora,2.0,MR76,51.0,38448.0,"1,47%",3,1,0,0
2024-03-01,URBANA,026_ZW Parque La Flora,2.0,MR76,56.0,6532.0,"0,15%",4,1,0,0
2024-03-02,URBANA,026_ZW Parque La Flora,2.0,MR76,56.0,11827.0,"0,33%",5,0,1,0
2024-03-03,URBANA,026_ZW Parque La Flora,2.0,MR76,60.0,25150.0,"0,54%",6,0,1,0
2024-03-04,URBANA,026_ZW Parque La Flora,2.0,MR76,68.0,8249.0,"0,18%",0,1,0,0
2024-03-05,URBANA,026_ZW Parque La Flora,2.0,MR76,65.0,23585.0,"0,51%",1,1,0,0
2024-03-06,URBANA,026_ZW Parque La Flora,2.0,MR76,66.0,8361.0,"0,21%",2,1,0,0
2024-03-07,URBANA,026_ZW Parque La Flora,2.0,MR76,62.0,19222.0,"0,54%",3,1,0,0
2024-03-08,URBANA,026_ZW Parque La Flora,2.0,MR76,67.0,5545.0,"0,15%",4,1,0,0
2024-03-09,URBANA,026_ZW Parque La Flora,2.0,MR76,93.0,144403.0,"4,38%",5,0,1,0
2024-03-10,URBANA,026_ZW Parque La Flora,2.0,MR76,98.0,1414313.0,"44,48%",6,0,1,0
2024-03-11,URBANA,026_ZW Parque La Flora,2.0,MR76,80.0,5657561.0,"180,69%",0,1,0,0
2024-03-12,URBANA,026_ZW Parque La Flora,2.0,MR76,48.0,2540620.0,"86,52%",1,1,0,0
2024-03-13,URBANA,026_ZW Parque La Flora,2.0,MR76,47.0,257055.0,"10,42%",2,1,0,0
2024-03-14,URBANA,026_ZW Parque La Flora,2.0,MR76,47.0,4837124.0,"149,75%",3,1,0,0
2024-03-15,URBANA,026_ZW Parque La Flora,2.0,MR76,61.0,811485.0,"18,71%",4,1,0,0
2024-03-16,URBANA,026_ZW Parque La Flora,2.0,MR76,70.0,9857.0,"0,27%",5,0,1,0
2024-03-17,URBANA,026_ZW Parque La Flora,2.0,MR76,72.0,16339.0,"0,39%",6,0,1,0
2024-03-18,URBANA,026_ZW Parque La Flora,2.0,MR76,68.0,20470.0,"0,51%",0,1,0,0
2024-03-19,URBANA,026_ZW Parque La Flora,2.0,MR76,61.0,10022.0,"0,39%",1,1,0,0
2024-03-20,URBANA,026_ZW Parque La Flora,2.0,MR76,53.0,2595.0,"0,12%",2,1,0,0
2024-03-21,URBANA,026_ZW Parque La Flora,2.0,MR76,44.0,15322.0,"0,54%",3,1,0,0
2024-03-22,URBANA,026_ZW Parque La Flora,2.0,MR76,56.0,8220.0,"0,24%",4,1,0,0
2024-03-23,URBANA,026_ZW Parque La Flora,2.0,MR76,82.0,11673.0,"0,45%",5,0,1,0
2024-03-24,URBANA,026_ZW Parque La Flora,2.0,MR76,76.0,23212.0,"0,78%",6,0,1,0
2024-03-25,URBANA,026_ZW Parque La Flora,2.0,MR76,57.0,3276876.0,"140,20%",0,0,0,1
2024-03-26,URBANA,026_ZW Parque La Flora,2.0,MR76,47.0,4331529.0,"167,01%",1,1,0,0
2024-03-27,URBANA,026_ZW Parque La Flora,2.0,MR76,55.0,7551897.0,"280,73%",2,1,0,0
2024-03-28,URBANA,026_ZW Parque La Flora,2.0,MR76,60.0,5192917.0,"244,29%",3,0,0,1
2024-03-29,URBANA,026_ZW Parque La Flora,2.0,MR76,74.0,5853367.0,"177,25%",4,0,0,1
2024-03-30,URBANA,026_ZW Parque La Flora,2.0,MR76,70.0,253773.0,"12,22%",5,0,1,0
2024-03-31,URBANA,026_ZW Parque La Flora,2.0,MR76,53.0,4040.0,"0,15%",6,0,1,0
2024-04-01,URBANA,026_ZW Parque La Flora,2.0,MR76,47.0,6524.0,"0,18%",0,1,0,0
2024-04-02,URBANA,026_ZW Parque La Flora,2.0,MR76,49.0,2153.0,"0,09%",1,1,0,0
2024-04-03,URBANA,026_ZW Parque La Flora,2.0,MR76,34.0,3320031.0,"110,71%",2,1,0,0
2024-04-04,URBANA,026_ZW Parque La Flora,2.0,MR76,36.0,867418.0,"22,66%",3,1,0,0
2024-04-05,URBANA,026_ZW Parque La Flora,2.0,MR76,57.0,9733914.0,"260,15%",4,1,0,0
2024-04-06,URBANA,026_ZW Parque La Flora,2.0,MR76,77.0,5942535.0,"148,27%",5,0,1,0
2024-04-07,URBANA,026_ZW Parque La Flora,2.0,MR76,64.0,5573658.0,"139,95%",6,0,1,0
2024-04-08,URBANA,026_ZW Parque La Flora,2.0,MR76,47.0,1095611.0,"46,48%",0,1,0,0
2024-04-09,URBANA,026_ZW Parque La Flora,2.0,MR76,42.0,1175959.0,"46,16%",1,1,0,0
2024-04-10,URBANA,026_ZW Parque La Flora,2.0,MR76,56.0,1268449.0,"89,56%",2,1,0,0
2024-04-11,URBANA,026_ZW Parque La Flora,2.0,MR76,63.0,875722.0,"59,51%",3,1,0,0
2024-04-12,URBANA,026_ZW Parque La Flora,2.0,MR76,62.0,5668.0,"0,24%",4,1,0,0
2024-04-13,URBANA,026_ZW Parque La Flora,2.0,MR76,78.0,95109.0,"3,36%",5,0,1,0
2024-04-14,URBANA,026_ZW Parque La Flora,2.0,MR76,88.0,37327.0,"1,62%",6,0,1,0
2024-04-15,URBANA,026_ZW Parque La Flora,2.0,MR76,82.0,7799.0,"0,57%",0,1,0,0
2024-04-16,URBANA,026_ZW Parque La Flora,2.0,MR76,63.0,53535.0,"3,78%",1,1,0,0
2024-04-17,URBANA,026_ZW Parque La Flora,2.0,MR76,45.0,9983.0,"0,81%",2,1,0,0
2024-04-18,URBANA,026_ZW Parque La Flora,2.0,MR76,27.0,216675.0,"22,33%",3,1,0,0
2024-04-19,URBANA,026_ZW Parque La Flora,2.0,MR76,22.0,369451.0,"27,36%",4,1,0,0
2024-04-20,URBANA,026_ZW Parque La Flora,2.0,MR76,38.0,1366005.0,"52,50%",5,0,1,0
2024-04-21,URBANA,026_ZW Parque La Flora,2.0,MR76,39.0,2643501.0,"128,27%",6,0,1,0
2024-04-22,URBANA,026_ZW Parque La Flora,2.0,MR76,42.0,9786384.0,"631,62%",0,1,0,0
2024-04-23,URBANA,026_ZW Parque La Flora,2.0,MR76,39.0,2095395.0,"34,32%",1,1,0,0
2024-04-24,URBANA,026_ZW Parque La Flora,2.0,MR76,50.0,4295061.0,"70,28%",2,1,0,0
2024-04-25,URBANA,026_ZW Parque La Flora,2.0,MR76,47.0,1889205.0,"47,83%",3,1,0,0
2024-04-26,URBANA,026_ZW Parque La Flora,2.0,MR76,44.0,1711392.0,"51,31%",4,1,0,0
2024-04-27,URBANA,026_ZW Parque La Flora,2.0,MR76,47.0,1360535.0,"33,50%",5,0,1,0
2024-04-28,URBANA,026_ZW Parque La Flora,2.0,MR76,52.0,1108192.0,"45,04%",6,0,1,0
2024-04-29,URBANA,026_ZW Parque La Flora,2.0,MR76,63.0,2663623.0,"99,88%",0,1,0,0
2024-04-30,URBANA,026_ZW Parque La Flora,2.0,MR76,64.0,5361272.0,"255,44%",1,1,0,0
2024-05-01,URBANA,026_ZW Parque La Flora,2.0,MR76,71.0,3276275.0,"186,98%",2,0,0,1
2024-05-02,URBANA,026_ZW Parque La Flora,2.0,MR76,57.0,4511997.0,"264,61%",3,1,0,0
2024-05-03,URBANA,026_ZW Parque La Flora,2.0,MR76,46.0,7700.0,"0,51%",4,1,0,0
2024-05-04,URBANA,026_ZW Parque La Flora,2.0,MR76,42.0,13274.0,"0,54%",5,0,1,0
2024-05-05,URBANA,026_ZW Parque La Flora,2.0,MR76,46.0,2107020.0,"102,62%",6,0,1,0
2024-05-06,URBANA,026_ZW Parque La Flora,2.0,MR76,50.0,2347270.0,"147,44%",0,1,0,0
2024-05-07,URBANA,026_ZW Parque La Flora,2.0,MR76,43.0,4263232.0,"211,10%",1,1,0,0
2024-05-08,URBANA,026_ZW Parque La Flora,2.0,MR76,34.0,1172252.0,"44,46%",2,1,0,0
2024-05-09,URBANA,026_ZW Parque La Flora,2.0,MR76,29.0,863023.0,"29,42%",3,1,0,0
2024-05-10,URBANA,026_ZW Parque La Flora,2.0,MR76,42.0,1918760.0,"73,04%",4,1,0,0
2024-05-11,URBANA,026_ZW Parque La Flora,2.0,MR76,52.0,2822201.0,"113,70%",5,0,1,0
2024-05-12,URBANA,026_ZW Parque La Flora,2.0,MR76,64.0,172961.0,"12,57%",6,0,1,0
2024-05-13,URBANA,026_ZW Parque La Flora,2.0,MR76,57.0,36709.0,"1,98%",0,0,0,1
2024-05-14,URBANA,026_ZW Parque La Flora,2.0,MR76,46.0,32177.0,"4,44%",1,1,0,0
2024-05-15,URBANA,026_ZW Parque La Flora,2.0,MR76,23.0,1266556.0,"61,59%",2,1,0,0
2024-05-16,URBANA,026_ZW Parque La Flora,2.0,MR76,30.0,355431.0,"13,10%",3,1,0,0
2024-05-17,URBANA,026_ZW Parque La Flora,2.0,MR76,45.0,2150969.0,"62,15%",4,1,0,0
2024-05-18,URBANA,026_ZW Parque La Flora,2.0,MR76,71.0,10875855.0,"297,47%",5,0,1,0
2024-05-19,URBANA,026_ZW Parque La Flora,2.0,MR76,68.0,4454166.0,"114,38%",6,0,1,0
2024-05-20,URBANA,026_ZW Parque La Flora,2.0,MR76,62.0,3305963.0,"140,97%",0,1,0,0
2024-05-21,URBANA,026_ZW Parque La Flora,2.0,MR76,50.0,554019.0,"21,41%",1,1,0,0
2024-05-22,URBANA,026_ZW Parque La Flora,2.0,MR76,50.0,358217.0,"41,74%",2,1,0,0
2024-05-23,URBANA,026_ZW Parque La Flora,2.0,MR76,53.0,1703318.0,"96,26%",3,1,0,0
2024-05-24,URBANA,026_ZW Parque La Flora,2.0,MR76,59.0,4957641.0,"315,23%",4,1,0,0
2024-05-25,URBANA,026_ZW Parque La Flora,2.0,MR76,54.0,4686818.0,"197,55%",5,0,1,0
2024-05-26,URBANA,026_ZW Parque La Flora,2.0,MR76,50.0,383447.0,"16,66%",6,0,1,0
2024-05-27,URBANA,026_ZW Parque La Flora,2.0,MR76,40.0,4472778.0,"158,02%",0,1,0,0
2024-05-28,URBANA,026_ZW Parque La Flora,2.0,MR76,29.0,333227.0,"13,43%",1,1,0,0
2024-05-29,URBANA,026_ZW Parque La Flora,2.0,MR76,21.0,1504938.0,"0,17%",2,1,0,0
2024-05-30,URBANA,026_ZW Parque La Flora,2.0,MR76,33.0,1311548.0,"32,95%",3,1,0,0
2024-05-31,URBANA,026_ZW Parque La Flora,2.0,MR76,52.0,412564.0,"13,33%",4,1,0,0
2024-06-01,URBANA,026_ZW Parque La Flora,2.0,MR76,79.0,4845714.0,"145,30%",5,0,1,0
2024-06-02,URBANA,026_ZW Parque La Flora,2.0,MR76,84.0,5861095.0,"179,52%",6,0,1,0
2024-06-03,URBANA,026_ZW Parque La Flora,2.0,MR76,67.0,77448.0,"3,36%",0,0,0,1
2024-06-04,URBANA,026_ZW Parque La Flora,2.0,MR76,36.0,8671.0,"0,57%",1,1,0,0
2024-06-05,URBANA,026_ZW Parque La Flora,2.0,MR76,38.0,1971.0,"0,21%",2,1,0,0
2024-06-06,URBANA,026_ZW Parque La Flora,2.0,MR76,54.0,19478.0,"0,96%",3,1,0,0
2024-06-07,URBANA,026_ZW Parque La Flora,2.0,MR76,69.0,6169.0,"0,39%",4,1,0,0
2024-06-08,URBANA,026_ZW Parque La Flora,2.0,MR76,68.0,36208.0,"3,45%",5,0,1,0
2024-06-09,URBANA,026_ZW Parque La Flora,2.0,MR76,58.0,12576.0,"1,29%",6,0,1,0
2024-06-10,URBANA,026_ZW Parque La Flora,2.0,MR76,65.0,3741.0,"0,21%",0,0,0,1
2024-06-11,URBANA,026_ZW Parque La Flora,2.0,MR76,76.0,7528.0,"0,36%",1,1,0,0
2024-06-12,URBANA,026_ZW Parque La Flora,2.0,MR76,79.0,42976.0,"1,74%",2,1,0,0
2024-06-13,URBANA,026_ZW Parque La Flora,2.0,MR76,53.0,14012.0,"818396,40%",3,1,0,0
2024-06-14,URBANA,026_ZW Parque La Flora,2.0,MR76,36.0,2338.0,"21081,30%",4,1,0,0
2024-06-15,URBANA,026_ZW Parque La Flora,2.0,MR76,41.0,1108233.0,"59645959,55%",5,0,1,0
2024-06-16,URBANA,026_ZW Parque La Flora,2.0,MR76,50.0,4814573.0,"259003366,66%",6,0,1,0
2024-06-17,URBANA,026_ZW Parque La Flora,2.0,MR76,57.0,1700224.0,"81,68%",0,1,0,0
2024-06-18,URBANA,026_ZW Parque La Flora,2.0,MR76,39.0,2700879.0,"128,10%",1,1,0,0
2024-06-19,URBANA,026_ZW Parque La Flora,2.0,MR76,42.0,586047.0,"24,95%",2,1,0,0
2024-06-20,URBANA,026_ZW Parque La Flora,2.0,MR76,58.0,23907.0,"1,44%",3,1,0,0
2024-06-21,URBANA,026_ZW Parque La Flora,2.0,MR76,94.0,7658.0,"0,39%",4,1,0,0
2024-06-22,URBANA,026_ZW Parque La Flora,2.0,MR76,78.0,17307.0,"0,99%",5,0,1,0
2024-06-23,URBANA,026_ZW Parque La Flora,2.0,MR76,66.0,3109.0,"0,36%",6,0,1,0
2024-06-24,URBANA,026_ZW Parque La Flora,2.0,MR76,66.0,5867.0,"0,33%",0,1,0,0
2024-06-25,URBANA,026_ZW Parque La Flora,2.0,MR76,87.0,4307.0,"0,33%",1,1,0,0
2024-06-26,URBANA,026_ZW Parque La Flora,2.0,MR76,74.0,8449.0,"0,66%",2,1,0,0
2024-06-27,URBANA,026_ZW Parque La Flora,2.0,MR76,67.0,6326.0,"0,57%",3,1,0,0
2024-06-28,URBANA,026_ZW Parque La Flora,2.0,MR76,77.0,21234.0,"1,11%",4,1,0,0
2024-06-29,URBANA,026_ZW Parque La Flora,2.0,MR76,89.0,10193.0,"0,51%",5,0,1,0
2024-06-30,URBANA,026_ZW Parque La Flora,2.0,MR76,95.0,40145.0,"2,58%",6,0,1,0
2024-07-01,URBANA,026_ZW Parque La Flora,2.0,MR76,81.0,33899.0,"1,41%",0,0,0,1
2024-07-02,URBANA,026_ZW Parque La Flora,2.0,MR76,70.0,205031.0,"6,63%",1,1,0,0
2024-07-03,URBANA,026_ZW Parque La Flora,2.0,MR76,65.0,7426.0,"0,26%",2,1,0,0
2024-07-04,URBANA,026_ZW Parque La Flora,2.0,MR76,67.0,6888.0,"0,26%",3,1,0,0
2024-07-05,URBANA,026_ZW Parque La Flora,2.0,MR76,59.0,2391697.0,"84,28%",4,1,0,0
2024-07-06,URBANA,026_ZW Parque La Flora,2.0,MR76,68.0,2094331.0,"74,69%",5,0,1,0
2024-07-07,URBANA,026_ZW Parque La Flora,2.0,MR76,89.0,4620419.0,"157,20%",6,0,1,0
2024-07-08,URBANA,026_ZW Parque La Flora,2.0,MR76,101.0,2020998.0,"109,16%",0,1,0,0
2024-07-09,URBANA,026_ZW Parque La Flora,2.0,MR76,77.0,2478243.0,"128,08%",1,1,0,0
2024-07-10,URBANA,026_ZW Parque La Flora,2.0,MR76,57.0,1363660.0,"59,28%",2,1,0,0
2024-07-11,URBANA,026_ZW Parque La Flora,2.0,MR76,61.0,13054.0,"0,53%",3,1,0,0
2024-07-12,URBANA,026_ZW Parque La Flora,2.0,MR76,86.0,28965.0,"1,37%",4,1,0,0
2024-07-13,URBANA,026_ZW Parque La Flora,2.0,MR76,79.0,12763.0,"0,54%",5,0,1,0
2024-07-14,URBANA,026_ZW Parque La Flora,2.0,MR76,75.0,7711.0,"0,36%",6,0,1,0
