FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-01-01,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,40.0,3197167.0,"109,95%",0,0,0,1
2024-01-02,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,39.0,4441260.0,"158,55%",1,1,0,0
2024-01-03,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,40.0,2804467.0,"69,61%",2,1,0,0
2024-01-04,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,51.0,3160761.0,"89,92%",3,1,0,0
2024-01-05,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,41.0,2936071.0,"81,43%",4,1,0,0
2024-01-06,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,41.0,2706619.0,"106,04%",5,0,1,0
2024-01-07,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,30.0,2897981.0,"86,87%",6,0,1,0
2024-01-08,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,27.0,1234143.0,"23,61%",0,0,0,1
2024-01-09,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,31.0,5686736.0,"132,13%",1,1,0,0
2024-01-10,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,51.0,6923701.0,"172,53%",2,1,0,0
2024-01-11,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,51.0,3100190.0,"86,59%",3,1,0,0
2024-01-12,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,40.0,1807119.0,"46,80%",4,1,0,0
2024-01-13,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,46.0,2114385.0,"70,56%",5,0,1,0
2024-01-14,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,50.0,5413769.0,"205,52%",6,0,1,0
2024-01-15,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,44.0,1336627.0,"58,04%",0,1,0,0
2024-01-16,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,38.0,1514945.0,"53,24%",1,1,0,0
2024-01-17,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,45.0,2836556.0,"85,25%",2,1,0,0
2024-01-18,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,66.0,1601354.0,"40,11%",3,1,0,0
2024-01-19,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,70.0,1008150.0,"19,75%",4,1,0,0
2024-01-20,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,72.0,1658226.0,"38,49%",5,0,1,0
2024-01-21,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,56.0,1732634.0,"40,22%",6,0,1,0
2024-01-22,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,55.0,723727.0,"20,73%",0,1,0,0
2024-01-23,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,56.0,1586281.0,"44,14%",1,1,0,0
2024-01-24,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,61.0,7962967.0,"191,36%",2,1,0,0
2024-01-25,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,65.0,6329286.0,"127,28%",3,1,0,0
2024-01-26,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,64.0,5225879.0,"114,01%",4,1,0,0
2024-01-27,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,75.0,6105247.0,"147,79%",5,0,1,0
2024-01-28,URBANA,029_ZW Centro Cultural Vista Hermosa,1.0,MR76,69.0,8802228.0,"257,23%",6,0,1,0
