FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-01-01,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,38.0,12851.0,"0,45%",0,0,0,1
2024-01-02,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,30.0,24207.0,"0,87%",1,1,0,0
2024-01-03,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,28.0,5300.0,"0,12%",2,1,0,0
2024-01-04,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,35.0,13560.0,"0,39%",3,1,0,0
2024-01-05,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,42.0,7370.0,"0,21%",4,1,0,0
2024-01-06,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,45.0,19548.0,"0,75%",5,0,1,0
2024-01-07,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,44.0,2762355.0,"82,63%",6,0,1,0
2024-01-08,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,40.0,4260872.0,"81,17%",0,0,0,1
2024-01-09,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,40.0,991712.0,"22,98%",1,1,0,0
2024-01-10,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,38.0,2589994.0,"64,48%",2,1,0,0
2024-01-11,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,39.0,3664857.0,"102,28%",3,1,0,0
2024-01-12,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,43.0,20342089.0,"525,93%",4,1,0,0
2024-01-13,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,46.0,6415942.0,"213,93%",5,0,1,0
2024-01-14,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,47.0,5438033.0,"206,28%",6,0,1,0
2024-01-15,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,50.0,202699.0,"8,79%",0,1,0,0
2024-01-16,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,46.0,4747.0,"0,18%",1,1,0,0
2024-01-17,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,39.0,3587.0,"0,12%",2,1,0,0
2024-01-18,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,35.0,1245608.0,"31,18%",3,1,0,0
2024-01-19,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,44.0,2006233.0,"39,26%",4,1,0,0
2024-01-20,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,49.0,8162047.0,"189,27%",5,0,1,0
2024-01-21,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,56.0,5582729.0,"129,47%",6,0,1,0
2024-01-22,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,51.0,8195358.0,"234,65%",0,1,0,0
2024-01-23,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,51.0,9047523.0,"251,53%",1,1,0,0
2024-01-24,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,54.0,2530606.0,"60,74%",2,1,0,0
2024-01-25,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,56.0,9301.0,"0,18%",3,1,0,0
2024-01-26,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,47.0,20184.0,"0,45%",4,1,0,0
2024-01-27,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,39.0,12854.0,"0,30%",5,0,1,0
2024-01-28,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,44.0,5600.0,"0,15%",6,0,1,0
2024-01-29,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,49.0,10935.0,"0,27%",0,1,0,0
2024-01-30,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,46.0,20481.0,"0,69%",1,1,0,0
2024-01-31,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,47.0,5000.0,"0,15%",2,1,0,0
2024-02-01,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,37.0,6555.0,"0,15%",3,1,0,0
2024-02-02,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,35.0,2265.0,"0,06%",4,1,0,0
2024-02-03,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,28.0,1015416.0,"17,20%",5,0,1,0
2024-02-04,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,33.0,1389532.0,"26,12%",6,0,1,0
2024-02-05,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,24.0,2182578.0,"43,60%",0,1,0,0
2024-02-06,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,28.0,1558368.0,"31,35%",1,1,0,0
2024-02-07,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,31.0,8536580.0,"155,43%",2,1,0,0
2024-02-08,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,44.0,1523870.0,"33,70%",3,1,0,0
2024-02-09,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,48.0,8727497.0,"217,79%",4,1,0,0
2024-02-10,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,49.0,527660.0,"9,91%",5,0,1,0
2024-02-11,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,42.0,2546559.0,"56,92%",6,0,1,0
2024-02-12,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,39.0,6636419.0,"192,48%",0,1,0,0
2024-02-13,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,37.0,6521683.0,"226,06%",1,1,0,0
2024-02-14,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,39.0,2410279.0,"95,80%",2,1,0,0
2024-02-15,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,43.0,3486149.0,"89,64%",3,1,0,0
2024-02-16,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,53.0,5425010.0,"154,46%",4,1,0,0
2024-02-17,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,54.0,4749365.0,"134,82%",5,0,1,0
2024-02-18,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,51.0,15956580.0,"370,18%",6,0,1,0
2024-02-19,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,43.0,8883712.0,"182,08%",0,1,0,0
2024-02-20,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,43.0,11724863.0,"288,35%",1,1,0,0
2024-02-21,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,45.0,5508047.0,"143,35%",2,1,0,0
2024-02-22,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,46.0,8703353.0,"170,78%",3,1,0,0
2024-02-23,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,51.0,3094849.0,"65,32%",4,1,0,0
2024-02-24,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,53.0,3207468.0,"76,69%",5,0,1,0
2024-02-25,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,55.0,7351216.0,"125,72%",6,0,1,0
2024-02-26,URBANA,039_ZW Biblioteca Daniel Guillard,13.0,MR76,49.0,1292341.0,"34,86%",0,1,0,0
