FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2024-01-01,URBANA,051_ZW Parque La Merced,2.0,MR76,8.0,221715.0,"7,96%",0,0,0,1
2024-01-02,URBANA,051_ZW Parque La Merced,2.0,MR76,5.0,251.0,"0,00%",1,1,0,0
2024-01-03,URBANA,051_ZW Parque La Merced,2.0,MR76,5.0,30573.0,"0,83%",2,1,0,0
2024-01-04,URBANA,051_ZW Parque La Merced,2.0,MR76,8.0,77857.0,"2,34%",3,1,0,0
2024-01-05,URBANA,051_ZW Parque La Merced,2.0,MR76,9.0,195451.0,"5,67%",4,1,0,0
2024-01-06,URBANA,051_ZW Parque La Merced,2.0,MR76,10.0,588478.0,"23,74%",5,0,1,0
2024-01-07,URBANA,051_ZW Parque La Merced,2.0,MR76,9.0,450078.0,"14,06%",6,0,1,0
2024-01-08,URBANA,051_ZW Parque La Merced,2.0,MR76,10.0,4651372.0,"94,27%",0,0,0,1
2024-01-09,URBANA,051_ZW Parque La Merced,2.0,MR76,10.0,808211.0,"19,72%",1,1,0,0
2024-01-10,URBANA,051_ZW Parque La Merced,2.0,MR76,9.0,79843.0,"2,09%",2,1,0,0
2024-01-11,URBANA,051_ZW Parque La Merced,2.0,MR76,8.0,333000.0,"9,79%",3,1,0,0
2024-01-12,URBANA,051_ZW Parque La Merced,2.0,MR76,7.0,30293.0,"0,83%",4,1,0,0
2024-01-13,URBANA,051_ZW Parque La Merced,2.0,MR76,5.0,766129.0,"27,43%",5,0,1,0
2024-01-14,URBANA,051_ZW Parque La Merced,2.0,MR76,6.0,9918.0,"0,41%",6,0,1,0
2024-01-15,URBANA,051_ZW Parque La Merced,2.0,MR76,9.0,448022.0,"20,06%",0,1,0,0
2024-01-16,URBANA,051_ZW Parque La Merced,2.0,MR76,11.0,379849.0,"13,75%",1,1,0,0
2024-01-17,URBANA,051_ZW Parque La Merced,2.0,MR76,9.0,7816.0,"0,25%",2,1,0,0
2024-01-18,URBANA,051_ZW Parque La Merced,2.0,MR76,9.0,606954.0,"16,02%",3,1,0,0
2024-01-19,URBANA,051_ZW Parque La Merced,2.0,MR76,9.0,33485.0,"0,71%",4,1,0,0
2024-01-20,URBANA,051_ZW Parque La Merced,2.0,MR76,8.0,1086.0,"0,03%",5,0,1,0
2024-01-21,URBANA,051_ZW Parque La Merced,2.0,MR76,6.0,31923.0,"0,82%",6,0,1,0
2024-01-22,URBANA,051_ZW Parque La Merced,2.0,MR76,12.0,523670.0,"15,51%",0,1,0,0
2024-01-23,URBANA,051_ZW Parque La Merced,2.0,MR76,18.0,1008875.0,"28,72%",1,1,0,0
2024-01-24,URBANA,051_ZW Parque La Merced,2.0,MR76,20.0,5377734.0,"132,34%",2,1,0,0
2024-01-25,URBANA,051_ZW Parque La Merced,2.0,MR76,16.0,1133025.0,"23,62%",3,1,0,0
2024-01-26,URBANA,051_ZW Parque La Merced,2.0,MR76,11.0,1770577.0,"40,55%",4,1,0,0
2024-01-27,URBANA,051_ZW Parque La Merced,2.0,MR76,7.0,3528580.0,"91,55%",5,0,1,0
2024-01-28,URBANA,051_ZW Parque La Merced,2.0,MR76,12.0,1141350.0,"34,48%",6,0,1,0
2024-01-29,URBANA,051_ZW Parque La Merced,2.0,MR76,16.0,1433334.0,"38,04%",0,1,0,0
2024-01-30,URBANA,051_ZW Parque La Merced,2.0,MR76,15.0,1368031.0,"46,46%",1,1,0,0
2024-01-31,URBANA,051_ZW Parque La Merced,2.0,MR76,16.0,569673.0,"16,79%",2,1,0,0
2024-02-01,URBANA,051_ZW Parque La Merced,2.0,MR76,15.0,1198320.0,"26,82%",3,1,0,0
2024-02-02,URBANA,051_ZW Parque La Merced,2.0,MR76,13.0,127718.0,"4,14%",4,1,0,0
2024-02-03,URBANA,051_ZW Parque La Merced,2.0,MR76,8.0,263099.0,"4,85%",5,0,1,0
2024-02-04,URBANA,051_ZW Parque La Merced,2.0,MR76,8.0,42.0,"0,00%",6,0,1,0
2024-02-05,URBANA,051_ZW Parque La Merced,2.0,MR76,8.0,4830533.0,"103,76%",0,1,0,0
2024-02-06,URBANA,051_ZW Parque La Merced,2.0,MR76,12.0,585418.0,"12,37%",1,1,0,0
2024-02-07,URBANA,051_ZW Parque La Merced,2.0,MR76,13.0,353938.0,"6,76%",2,1,0,0
2024-02-08,URBANA,051_ZW Parque La Merced,2.0,MR76,16.0,524819.0,"11,99%",3,1,0,0
2024-02-09,URBANA,051_ZW Parque La Merced,2.0,MR76,13.0,667515.0,"17,29%",4,1,0,0
2024-02-10,URBANA,051_ZW Parque La Merced,2.0,MR76,10.0,64877.0,"1,31%",5,0,1,0
2024-02-11,URBANA,051_ZW Parque La Merced,2.0,MR76,8.0,6711127.0,"160,23%",6,0,1,0
2024-02-12,URBANA,051_ZW Parque La Merced,2.0,MR76,12.0,606401.0,"18,21%",0,1,0,0
2024-02-13,URBANA,051_ZW Parque La Merced,2.0,MR76,12.0,757945.0,"27,03%",1,1,0,0
2024-02-14,URBANA,051_ZW Parque La Merced,2.0,MR76,12.0,927390.0,"37,80%",2,1,0,0
2024-02-15,URBANA,051_ZW Parque La Merced,2.0,MR76,13.0,1752924.0,"46,70%",3,1,0,0
