es_festivo,tipo_dia,dia_semana,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO
True,Festivo,Lunes,91,6259636,"716,0999999999999"
False,Laboral,Martes,43,1729971,"205,4"
False,Laboral,Miércoles,71,4488922,"370,5"
False,Laboral,Jueves,61,1768587,"167,39999999999998"
False,Laboral,Viernes,64,2720126,"250,9"
False,Fin de Semana,Sábado,101,3246800,"423,4"
False,Fin de Semana,Domingo,170,6951897,"692,5999999999999"
True,Festivo,Lunes,176,5979270,"379,29999999999995"
False,Laboral,Martes,74,136685,"10,6"
False,Laboral,Miércoles,90,22061,"1,8"
False,Laboral,Jueves,71,55232,"5,1"
False,Laboral,Viernes,83,37981,"3,3"
False,Fin de Semana,Sábado,72,363288,"40,3"
False,Fin de Semana,Domingo,186,29450,"3,7"
False,Laboral,Lunes,78,978718,"141,5"
False,Laboral,Martes,61,20684,"2,4"
False,Laboral,Miércoles,75,21550,"2,2"
False,Laboral,Jueves,74,20929,"1,8"
False,Laboral,Viernes,60,56036,"3,7"
False,Fin de Semana,Sábado,111,62257,"4,8"
False,Fin de Semana,Domingo,194,60091,"4,7"
False,Laboral,Lunes,61,5661,"0,6000000000000001"
False,Laboral,Martes,68,45182,"4,2"
False,Laboral,Miércoles,85,7021,"0,6"
False,Laboral,Jueves,88,17120,"1,1"
False,Laboral,Viernes,74,2524998,"183,3"
False,Fin de Semana,Sábado,71,3213382,"258,9"
False,Fin de Semana,Domingo,131,4225443,"411,1"
False,Laboral,Lunes,74,675905,"58,1"
False,Laboral,Martes,65,6324,"0,7"
False,Laboral,Miércoles,65,2657056,"254,4"
False,Laboral,Jueves,77,3275100,"235,4"
False,Laboral,Viernes,36,33204,"3,5"
False,Fin de Semana,Sábado,77,7580742,"427,3"
False,Fin de Semana,Domingo,123,5379665,"336,4"
False,Laboral,Lunes,45,2562675,"170,2"
False,Laboral,Martes,38,315856,"21,200000000000003"
False,Laboral,Miércoles,78,3677762,"222,8"
False,Laboral,Jueves,83,7047045,"518,6"
False,Laboral,Viernes,100,6292508,"522,9000000000001"
False,Fin de Semana,Sábado,95,6684991,"418,5"
False,Fin de Semana,Domingo,174,8136917,"605,6"
False,Laboral,Lunes,82,145207,"14,0"
False,Laboral,Martes,80,13782,"1,6"
False,Laboral,Miércoles,73,21510,"2,8"
False,Laboral,Jueves,70,15322,"1,3"
False,Laboral,Viernes,73,6896,"0,7"
False,Fin de Semana,Sábado,135,6803637,"643,4"
False,Fin de Semana,Domingo,191,8663871,"669,4000000000001"
False,Laboral,Lunes,84,4010744,"273,7"
False,Laboral,Martes,63,3782018,"309,7"
False,Laboral,Miércoles,45,1340015,"116,1"
False,Laboral,Jueves,64,3454125,"225,7"
False,Laboral,Viernes,62,4950429,"348,0"
False,Fin de Semana,Sábado,106,8020619,"638,6"
False,Fin de Semana,Domingo,204,15957651,"908,5999999999999"
False,Laboral,Lunes,60,49063,"4,4"
False,Laboral,Martes,69,44189,"3,8"
False,Laboral,Miércoles,53,7170,"0,4"
False,Laboral,Jueves,47,4387,"0,6000000000000001"
False,Laboral,Viernes,59,9654,"0,8"
False,Fin de Semana,Sábado,75,33225,"3,2"
False,Fin de Semana,Domingo,148,114845,"8,2"
False,Laboral,Lunes,79,17497,"1,3"
False,Laboral,Martes,56,29340,"2,1"
False,Laboral,Miércoles,63,4392,"0,4"
False,Laboral,Jueves,92,8227,"0,7"
False,Laboral,Viernes,83,20063,"1,9000000000000001"
False,Fin de Semana,Sábado,101,88888,"9,0"
False,Fin de Semana,Domingo,178,294554,"30,9"
False,Laboral,Lunes,70,326906,"34,8"
False,Laboral,Martes,79,12541,"1,4"
False,Laboral,Miércoles,48,3968,"0,5"
False,Laboral,Jueves,76,11589,"1,2000000000000002"
False,Laboral,Viernes,81,2223927,"170,7"
False,Fin de Semana,Sábado,112,9074742,"802,5"
False,Fin de Semana,Domingo,175,25866443,"1997,5"
False,Laboral,Lunes,63,18790941,"1565,1999999999998"
False,Laboral,Martes,74,7163877,"950,4000000000001"
False,Laboral,Miércoles,60,4019332,"613,2"
False,Laboral,Jueves,54,15145729,"1734,6000000000001"
False,Laboral,Viernes,51,4305390,"441,3"
False,Fin de Semana,Sábado,55,9306773,"1192,9"
True,Festivo,Domingo,187,15532334,"1707,7"
True,Festivo,Lunes,129,2634474,"375,4"
False,Laboral,Martes,116,65395,"8,4"
False,Laboral,Miércoles,63,21369,"2,5999999999999996"
True,Festivo,Jueves,150,50023,"7,8"
True,Festivo,Viernes,130,46190,"4,6"
False,Fin de Semana,Sábado,112,35569,"5,699999999999999"
True,Festivo,Domingo,146,37353,"4,9"
False,Laboral,Lunes,67,8388,"0,8"
False,Laboral,Martes,32,810,"0,2"
False,Laboral,Miércoles,49,1527694,"169,6"
False,Laboral,Jueves,58,12274,"1,0"
False,Laboral,Viernes,59,15296,"1,4"
False,Fin de Semana,Sábado,80,109376,"9,100000000000001"
False,Fin de Semana,Domingo,157,33787,"2,8"
False,Laboral,Lunes,68,8411,"1,2"
False,Laboral,Martes,45,3998,"0,5"
False,Laboral,Miércoles,54,63621,"15,0"
False,Laboral,Jueves,70,9491,"2,2"
False,Laboral,Viernes,76,2897577,"426,8"
False,Fin de Semana,Sábado,70,3796466,"446,2"
False,Fin de Semana,Domingo,165,3503750,"508,0"
False,Laboral,Lunes,52,3423,"0,9"
False,Laboral,Martes,58,108375,"25,5"
False,Laboral,Miércoles,58,1386176,"371,6"
False,Laboral,Jueves,26,47409,"16,2"
False,Laboral,Viernes,38,669363,"165,1"
False,Fin de Semana,Sábado,89,2960130,"378,7"
False,Fin de Semana,Domingo,120,2583672,"417,5"
False,Laboral,Lunes,34,4926,"1,1"
False,Laboral,Martes,59,9405472,"512,3"
False,Laboral,Miércoles,46,3179287,"173,1"
False,Laboral,Jueves,47,2827381,"238,29999999999998"
False,Laboral,Viernes,54,2323712,"231,9"
False,Fin de Semana,Sábado,64,3247060,"266,1"
False,Fin de Semana,Domingo,89,891270,"120,7"
False,Laboral,Lunes,53,5520,"0,7"
False,Laboral,Martes,58,12201,"2,0"
True,Festivo,Miércoles,117,40661,"7,699999999999999"
False,Laboral,Jueves,67,12747,"2,5"
False,Laboral,Viernes,38,4114,"0,9"
False,Fin de Semana,Sábado,39,10831,"1,5"
