Zona,MAE (RL),RMSE (RL),R2 (RL),MAE_baseline,RMSE_baseline,R2_baseline,MAE (RF),RMSE (RF),R2 (RF)
agrupado_001_ZW Parque Ingenio-test,1.1556303314140928,1.8502959662167089,-0.2497803595681296,1.7406062777123967,2.40177368060587,-1.1057919158494571,0.925326326088477,1.37360185413912,0.3112318946894358
agrupado_002_ZW Canchas Panamericanas-test,1.6391612232108648,2.884599463787226,0.2630161605610194,2.7025895561433972,4.310704834639401,-0.6458244167047984,1.5145441100168404,2.7783252116576644,0.3163196659352594
agrupado_003_ZW Parque del Perro-test,0.6640641087975316,0.9534745291974552,-0.03624925226382869,1.2515718818922397,1.5545639466886745,-1.7546296706018971,0.8945732767390018,1.098940496201302,-0.3765576153538348
agrupado_004_ZW Parque San Nicolas-test,1.1624859071815317,1.5077795273328465,-0.39947278095421934,2.6594581562323447,2.949005012337613,-4.353524483380865,1.4529095083775077,1.7706650212409811,-0.9300190154038799
agrupado_005_ZW Parque Barrio Obrero-test,1.2303052115659,1.482891741339498,-3.3039625948194473,2.4487833954144316,2.5509818540698146,-11.736917448265466,1.3688420774122414,1.482041218615223,-3.2990268761785906
agrupado_006_ZW Parque Vallado-test,1.440932821767087,1.754024913329218,-0.500331056703742,2.455371635765197,2.842362207129319,-2.93980225171291,1.0211915368344358,1.267395252019052,0.21667906131399162
agrupado_007_ZW Parque Pizamos-test,0.3974522046549234,0.5498838257949629,0.10786776665341902,0.47264109308463614,0.6025650919998854,-0.07126095600253546,0.12061885676171602,0.14481464088047652,0.9381254172850146
agrupado_008_ZW Parque Alfonso Lopez-test,2.637223133398781,4.001417661386396,-0.6989210861990065,3.902246002754231,4.965025119661862,-1.6157024393987793,1.979156229505314,3.0825309413873776,-0.008231649824824716
agrupado_009_ZW Polideportivo Los Almendros-test,0.14393219713044397,0.17132656030040347,0.8346421783300747,0.3108884982095129,0.4389818252035534,-0.08559649099742206,0.1460016077570952,0.17416452034296384,0.8291186260686174
agrupado_010_ZW Parque Antonio Nariño-test,1.1748452069030257,1.9242856155506374,-0.058033199579675676,1.8590281936436208,2.6307072969157597,-0.9774489815117038,1.2316964711701484,1.9349561272467257,-0.06979970389451862
agrupado_011_ZW Parque Santa Rosa Poblado-test,4.937535575696919,7.100613790197335,0.3698880120067246,9.987375145436197,13.395373839575345,-1.2425164422936485,5.293812692623299,8.01352671575303,0.1974477117192972
agrupado_012_ZW Polideportivo Los Naranjos-test,0.9257292020339057,1.2986646983282708,0.0714353580618926,1.358202243733137,1.8948506443489461,-0.9768241568565619,0.961880359802725,1.3345958166424858,0.019341966485902584
agrupado_013_ZW Parque Llano Verde-test,0.7252159168234791,0.947122776100671,-0.11115695111917856,1.2418764077369644,1.5292469210500277,-1.896797092913884,0.6972742725326153,0.8877876166079822,0.02370511875488024
agrupado_014_ZW Centro Cultural Alto Jordan-test,0.6326811663698788,0.8116386659993896,-0.30297259721795955,0.6147268010470553,0.8584884484754022,-0.4577355228548088,0.6470879520514121,0.8234367477562582,-0.34112826115036077
agrupado_015_ZW Centro Cultural Comuna 13-test,0.5740146640228067,0.7814664577996517,0.08286059356805275,1.027035266155538,1.3094811595934364,-1.5752131350700997,0.4721183318078845,0.7230309045117252,0.21489382768242105
agrupado_016_ZW Conjunto Habitacional Ramali-test,1.0324176430516376,1.346024936184818,0.2927579196670953,2.6317064067781932,3.0797819873551444,-2.7025576634430846,0.9359310947325311,1.1310594342841,0.5006181718471605
agrupado_017_ZW Conjunto Habitacional Rio Cauca-test,3.770815862329611,4.743835982028255,0.14084030110554424,15.555988462217615,16.375520984844403,-9.237757048672034,3.121648687369479,4.395790739450455,0.26228504625396076
agrupado_018_ZW Parque Las Banderas-test,0.94680116857984,1.7070354239019851,0.004852579885434083,1.041533476470617,1.9401837065156193,-0.2855472999026838,0.9623218876738535,1.5583147163238507,0.17069802735227224
agrupado_019_ZW Parque Skate Board-test,0.7801451694281875,1.0088387295209595,-0.09807420901888708,1.6491700702128274,1.9029518906569605,-2.9070036395891483,1.135099438305529,1.2636976454187048,-0.7229574437129562
agrupado_020_ZW Parque Petecuy1-test,0.4095792736820316,0.56171081712669,0.20092375395620987,1.048094157698487,1.220348438522521,-2.771640977426701,0.6992419826304842,0.7780656210723875,-0.533186895967942
agrupado_021_ZW Parque Alfonso Barberena-test,1.5996336715097228,2.073059819873239,-0.3837985928539074,4.0819835164128815,4.445973306241938,-5.364772982640477,1.7167630807728333,2.002274132033123,-0.29091096428327434
agrupado_022_ZW Polideportivo Los Farallones-test,1.3629573600096305,2.0833757656018923,0.0024636222910130456,1.8783746371647767,2.797786855357372,-0.7989652616297158,1.083178048780817,1.6698438197586092,0.3591664606704482
agrupado_023_ZW Parque Los Guerreros-test,2.463853813771609,3.2674153912716504,-0.23944548924538678,4.260714454403154,5.1732624103637415,-2.107046456513629,2.548262310933777,3.2726939766384766,-0.2434534299776676
agrupado_024_ZW Museo La Tertualia-test,0.6722281139430791,0.9873173585540196,-0.11798115758979333,1.6618900296506849,1.9061338858775072,-3.1670407043277704,0.8458010737862207,1.0333394865956975,-0.22463590745785234
agrupado_025_ZW Parque San Marino-test,0.7852951224144022,1.129042343775942,-0.14596076714131145,1.2618476694768361,1.6408295301805913,-1.4203390971444532,0.5461199864162511,0.9192638242586111,0.24032186160642965
agrupado_026_ZW Parque La Flora-test,0.6770574779484823,0.9269525206147946,-0.3914601402487152,1.3204953546429494,1.536585347120251,-2.8235710565695924,0.7462768735596208,0.9012667026284898,-0.3154139498710695
agrupado_027_ZW Parque Alfonso Bonilla Aragón-test,1.1203040258434955,1.6050169213956358,-0.09742368508007249,2.5396261952165804,2.9657437794402,-2.746988450943482,1.3790116546995899,1.6213475420366033,-0.11986928481460346
agrupado_028_ZW Parque Yo Amo a Siloe-test,0.36586633052146483,0.4796413823926293,0.05684063346941082,0.7705684409034318,0.9098528025492815,-2.393861102474066,0.587086098883903,0.6603310204201158,-0.787619935872568
agrupado_029_ZW Centro Cultural Vista Hermosa-test,0.5135665875517971,0.6249255509577045,0.01481016639035071,0.6452822200573384,0.8444625416777997,-0.798970899733443,0.6313967829793711,0.7319235868643579,-0.35143400919311607
agrupado_030_ZW Parque Mutis-test,7.896180242866016,12.702820333811013,-0.0566867694151163,17.301190955486447,21.25902929848206,-1.9595986431719634,7.309011941450742,10.698457907724283,0.2504712028307359
agrupado_031_ZW Cancha Los Azules-test,1.6456356532659508,2.478649596435219,-0.449709155606995,3.529821230265818,4.0860164234645575,-2.939588187980518,1.6621127356309178,2.2795286561353447,-0.22614187051239343
agrupado_032_ZW Paque La Orqueta-test,0.839439267109863,1.1470125321317386,-0.24924054945281693,1.6150496841758248,1.912724119181835,-2.473876824329373,0.9040109375906115,1.067920982441109,-0.08289908282477776
agrupado_033_ZW Plaza Alameda-test,0.42091869915273494,0.5292255386458751,0.5706792706258835,1.5222017557305763,1.6882718359937363,-3.3690299557977124,0.6406274249292091,0.7543677351264862,0.1276987770711807
agrupado_034_ZW Parque Villa Colombia-test,0.8248158446064655,1.4951328866401967,-0.12212517737223827,0.7324731560897872,1.5347116767743618,-0.18232075436366513,0.5847421838327719,1.1681017257463164,0.3150749510121962
agrupado_035_ZW Parque Colseguros-test,0.8425646110194716,1.1001229555531664,-0.7323147760370647,2.0656352318263163,2.2282833400527915,-6.106981459187975,0.9083831629024094,1.0492180677630074,-0.5757084979114795
agrupado_036_ZW Parque India Elena-test,3.5592150728530716,5.075178518104934,0.12073571467759237,9.367766161782297,10.81762267427838,-2.9946657380396022,4.138067435308912,5.159011093239677,0.0914481640246525
agrupado_037_ZW Parque Tequendama-test,1.7822949876776955,2.4579407777947644,-0.4026989938450751,2.470552118899875,3.224310506466046,-1.4137671525993474,1.4531626499497654,2.1134119207069975,-0.037026755867092254
agrupado_038_ZW Parque Sector Amarillo Skate Park-test,0.5600020310773461,0.7683701854294255,0.1754435086474384,0.8993696211365866,1.1820416684016435,-0.9513940558092839,0.7302896150056529,0.8553437306531045,-0.021787906723396366
agrupado_039_ZW Biblioteca Daniel Guillard-test,0.7117370936897045,0.9532716672057319,0.036639648776409905,1.867735489935062,2.104959601497158,-3.6972419212278567,0.9918724640888336,1.2039050646285567,-0.5365258836144133
agrupado_040_ZW Polideportivo Torres Comfandi-test,0.7729552288723915,0.8792645272903014,-0.059490788004899375,0.8621930380252243,1.0818965860503622,-0.6040931369831453,0.5389385787985136,0.6312640352084808,0.45388994328222754
agrupado_041_ZW Parque Junin-test,1.562641725154737,2.0330793996587606,-0.4198663137474148,3.4054188535922405,3.8086351737653104,-3.9828466741646507,1.517487518326841,1.7746727468547916,-0.0818706425496678
agrupado_042_ZW Parque Mariano Ramos-test,2.1148295202166305,2.8244047798928067,-0.4268998391323455,5.385186073711526,5.88123810967964,-5.186957587438656,2.1068539176220864,2.606972350373811,-0.21566094208328002
agrupado_043_ZW Polideportivo Ricardo Balcazar-test,1.9226005511475162,2.604909826536844,-0.10625071691461052,4.380004858830778,5.031164994332033,-3.1267227966241418,1.729775083876848,2.614004111125627,-0.1139885053786962
agrupado_044_ZW Polideportivo San Benito-test,0.42959892533582406,0.6745139968471611,0.3860008918281609,1.011125305001167,1.3275689278410372,-1.3784825315556022,0.6001697247393619,0.7629590851618613,0.2144238211672581
agrupado_045_ZW Parque Santa Anita-test,0.7850248252610629,1.1117583375927658,-0.028682654350695058,1.7212351644783455,2.0379087287862485,-2.456448461508131,1.3481447071283836,1.5877296424047362,-1.098039848591767
agrupado_046_ZW Sebastian Belalcazar-test,0.7660115421041374,0.9732387598996072,-0.33483550377570204,0.8480253825682782,1.1485926993627633,-0.859178374375382,0.6946284543469461,0.8914902752203321,-0.12001071156749865
agrupado_047_ZW Parque del Mico-test,4.63106064637118,6.255387400126953,-0.26436572192988494,8.175104928197692,9.888087655708615,-2.1592857354490715,4.293533566772693,6.12633779276282,-0.2127357202041129
agrupado_048_ZW Parque Cien Palos-test,1.2801055726507913,1.8604869719580477,0.22176187028449168,2.104957370975979,2.974145014342784,-0.9887652327984562,1.1866107055600732,1.650658996743113,0.38740426988072596
agrupado_049_ZW Cerro 3 Cruces-test,2.181961478412213,2.9831316906451697,0.2682600861237797,3.692113118223085,5.078617758277363,-1.1208157855999663,1.3733237892855328,2.376823635033453,0.5354785122943024
agrupado_050_ZW Parque Calima-test,2.197442752701687,3.370405618272527,-0.38426033132658755,3.8005301045314814,4.7589840156275365,-1.7598274223929193,2.1550457646172854,2.8074398676848125,0.03955088825980757
agrupado_051_ZW Parque La Mecerd-test,0.8461347499759374,1.3213512371597438,-0.01957262598086662,1.2045020287750454,1.7546160726459992,-0.797818404298186,1.0457752337163546,1.425215851751118,-0.18615898690424415
agrupado_052_ZW Puente de Colores-test,1.3338578802979149,1.8750716905965787,0.45769027405773877,2.6715866094170084,3.6340147811020227,-1.0369718071944725,2.0321460540187597,2.813407858349566,-0.220891391857579
agrupado_053_ZW Polideportivo Laureano Gomez-test,1.1467960331572962,1.5421924475955524,0.17565401232058897,2.086675167288721,2.6663359572251544,-1.4641215303485429,1.3481668545148253,1.8811830893355417,-0.22657615214681615
agrupado_054_ZW El Diamante-test,0.9201268886273516,1.2806922620074719,0.02456351995684536,1.3230215052614749,1.8342851760465906,-1.0009817845147717,0.8717121250387888,1.1718272930956466,0.18334873238115845
agrupado_055_ZW Polideportivo Petecuy-test,11.369233224724322,14.41659800785626,-0.10337723541836596,30.253330198647955,33.21795166385689,-4.857929485167571,23.95961229096567,27.242704059227858,-2.9400239993323654
agrupado_056_ZW Comuna 16-test,2.526306993585971,3.475727058166008,0.0378634433795888,3.3703664693036535,4.889654452150604,-0.9041524871803754,2.1470832362628083,3.115623269652681,0.2269007285783884
agrupado_057_La Castilla-test,0.9879374622643795,1.4586862338779831,0.21340743255881578,0.8807489893724265,1.7895872246896962,-0.18394577282617863,0.5753375152326512,1.417702432009744,0.25698729767788475
agrupado_058_La Elvira-test,1.5196075858551497,1.8997807808054772,-0.6796879637177802,1.722281019619223,2.2132335757341437,-1.2796917660474278,0.8203783171274249,1.3373953015489708,0.16758247132231885
agrupado_059_El Saladito-test,0.7256299619633405,0.8444740485521129,-0.11094445621787274,0.9031186033242676,1.164255429163028,-1.111622466607514,0.4693649398404585,0.6567720082250108,0.32803136859467796
agrupado_060_Felidia-test,2.3038028875737613,3.0535369085429815,-1.5692017666667368,2.915169307859321,3.482218403376707,-2.3412108060617687,2.3115715269088013,2.9159060808744615,-1.3428200259849121
agrupado_061_La Leonera-test,0.8270813449046597,1.0314976466567516,-4.721215354363723,0.4402164941127644,0.5429835407741004,-0.5853499489600837,0.38104150253230124,0.44879480654209253,-0.08304738424652536
agrupado_062_Pichinde-test,17.277186068921296,34.99232048595402,-179.19162452717003,2.727188820904982,3.7715256112348836,-1.0932602984185027,3.2071428620926867,4.026033550762027,-1.3853048629045275
agrupado_063_Los Andes-test,0.746517695947237,0.9361409619081986,-0.0667698241787611,1.0024132904199783,1.3198552241098263,-1.1205123996221724,0.6842883986853302,0.9306272717353135,-0.05424069216356564
