Zona,Estado,MAE,RMSE,ErrorRel_%
agrupado_001_ZW Parque Ingenio-test,✅ OK,2779634.7949557514,4399678.687271505,60.845590633748415
agrupado_002_ZW Canchas Panamericanas-test,✅ OK,2071931.5442507644,3876839.457694007,85.39884517074731
agrupado_003_ZW Parque del Perro-test,✅ OK,2570265.0156074767,3305387.383887416,71.97921851398775
agrupado_004_ZW Parque San Nicolas-test,✅ OK,3047086.1476984094,3898372.7799884863,45.54146907024288
agrupado_005_ZW Parque Barrio Obrero-test,✅ OK,10716762.06950156,11898205.348295197,43.917287265256654
agrupado_006_ZW Parque Vallado-test,✅ OK,1771784.265333333,2289934.3786136718,91.20187685861967
agrupado_007_ZW Parque Pizamos-test,✅ OK,1456864.326111111,1976925.5897269847,53.874787922068535
agrupado_008_ZW Parque Alfonso Lopez-test,✅ OK,4536601.668811593,7086064.811999369,56.167741614659406
agrupado_009_ZW Polideportivo Los Almendros-test,✅ OK,823801.4794444446,1024868.3869243049,87.00252865351175
agrupado_010_ZW Parque Antonio Nariño-test,✅ OK,2550917.790634921,4024373.0670825676,72.09457424352034
agrupado_011_ZW Parque Santa Rosa Poblado-test,✅ OK,2579486.4425757565,3344951.3682459225,2280.7164849780856
agrupado_012_ZW Polideportivo Los Naranjos-test,✅ OK,2146878.336577381,3105984.6891630883,135.6813681997807
agrupado_013_ZW Parque Llano Verde-test,✅ OK,1093299.338250825,1483715.7484882025,56.37711788661848
agrupado_014_ZW Centro Cultural Alto Jordan-test,✅ OK,3260096.613215687,4388072.56376241,148.38184878881532
agrupado_015_ZW Centro Cultural Comuna 13-test,✅ OK,2088787.2045833329,2919233.6080604345,108.5439246815034
agrupado_016_ZW Conjunto Habitacional Ramali-test,✅ OK,3510225.4005974834,4682052.786310926,57.40570941053647
agrupado_017_ZW Conjunto Habitacional Rio Cauca-test,✅ OK,6268573.894836594,8031414.985705668,28.955524211490513
agrupado_018_ZW Parque Las Banderas-test,✅ OK,1207740.3163768118,1914201.8078747941,1710.2333794566346
agrupado_019_ZW Parque Skate Board-test,✅ OK,8343763.485966668,9692820.763809755,58.832785728016326
agrupado_020_ZW Parque Petecuy1-test,✅ OK,3402053.793958334,4142423.4112968333,72.1684712553818
agrupado_021_ZW Parque Alfonso Barberena-test,✅ OK,3041322.456902651,3907852.9197805063,43.39658620073729
agrupado_022_ZW Polideportivo Los Farallones-test,✅ OK,1580889.3347787613,2369655.2346374555,6862.632528406304
agrupado_023_ZW Parque Los Guerreros-test,✅ OK,1524441.8553097346,2161481.200711147,71.44796071854245
agrupado_024_ZW Museo La Tertualia-test,✅ OK,1750464.7225217386,2450328.0022296095,53.16154247782373
agrupado_025_ZW Parque San Marino-test,✅ OK,7466481.8117845105,10888448.483810592,69.28670643753814
agrupado_026_ZW Parque La Flora-test,✅ OK,3457616.9311403506,4513920.507955899,72.18834696699376
agrupado_027_ZW Parque Alfonso Bonilla Aragón-test,✅ OK,3249563.08945946,4329154.542064004,65.03414662823785
agrupado_028_ZW Parque Yo Amo a Siloe-test,✅ OK,5992437.926456459,7515818.873179711,43.4591805734239
agrupado_029_ZW Centro Cultural Vista Hermosa-test,✅ OK,3783058.3611309514,4733084.922529602,53.332472015816194
agrupado_030_ZW Parque Mutis-test,✅ OK,3036232.245416667,4474014.111697064,62.529839872047454
agrupado_031_ZW Cancha Los Azules-test,✅ OK,3288067.322979352,4975222.138440264,43.97841974274529
agrupado_032_ZW Paque La Orqueta-test,✅ OK,4248796.71576324,5773179.565339055,53.3386983229465
agrupado_033_ZW Plaza Alameda-test,✅ OK,3347137.504597699,4344948.558862459,523.1174802508556
agrupado_034_ZW Parque Villa Colombia-test,✅ OK,1036212.7674242426,1863857.6662753383,203.8093673185243
agrupado_035_ZW Parque Colseguros-test,✅ OK,3839330.0869369395,4762124.62587732,42.572752193312034
agrupado_036_ZW Parque India Elena-test,✅ OK,4790442.123453458,6551498.282461832,54.605429841607425
agrupado_037_ZW Parque Tequendama-test,✅ OK,5568929.230000001,7921984.465794578,119.53003863415181
agrupado_038_ZW Parque Sector Amarillo Skate Park-test,✅ OK,5404482.973909092,6849488.187171225,63.87651751939853
agrupado_039_ZW Biblioteca Daniel Guillard-test,✅ OK,4692689.815800003,6038593.817221055,46.91433853798459
agrupado_040_ZW Polideportivo Torres Comfandi-test,✅ OK,2916557.945591398,3686630.6915281834,119.2205814713166
agrupado_041_ZW Parque Junin-test,✅ OK,3405100.276376811,4412187.023793105,48.84107888027705
agrupado_042_ZW Parque Mariano Ramos-test,✅ OK,2228288.5756140347,2846091.0541801173,47.655305011029625
agrupado_043_ZW Polideportivo Ricardo Balcazar-test,✅ OK,3362228.295581396,4709868.816297527,68.10891379712734
agrupado_044_ZW Polideportivo San Benito-test,✅ OK,1996535.868212121,2777410.919967889,88.49419694488613
agrupado_045_ZW Parque Santa Anita-test,✅ OK,1549391.3105757579,1902213.5901913624,61.48644215647929
agrupado_046_ZW Sebastian Belalcazar-test,✅ OK,725717.5633043478,980239.4558951757,183.5683466165283
agrupado_047_ZW Parque del Mico-test,✅ OK,1952738.5902830188,2633407.5140011674,64.84285662535648
agrupado_048_ZW Parque Cien Palos-test,✅ OK,1376397.266388889,2189238.938647258,3030.28715154852
agrupado_049_ZW Cerro 3 Cruces-test,✅ OK,1687764.0275457874,2338163.4222698994,130.73879092307777
agrupado_050_ZW Parque Calima-test,✅ OK,1850795.8265765768,2723026.682537264,72.09677335475934
agrupado_051_ZW Parque La Mecerd-test,✅ OK,1183042.8558558559,1803676.5101239467,71.54272981935934
agrupado_052_ZW Puente de Colores-test,✅ OK,3876904.1343019935,5568548.817412297,2602.063426840162
agrupado_053_ZW Polideportivo Laureano Gomez-test,✅ OK,1870521.4503086421,2673312.822029299,112.40035003316761
agrupado_054_ZW El Diamante-test,✅ OK,1358641.2173076926,1981024.9593952806,1334.5247757149573
agrupado_055_ZW Polideportivo Petecuy-test,✅ OK,9378131.62451923,11019948.35178915,145.7836633485581
agrupado_056_ZW Comuna 16-test,✅ OK,486637.0403875969,753477.2566475482,1062.8568192307978
agrupado_057_La Castilla-test,✅ OK,981257.6653571427,1764892.9128490249,17973.525112486444
agrupado_058_La Elvira-test,✅ OK,3250446.2868055566,4377475.133983338,74.107504982717
agrupado_059_El Saladito-test,✅ OK,1183402.5308888888,1553278.7717204995,300.8373810134445
agrupado_060_Felidia-test,✅ OK,4752956.994015151,6230452.146582052,63.952589363475056
agrupado_061_La Leonera-test,✅ OK,5311730.25901515,6627322.1588838035,45.60972280346698
agrupado_062_Pichinde-test,✅ OK,4066684.0381333353,5467144.831574887,265.98100613527504
agrupado_063_Los Andes-test,✅ OK,2840825.7900666674,3719559.850104259,79.75760002411576
