FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO
2024-01-01,URBANA,020_ZW Parque Petecuy1,0.0,MR76,True,Festivo,Lunes,0.0,0.0,-1.5555555555555556,0.9133622737568144,"493,6"
2024-01-02,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Laboral,Martes,0.0,0.0,-1.1111111111111112,0.4948492428865743,"318,3"
2024-01-03,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Laboral,Miércoles,0.0,0.0,-0.8888888888888888,0.6376133519829942,"267,2"
2024-01-04,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Laboral,Jueves,0.0,0.0,-1.3333333333333333,0.03777580267948933,"84,7"
2024-01-05,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Laboral,Viernes,0.0,0.0,-0.5555555555555556,0.1928842191922212,"138,4"
2024-01-06,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Fin de Semana,Sábado,0.0,0.0,-0.2222222222222222,0.030553325605875054,"113,0"
2024-01-07,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Fin de Semana,Domingo,0.0,0.0,0.3333333333333333,0.37899752612112997,"221,9"
2024-01-08,URBANA,020_ZW Parque Petecuy1,0.0,MR76,True,Festivo,Lunes,0.0,0.0,-0.7777777777777778,0.19636080745112655,"96,0"
2024-01-09,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Laboral,Martes,0.0,0.0,0.5555555555555556,-0.1867791346338946,"1,3"
2024-01-10,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Laboral,Miércoles,0.0,0.0,0.2222222222222222,-0.14844937149550894,"13,8"
2024-01-11,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Laboral,Jueves,0.0,0.0,0.2222222222222222,-0.1657217254895536,"9,3"
2024-01-12,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Laboral,Viernes,0.0,0.0,-0.6666666666666666,-0.1901651027437938,"0,4"
2024-01-13,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Fin de Semana,Sábado,0.0,0.0,-0.6666666666666666,-0.18671488136440154,"2,0"
2024-01-14,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Fin de Semana,Domingo,0.0,0.0,1.0,0.5702331753709794,"375,9"
2024-01-15,URBANA,020_ZW Parque Petecuy1,0.0,MR76,False,Laboral,Lunes,0.0,0.0,0.5555555555555556,2.3386070505547796,"1428,6"
