fechaconexion,area,nombrezona,comuna,model,es_festivo,tipo_dia,dia_semana,latitud,longitud,numeroconexiones,usagekb,porcentajeuso
2024-01-01,URBANA,013_ZW Parque Llano Verde,15,MR76,True,Festivo,Lunes,339.598,-7.650.628,24.0,1684,0.2
2024-01-02,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Martes,339.598,-7.650.628,19.0,1273,0.2
2024-01-03,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Miércoles,339.598,-7.650.628,15.0,1645,0.1
2024-01-04,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Jueves,339.598,-7.650.628,18.0,1738,0.2
2024-01-05,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Viernes,339.598,-7.650.628,23.0,2448,0.2
2024-01-06,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Sábado,339.598,-7.650.628,24.0,4514,0.6
2024-01-07,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Domingo,339.598,-7.650.628,14.0,618,0.1
2024-01-08,URBANA,013_ZW Parque Llano Verde,15,MR76,True,Festivo,Lunes,339.598,-7.650.628,22.0,6884,0.4
2024-01-09,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Martes,339.598,-7.650.628,20.0,24815,1.9
2024-01-10,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Miércoles,339.598,-7.650.628,16.0,104450,8.7
2024-01-11,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Jueves,339.598,-7.650.628,24.0,1725897,160.4
2024-01-12,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Viernes,339.598,-7.650.628,28.0,7832066,674.3
2024-01-13,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Sábado,339.598,-7.650.628,29.0,1929042,214.3
2024-01-14,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Domingo,339.598,-7.650.628,21.0,3481274,439.9
2024-01-15,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Lunes,339.598,-7.650.628,23.0,3375842,488.0
2024-01-16,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Martes,339.598,-7.650.628,17.0,3132093,366.2
2024-01-17,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Miércoles,339.598,-7.650.628,23.0,14662507,1466.1
2024-01-18,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Jueves,339.598,-7.650.628,28.0,8475610,706.6
2024-01-19,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Viernes,339.598,-7.650.628,41.0,7366793,479.9
