fechaconexion,area,nombrezona,comuna,model,es_festivo,tipo_dia,dia_semana,latitud,longitud,numeroconexiones,usagekb,porcentajeuso
2024-01-09,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Martes,3.408.384,-76.537.887,5.0,4162,0.3
2024-01-10,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Miércoles,3.408.384,-76.537.887,10.0,259523,21.5
2024-01-11,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Jueves,3.408.384,-76.537.887,11.0,596290,55.4
2024-01-12,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Viernes,3.408.384,-76.537.887,12.0,2549416,219.5
2024-01-13,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Fin de Semana,Sábado,3.408.384,-76.537.887,13.0,1215419,135.0
2024-01-14,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Fin de Semana,Domingo,3.408.384,-76.537.887,7.0,651900,82.4
2024-01-15,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Lunes,3.408.384,-76.537.887,20.0,1108469,160.2
2024-01-16,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Martes,3.408.384,-76.537.887,23.0,4500202,526.1
2024-01-17,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Miércoles,3.408.384,-76.537.887,15.0,2403428,240.3
2024-01-18,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Jueves,3.408.384,-76.537.887,20.0,977688,81.5
2024-01-19,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Viernes,3.408.384,-76.537.887,17.0,4807517,313.2
2024-01-20,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Fin de Semana,Sábado,3.408.384,-76.537.887,17.0,262230,20.3
2024-01-21,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Fin de Semana,Domingo,3.408.384,-76.537.887,12.0,243607,18.8
