FECHA.CONEXION,dia_semana,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE.USO,NUMERO.CONEXIONES,USAGE.KB
2024-01-01,0,0,0,1,0.5620509470934029,-0.2692307692307692,0.630084112961527
2024-01-02,1,1,0,0,0.1374918354016982,-0.5,0.1569466552352163
2024-01-03,2,1,0,0,4.406596995427824,-0.2692307692307692,6.738927694983549
2024-01-04,3,1,0,0,6.172762900065315,-0.5769230769230769,8.21155696681874
2024-01-05,4,1,0,0,2.3974526453298495,-0.34615384615384615,3.290006114623787
2024-01-06,5,0,1,0,0.9879163945133898,0.23076923076923078,0.9571410773213029
2024-01-07,6,0,1,0,-0.0558458523840627,-0.5769230769230769,-0.047612919724661605
2024-01-08,0,0,0,1,-0.05062050947093402,-0.3076923076923077,-0.036065624830946226
2024-01-09,1,1,0,0,-0.04931417374265185,-0.15384615384615385,-0.03589841527967437
2024-01-10,2,1,0,0,-0.010124101894186803,-0.11538461538461539,0.02289377439497191
2024-01-11,3,1,0,0,-0.032331809274983664,-0.3076923076923077,-0.015803761559179886
2024-01-12,4,1,0,0,-0.05192684519921619,-0.11538461538461539,-0.04055405376606728
2024-01-13,5,0,1,0,-0.05323318092749836,0.46153846153846156,-0.0436654628671848
2024-01-14,6,0,1,0,-0.05192684519921619,-0.3076923076923077,-0.04349825331591294
2024-01-15,0,1,0,0,-0.04931417374265185,-0.11538461538461539,-0.04189336948556834
2024-01-16,1,1,0,0,-0.05192684519921619,0.11538461538461539,-0.04278187514036586
2024-01-17,2,1,0,0,-0.04800783801436968,0.2692307692307692,-0.03654594246352127
2024-01-18,3,1,0,0,-0.0558458523840627,-0.5,-0.047326040592577535
2024-01-19,4,1,0,0,-0.0558458523840627,0.07692307692307693,-0.04658835139578993
2024-01-20,5,0,1,0,-0.04670150228608752,0.19230769230769232,-0.03156408142121561
2024-01-21,6,0,1,0,-0.0558458523840627,-0.4230769230769231,-0.04640474875125612
2024-01-22,0,1,0,0,-0.0558458523840627,-0.19230769230769232,-0.04609983721658391
2024-01-23,1,1,0,0,-0.0558458523840627,-0.3076923076923077,-0.04627524331448674
2024-01-24,2,1,0,0,-0.04800783801436968,-0.15384615384615385,-0.035208266053346406
2024-01-25,3,1,0,0,-0.0558458523840627,-0.19230769230769232,-0.04648835352689205
2024-01-26,4,1,0,0,-0.05192684519921619,-0.19230769230769232,-0.04011144024799471
2024-01-27,5,0,1,0,-0.05453951665578052,0.46153846153846156,-0.04502772891725258
2024-01-28,6,0,1,0,-0.05192684519921619,-0.3076923076923077,-0.042558929072003385
2024-01-29,0,1,0,0,-0.03886348791639451,-0.038461538461538464,-0.02134462708171793
2024-01-30,1,1,0,0,-0.03625081645983017,-0.34615384615384615,-0.024277351466280225
2024-01-31,2,1,0,0,-0.04931417374265185,0.34615384615384615,-0.038452459209885693
2024-02-01,3,1,0,0,-0.04670150228608752,0.2692307692307692,-0.03071983711822535
2024-02-02,4,1,0,0,-0.04670150228608752,-0.038461538461538464,-0.03552957068128056
2024-02-03,5,0,1,0,-0.05715218811234486,0.38461538461538464,-0.04717030620658904
2024-02-04,6,0,1,0,-0.0558458523840627,0.23076923076923078,-0.04520313501515542
2024-02-05,0,1,0,0,-0.05323318092749836,-0.38461538461538464,-0.04197697426120427
2024-02-06,1,1,0,0,-0.04931417374265185,-0.7692307692307693,-0.03498859860363632
2024-02-07,2,1,0,0,0.46799477465708683,-0.46153846153846156,1.0393688331232285
2024-02-08,3,1,0,0,0.005551926845199213,-0.5,0.05941922549191574
2024-02-09,4,1,0,0,-0.011430437622468972,-0.6538461538461539,0.02062005235953988
2024-02-10,5,0,1,0,0.09046374918354017,-0.34615384615384615,0.24817913716592926
2024-02-11,6,0,1,0,0.4052906596995427,-0.4230769230769231,0.7320868571653391
2024-02-12,0,1,0,0,0.16623122142390595,-0.6538461538461539,0.24156780265338607
2024-02-13,1,1,0,0,1.6659046374918351,-0.38461538461538464,1.8242553847213092
2024-02-14,2,1,0,0,2.6090790333115605,0.07692307692307693,2.47854635884809
2024-02-15,3,1,0,0,0.41182233834095355,0.038461538461538464,0.6387954027209256
2024-02-16,4,1,0,0,-0.05453951665578052,0.038461538461538464,-0.044372005186774706
2024-02-17,5,0,1,0,-0.04539516655780535,0.4230769230769231,-0.03325093071786995
2024-02-18,6,0,1,0,-0.04931417374265185,0.038461538461538464,-0.036898393968653125
2024-02-19,0,1,0,0,-0.019268451992161983,-0.34615384615384615,0.02020858571866501
2024-02-20,1,1,0,0,-0.05453951665578052,-0.19230769230769232,-0.043845786893066216
2024-02-21,2,1,0,0,-0.05062050947093402,-0.4230769230769231,-0.03843934473527613
