DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
0,0,0,1,"375,8",-0.3118503118503118,6.451510025663751,1,1,0,0,"449,2",-0.4698544698544699,7.440724092560495,2,1,0,0,"774,1",-0.3284823284823285,18.5724751178927,3,1,0,0,"195,5",-0.4532224532224532,4.027937351220581,4,1,0,0,"201,2",-0.3866943866943867,4.257402995446337,5,0,1,0,"52,2",-0.3783783783783784,0.7167299520277246,6,0,1,0,"192,6",-0.3367983367983368,3.7642692790041887,0,0,0,1,"153,5",-0.4449064449064449,4.732473169376281
1,1,0,0,"449,2",-0.4698544698544699,7.440724092560495,2,1,0,0,"774,1",-0.3284823284823285,18.5724751178927,3,1,0,0,"195,5",-0.4532224532224532,4.027937351220581,4,1,0,0,"201,2",-0.3866943866943867,4.257402995446337,5,0,1,0,"52,2",-0.3783783783783784,0.7167299520277246,6,0,1,0,"192,6",-0.3367983367983368,3.7642692790041887,0,0,0,1,"153,5",-0.4449064449064449,4.732473169376281,1,1,0,0,"1,1",-0.3866943866943867,-0.049973481288029
2,1,0,0,"774,1",-0.3284823284823285,18.5724751178927,3,1,0,0,"195,5",-0.4532224532224532,4.027937351220581,4,1,0,0,"201,2",-0.3866943866943867,4.257402995446337,5,0,1,0,"52,2",-0.3783783783783784,0.7167299520277246,6,0,1,0,"192,6",-0.3367983367983368,3.7642692790041887,0,0,0,1,"153,5",-0.4449064449064449,4.732473169376281,1,1,0,0,"1,1",-0.3866943866943867,-0.049973481288029,2,1,0,0,"2,1",-0.3866943866943867,-0.0271718626276042
3,1,0,0,"195,5",-0.4532224532224532,4.027937351220581,4,1,0,0,"201,2",-0.3866943866943867,4.257402995446337,5,0,1,0,"52,2",-0.3783783783783784,0.7167299520277246,6,0,1,0,"192,6",-0.3367983367983368,3.7642692790041887,0,0,0,1,"153,5",-0.4449064449064449,4.732473169376281,1,1,0,0,"1,1",-0.3866943866943867,-0.049973481288029,2,1,0,0,"2,1",-0.3866943866943867,-0.0271718626276042,3,1,0,0,"1,2999999999999998",-0.5114345114345115,-0.0512698411909411
4,1,0,0,"201,2",-0.3866943866943867,4.257402995446337,5,0,1,0,"52,2",-0.3783783783783784,0.7167299520277246,6,0,1,0,"192,6",-0.3367983367983368,3.7642692790041887,0,0,0,1,"153,5",-0.4449064449064449,4.732473169376281,1,1,0,0,"1,1",-0.3866943866943867,-0.049973481288029,2,1,0,0,"2,1",-0.3866943866943867,-0.0271718626276042,3,1,0,0,"1,2999999999999998",-0.5114345114345115,-0.0512698411909411,4,1,0,0,"0,9",-0.4948024948024948,-0.0593919734047391
5,0,1,0,"52,2",-0.3783783783783784,0.7167299520277246,6,0,1,0,"192,6",-0.3367983367983368,3.7642692790041887,0,0,0,1,"153,5",-0.4449064449064449,4.732473169376281,1,1,0,0,"1,1",-0.3866943866943867,-0.049973481288029,2,1,0,0,"2,1",-0.3866943866943867,-0.0271718626276042,3,1,0,0,"1,2999999999999998",-0.5114345114345115,-0.0512698411909411,4,1,0,0,"0,9",-0.4948024948024948,-0.0593919734047391,5,0,1,0,"1,5",-0.577962577962578,-0.0518603609626665
6,0,1,0,"192,6",-0.3367983367983368,3.7642692790041887,0,0,0,1,"153,5",-0.4449064449064449,4.732473169376281,1,1,0,0,"1,1",-0.3866943866943867,-0.049973481288029,2,1,0,0,"2,1",-0.3866943866943867,-0.0271718626276042,3,1,0,0,"1,2999999999999998",-0.5114345114345115,-0.0512698411909411,4,1,0,0,"0,9",-0.4948024948024948,-0.0593919734047391,5,0,1,0,"1,5",-0.577962577962578,-0.0518603609626665,6,0,1,0,"1,1",-0.212058212058212,-0.0607181575385465
0,0,0,1,"153,5",-0.4449064449064449,4.732473169376281,1,1,0,0,"1,1",-0.3866943866943867,-0.049973481288029,2,1,0,0,"2,1",-0.3866943866943867,-0.0271718626276042,3,1,0,0,"1,2999999999999998",-0.5114345114345115,-0.0512698411909411,4,1,0,0,"0,9",-0.4948024948024948,-0.0593919734047391,5,0,1,0,"1,5",-0.577962577962578,-0.0518603609626665,6,0,1,0,"1,1",-0.212058212058212,-0.0607181575385465,0,1,0,0,"1,8",-0.4781704781704782,-0.0540375298180175
1,1,0,0,"1,1",-0.3866943866943867,-0.049973481288029,2,1,0,0,"2,1",-0.3866943866943867,-0.0271718626276042,3,1,0,0,"1,2999999999999998",-0.5114345114345115,-0.0512698411909411,4,1,0,0,"0,9",-0.4948024948024948,-0.0593919734047391,5,0,1,0,"1,5",-0.577962577962578,-0.0518603609626665,6,0,1,0,"1,1",-0.212058212058212,-0.0607181575385465,0,1,0,0,"1,8",-0.4781704781704782,-0.0540375298180175,1,1,0,0,"1,0",-0.2619542619542619,-0.0622829355195157
2,1,0,0,"2,1",-0.3866943866943867,-0.0271718626276042,3,1,0,0,"1,2999999999999998",-0.5114345114345115,-0.0512698411909411,4,1,0,0,"0,9",-0.4948024948024948,-0.0593919734047391,5,0,1,0,"1,5",-0.577962577962578,-0.0518603609626665,6,0,1,0,"1,1",-0.212058212058212,-0.0607181575385465,0,1,0,0,"1,8",-0.4781704781704782,-0.0540375298180175,1,1,0,0,"1,0",-0.2619542619542619,-0.0622829355195157,2,1,0,0,"0,7",-0.4033264033264033,-0.064682791965551
3,1,0,0,"1,2999999999999998",-0.5114345114345115,-0.0512698411909411,4,1,0,0,"0,9",-0.4948024948024948,-0.0593919734047391,5,0,1,0,"1,5",-0.577962577962578,-0.0518603609626665,6,0,1,0,"1,1",-0.212058212058212,-0.0607181575385465,0,1,0,0,"1,8",-0.4781704781704782,-0.0540375298180175,1,1,0,0,"1,0",-0.2619542619542619,-0.0622829355195157,2,1,0,0,"0,7",-0.4033264033264033,-0.064682791965551,3,1,0,0,"0,8",-0.3118503118503118,-0.0576840391154729
4,1,0,0,"0,9",-0.4948024948024948,-0.0593919734047391,5,0,1,0,"1,5",-0.577962577962578,-0.0518603609626665,6,0,1,0,"1,1",-0.212058212058212,-0.0607181575385465,0,1,0,0,"1,8",-0.4781704781704782,-0.0540375298180175,1,1,0,0,"1,0",-0.2619542619542619,-0.0622829355195157,2,1,0,0,"0,7",-0.4033264033264033,-0.064682791965551,3,1,0,0,"0,8",-0.3118503118503118,-0.0576840391154729,4,1,0,0,"1,2",-0.3367983367983368,-0.0443705024438471
5,0,1,0,"1,5",-0.577962577962578,-0.0518603609626665,6,0,1,0,"1,1",-0.212058212058212,-0.0607181575385465,0,1,0,0,"1,8",-0.4781704781704782,-0.0540375298180175,1,1,0,0,"1,0",-0.2619542619542619,-0.0622829355195157,2,1,0,0,"0,7",-0.4033264033264033,-0.064682791965551,3,1,0,0,"0,8",-0.3118503118503118,-0.0576840391154729,4,1,0,0,"1,2",-0.3367983367983368,-0.0443705024438471,5,0,1,0,"0,4",-0.4365904365904366,-0.0693970087290553
6,0,1,0,"1,1",-0.212058212058212,-0.0607181575385465,0,1,0,0,"1,8",-0.4781704781704782,-0.0540375298180175,1,1,0,0,"1,0",-0.2619542619542619,-0.0622829355195157,2,1,0,0,"0,7",-0.4033264033264033,-0.064682791965551,3,1,0,0,"0,8",-0.3118503118503118,-0.0576840391154729,4,1,0,0,"1,2",-0.3367983367983368,-0.0443705024438471,5,0,1,0,"0,4",-0.4365904365904366,-0.0693970087290553,6,0,1,0,"0,7",-0.4116424116424116,-0.0611078608222441
0,1,0,0,"1,8",-0.4781704781704782,-0.0540375298180175,1,1,0,0,"1,0",-0.2619542619542619,-0.0622829355195157,2,1,0,0,"0,7",-0.4033264033264033,-0.064682791965551,3,1,0,0,"0,8",-0.3118503118503118,-0.0576840391154729,4,1,0,0,"1,2",-0.3367983367983368,-0.0443705024438471,5,0,1,0,"0,4",-0.4365904365904366,-0.0693970087290553,6,0,1,0,"0,7",-0.4116424116424116,-0.0611078608222441,0,1,0,0,"1,1",-0.2702702702702703,-0.0549859403604854
